<WFATester Graph 1.00 1,35.000,40.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1995,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     6.01249
   00:000.120,     6.01401
   00:000.140,     6.02215
   00:000.160,     6.01727
   00:000.180,     6.02004
   00:000.200,     6.04270
   00:000.220,     6.03999
   00:000.240,     6.04702
   00:000.260,     6.05806
   00:000.280,     6.06321
   00:000.300,     6.06343
   00:000.320,     6.06921
   00:000.340,     6.07782
   00:000.360,     6.08114
   00:000.380,     6.07215
   00:000.400,     6.04417
   00:000.420,     5.99286
   00:000.440,     5.91331
   00:000.460,     5.71147
   00:000.480,     5.16087
   00:000.500,     4.18260
   00:000.520,     3.09230
   00:000.540,     2.21657
   00:000.560,     1.61374
   00:000.580,     1.21852
   00:000.600,     0.95864
   00:000.620,     0.78884
   00:000.640,     0.67847
   00:000.660,     0.60598
   00:000.680,     0.55611
   00:000.700,     0.52155
   00:000.720,     0.49572
   00:000.740,     0.47748
   00:000.760,     0.46730
   00:000.780,     0.45729
   00:000.800,     0.44726
   00:000.820,     0.44090
   00:000.840,     0.43651
   00:000.860,     0.43216
   00:000.880,     0.42658
   00:000.900,     0.42308
   00:000.920,     0.42134
   00:000.940,     0.41899
   00:000.960,     0.41526
   00:000.980,     0.41371
   00:001.000,     0.41182
   00:001.020,     0.40974
   00:001.040,     0.40766
   00:001.060,     0.40484
   00:001.080,     0.40375
   00:001.100,     0.40452
   00:001.120,     0.40232
   00:001.140,     0.39908
   00:001.160,     0.39853
   00:001.180,     0.39967
   00:001.200,     0.39939
   00:001.220,     0.39710
   00:001.240,     0.39562
   00:001.260,     0.39685
   00:001.280,     0.39710
   00:001.300,     0.39481
   00:001.320,     0.39318
   00:001.340,     0.39308
   00:001.360,     0.39345
   00:001.380,     0.39327
   00:001.400,     0.39227
   00:001.420,     0.38998
   00:001.440,     0.38999
   00:001.460,     0.39282
   00:001.480,     0.39291
   00:001.500,     0.39100
   00:001.520,     0.39123
   00:001.540,     0.39071
   00:001.560,     0.39083
   00:001.580,     0.39485
   00:001.600,     0.40412
   00:001.620,     0.42203
   00:001.640,     0.44631
   00:001.660,     0.47023
   00:001.680,     0.49834
   00:001.700,     0.53978
   00:001.720,     0.59794
   00:001.740,     0.67462
   00:001.760,     0.78368
   00:001.780,     0.94313
   00:001.800,     1.15107
   00:001.820,     1.38873
   00:001.840,     1.63990
   00:001.860,     1.89718
   00:001.880,     2.15145
   00:001.900,     2.39847
   00:001.920,     2.63557
   00:001.940,     2.85409
   00:001.960,     3.05711
   00:001.980,     3.24553
   00:002.000,     3.42167
   00:002.020,     3.59229
   00:002.040,     3.75200
   00:002.060,     3.89520
   00:002.080,     4.03267
   00:002.100,     4.17021
   00:002.120,     4.29354
   00:002.140,     4.40216
   00:002.160,     4.50245
   00:002.180,     4.59629
   00:002.200,     4.67632
   00:002.220,     4.74847
   00:002.240,     4.81962
   00:002.260,     4.88835
   00:002.280,     4.95275
   00:002.300,     5.00914
   00:002.320,     5.05859
   00:002.340,     5.10352
   00:002.360,     5.14272
   00:002.380,     5.17901
   00:002.400,     5.21454
   00:002.420,     5.25065
   00:002.440,     5.28341
   00:002.460,     5.31046
   00:002.480,     5.33819
   00:002.500,     5.36343
   00:002.520,     5.38916
   00:002.540,     5.41486
   00:002.560,     5.43977
   00:002.580,     5.46928
   00:002.600,     5.50000
   00:002.620,     5.53048
   00:002.640,     5.55680
   00:002.660,     5.58127
   00:002.680,     5.60965
   00:002.700,     5.63395
   00:002.720,     5.65625
   00:002.740,     5.68189
   00:002.760,     5.70814
   00:002.780,     5.73155
   00:002.800,     5.75495
   00:002.820,     5.77597
   00:002.840,     5.79542
   00:002.860,     5.81504
   00:002.880,     5.83518
   00:002.900,     5.85785
   00:002.920,     5.87317
   00:002.940,     5.88478
   00:002.960,     5.89876
   00:002.980,     5.91168
   00:003.000,     5.92127
   00:003.020,     5.93276
   00:003.040,     5.94845
   00:003.060,     5.96118
   00:003.080,     5.96839
   00:003.100,     5.97602
   00:003.120,     5.98622
   00:003.140,     5.99836
   00:003.160,     6.01094
   00:003.180,     6.02466
   00:003.200,     6.03396
   00:003.220,     6.04093
   00:003.240,     6.05326
   00:003.260,     6.06522
   00:003.280,     6.07262
   00:003.300,     6.07974
   00:003.320,     6.08831
   00:003.340,     6.09816
   00:003.360,     6.10879
   00:003.380,     6.11584
   00:003.400,     6.12048
   00:003.420,     6.12876
   00:003.440,     6.13878
   00:003.460,     6.14732
   00:003.480,     6.15289
   00:003.500,     6.15612
   00:003.520,     6.16255
   00:003.540,     6.17002
   00:003.560,     6.17463
   00:003.580,     6.17631
   00:003.600,     6.17605
   00:003.620,     6.17583
   00:003.640,     6.18299
   00:003.660,     6.17979
   00:003.680,     6.10887
   00:003.700,     5.83649
   00:003.720,     5.33625
   00:003.740,     4.87236
   00:003.760,     4.71304
   00:003.780,     4.80517
   00:003.800,     4.86497
   00:003.820,     4.54605
   00:003.840,     3.74520
   00:003.860,     2.79523
   00:003.880,     2.02244
   00:003.900,     1.49225
   00:003.920,     1.14171
   00:003.940,     0.91036
   00:003.960,     0.75909
   00:003.980,     0.65993
   00:004.000,     0.59344
   00:004.020,     0.54611
   00:004.040,     0.51370
   00:004.060,     0.49343
   00:004.080,     0.47861
   00:004.100,     0.46591
   00:004.120,     0.45698
   00:004.140,     0.45084
   00:004.160,     0.44421
   00:004.180,     0.43881
   00:004.200,     0.43531
   00:004.220,     0.43048
   00:004.240,     0.42744
   00:004.260,     0.42560
   00:004.280,     0.42209
   00:004.300,     0.41946
   00:004.320,     0.41693
   00:004.340,     0.41482
   00:004.360,     0.41429
   00:004.380,     0.41300
   00:004.400,     0.41159
   00:004.420,     0.41054
   00:004.440,     0.40875
   00:004.460,     0.40682
   00:004.480,     0.40519
   00:004.500,     0.40413
   00:004.520,     0.40396
   00:004.540,     0.40463
   00:004.560,     0.40364
   00:004.580,     0.40143
   00:004.600,     0.40045
   00:004.620,     0.40067
   00:004.640,     0.40028
   00:004.660,     0.39795
   00:004.680,     0.39772
   00:004.700,     0.39799
   00:004.720,     0.39572
   00:004.740,     0.39521
   00:004.760,     0.39513
   00:004.780,     0.39566
   00:004.800,     0.39536
   00:004.820,     0.39630
   00:004.840,     0.39791
   00:004.860,     0.39713
   00:004.880,     0.39431
   00:004.900,     0.39349
   00:004.920,     0.39538
   00:004.940,     0.39841
   00:004.960,     0.40650
   00:004.980,     0.41902
   00:005.000,     0.43417
   00:005.020,     0.45378
   00:005.040,     0.48676
   00:005.060,     0.54232
   00:005.080,     0.62260
   00:005.100,     0.72854
   00:005.120,     0.86366
   00:005.140,     1.03436
   00:005.160,     1.24376
   00:005.180,     1.47907
   00:005.200,     1.72009
   00:005.220,     1.96367
   00:005.240,     2.21477
   00:005.260,     2.47222
   00:005.280,     2.73113
   00:005.300,     2.98141
   00:005.320,     3.21116
   00:005.340,     3.41170
   00:005.360,     3.58547
   00:005.380,     3.74254
   00:005.400,     3.89507
   00:005.420,     4.03350
   00:005.440,     4.15634
   00:005.460,     4.26871
   00:005.480,     4.37765
   00:005.500,     4.48329
   00:005.520,     4.58030
   00:005.540,     4.66174
   00:005.560,     4.73338
   00:005.580,     4.80428
   00:005.600,     4.87351
   00:005.620,     4.93386
   00:005.640,     4.98639
   00:005.660,     5.03803
   00:005.680,     5.08850
   00:005.700,     5.13443
   00:005.720,     5.17658
   00:005.740,     5.21601
   00:005.760,     5.25260
   00:005.780,     5.28969
   00:005.800,     5.32970
   00:005.820,     5.36747
   00:005.840,     5.40363
   00:005.860,     5.43659
   00:005.880,     5.46506
   00:005.900,     5.49549
   00:005.920,     5.52632
   00:005.940,     5.55029
   00:005.960,     5.57294
   00:005.980,     5.59438
   00:006.000,     5.61683
   00:006.020,     5.63641
   00:006.040,     5.65411
   00:006.060,     5.67121
   00:006.080,     5.68965
   00:006.100,     5.71327
   00:006.120,     5.73181
   00:006.140,     5.74620
   00:006.160,     5.76233
   00:006.180,     5.77702
   00:006.200,     5.79207
   00:006.220,     5.80480
   00:006.240,     5.81742
   00:006.260,     5.83181
   00:006.280,     5.84400
   00:006.300,     5.85711
   00:006.320,     5.87320
   00:006.340,     5.88712
   00:006.360,     5.89816
   00:006.380,     5.90937
   00:006.400,     5.92019
   00:006.420,     5.93015
   00:006.440,     5.94008
   00:006.460,     5.94918
   00:006.480,     5.95771
   00:006.500,     5.96690
   00:006.520,     5.97494
   00:006.540,     5.98143
   00:006.560,     5.98681
   00:006.580,     5.99159
   00:006.600,     5.99805
   00:006.620,     6.00411
   00:006.640,     6.00800
   00:006.660,     6.01504
   00:006.680,     6.02538
   00:006.700,     6.03707
   00:006.720,     6.04440
   00:006.740,     6.05215
   00:006.760,     6.06121
   00:006.780,     6.06864
   00:006.800,     6.07674
   00:006.820,     6.08285
   00:006.840,     6.08730
   00:006.860,     6.09288
   00:006.880,     6.09663
   00:006.900,     6.09943
   00:006.920,     6.10562
   00:006.940,     6.11162
   00:006.960,     6.09801
   00:006.980,     6.00716
   00:007.000,     5.71116
   00:007.020,     5.10857
   00:007.040,     4.32148
   00:007.060,     3.55817
   00:007.080,     2.86006
   00:007.100,     2.20829
   00:007.120,     1.67001
   00:007.140,     1.28657
   00:007.160,     1.02499
   00:007.180,     0.84638
   00:007.200,     0.72525
   00:007.220,     0.64237
   00:007.240,     0.58551
   00:007.260,     0.54736
   00:007.280,     0.51985
   00:007.300,     0.49940
   00:007.320,     0.48451
   00:007.340,     0.47321
   00:007.360,     0.46574
   00:007.380,     0.45831
   00:007.400,     0.45223
   00:007.420,     0.44538
