<WFATester Graph 1.00 1,160.000,165.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  8100,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.26368
   00:000.120,     0.26420
   00:000.140,     0.27821
   00:000.160,     0.27217
   00:000.180,     0.26979
   00:000.200,     0.26815
   00:000.220,     0.26383
   00:000.240,     0.26321
   00:000.260,     0.26388
   00:000.280,     0.26535
   00:000.300,     0.26531
   00:000.320,     0.26364
   00:000.340,     0.26477
   00:000.360,     0.26613
   00:000.380,     0.26522
   00:000.400,     0.26328
   00:000.420,     0.26447
   00:000.440,     0.26680
   00:000.460,     0.26639
   00:000.480,     0.26549
   00:000.500,     0.26492
   00:000.520,     0.26553
   00:000.540,     0.26539
   00:000.560,     0.26529
   00:000.580,     0.26498
   00:000.600,     0.26454
   00:000.620,     0.26555
   00:000.640,     0.26621
   00:000.660,     0.26510
   00:000.680,     0.26477
   00:000.700,     0.26466
   00:000.720,     0.26549
   00:000.740,     0.26536
   00:000.760,     0.26545
   00:000.780,     0.26466
   00:000.800,     0.26478
   00:000.820,     0.26370
   00:000.840,     0.26510
   00:000.860,     0.26578
   00:000.880,     0.26492
   00:000.900,     0.26414
   00:000.920,     0.26349
   00:000.940,     0.26382
   00:000.960,     0.26466
   00:000.980,     0.26584
   00:001.000,     0.26643
   00:001.020,     0.26532
   00:001.040,     0.26477
   00:001.060,     0.26450
   00:001.080,     0.26276
   00:001.100,     0.26272
   00:001.120,     0.26581
   00:001.140,     0.26682
   00:001.160,     0.26517
   00:001.180,     0.26507
   00:001.200,     0.26438
   00:001.220,     0.26415
   00:001.240,     0.26466
   00:001.260,     0.26682
   00:001.280,     0.26757
   00:001.300,     0.26479
   00:001.320,     0.26315
   00:001.340,     0.26436
   00:001.360,     0.26444
   00:001.380,     0.26479
   00:001.400,     0.26609
   00:001.420,     0.26628
   00:001.440,     0.26532
   00:001.460,     0.26532
   00:001.480,     0.26467
   00:001.500,     0.26407
   00:001.520,     0.26481
   00:001.540,     0.26506
   00:001.560,     0.26577
   00:001.580,     0.26607
   00:001.600,     0.26575
   00:001.620,     0.26554
   00:001.640,     0.26501
   00:001.660,     0.26510
   00:001.680,     0.26580
   00:001.700,     0.26587
   00:001.720,     0.26592
   00:001.740,     0.26499
   00:001.760,     0.26634
   00:001.780,     0.26753
   00:001.800,     0.26622
   00:001.820,     0.26590
   00:001.840,     0.26582
   00:001.860,     0.26638
   00:001.880,     0.26649
   00:001.900,     0.26637
   00:001.920,     0.26757
   00:001.940,     0.26645
   00:001.960,     0.26399
   00:001.980,     0.26488
   00:002.000,     0.26618
   00:002.020,     0.26510
   00:002.040,     0.26439
   00:002.060,     0.26530
   00:002.080,     0.26588
   00:002.100,     0.26700
   00:002.120,     0.26806
   00:002.140,     0.26822
   00:002.160,     0.26721
   00:002.180,     0.26658
   00:002.200,     0.26626
   00:002.220,     0.26466
   00:002.240,     0.26388
   00:002.260,     0.26570
   00:002.280,     0.26606
   00:002.300,     0.26690
   00:002.320,     0.26821
   00:002.340,     0.26736
   00:002.360,     0.26867
   00:002.380,     0.26781
   00:002.400,     0.26634
   00:002.420,     0.26664
   00:002.440,     0.26714
   00:002.460,     0.26764
   00:002.480,     0.26604
   00:002.500,     0.26609
   00:002.520,     0.26739
   00:002.540,     0.26642
   00:002.560,     0.26702
   00:002.580,     0.26881
   00:002.600,     0.26899
   00:002.620,     0.26801
   00:002.640,     0.26654
   00:002.660,     0.26576
   00:002.680,     0.26626
   00:002.700,     0.26682
   00:002.720,     0.26620
   00:002.740,     0.26538
   00:002.760,     0.26576
   00:002.780,     0.26718
   00:002.800,     0.26867
   00:002.820,     0.26936
   00:002.840,     0.26928
   00:002.860,     0.26760
   00:002.880,     0.26705
   00:002.900,     0.26600
   00:002.920,     0.26580
   00:002.940,     0.26686
   00:002.960,     0.26686
   00:002.980,     0.26646
   00:003.000,     0.26615
   00:003.020,     0.26680
   00:003.040,     0.26793
   00:003.060,     0.26746
   00:003.080,     0.26784
   00:003.100,     0.26724
   00:003.120,     0.26671
   00:003.140,     0.26641
   00:003.160,     0.26509
   00:003.180,     0.26522
   00:003.200,     0.26733
   00:003.220,     0.26638
   00:003.240,     0.26526
   00:003.260,     0.26561
   00:003.280,     0.26622
   00:003.300,     0.26586
   00:003.320,     0.26776
   00:003.340,     0.26840
   00:003.360,     0.26828
   00:003.380,     0.26914
   00:003.400,     0.26736
   00:003.420,     0.26770
   00:003.440,     0.26809
   00:003.460,     0.26477
   00:003.480,     0.26350
   00:003.500,     0.26570
   00:003.520,     0.26757
   00:003.540,     0.26878
   00:003.560,     0.26836
   00:003.580,     0.26756
   00:003.600,     0.26670
   00:003.620,     0.26675
   00:003.640,     0.26731
   00:003.660,     0.26789
   00:003.680,     0.26859
   00:003.700,     0.26757
   00:003.720,     0.26558
   00:003.740,     0.26510
   00:003.760,     0.26601
   00:003.780,     0.26591
   00:003.800,     0.26487
   00:003.820,     0.26557
   00:003.840,     0.26639
   00:003.860,     0.26567
   00:003.880,     0.26624
   00:003.900,     0.26712
   00:003.920,     0.26679
   00:003.940,     0.26828
   00:003.960,     0.26896
   00:003.980,     0.26884
   00:004.000,     0.26680
   00:004.020,     0.26755
   00:004.040,     0.26795
   00:004.060,     0.26641
   00:004.080,     0.26612
   00:004.100,     0.26726
   00:004.120,     0.26823
   00:004.140,     0.26908
   00:004.160,     0.26580
   00:004.180,     0.26704
   00:004.200,     0.26759
   00:004.220,     0.26620
   00:004.240,     0.26496
   00:004.260,     0.26473
   00:004.280,     0.26373
   00:004.300,     0.26102
   00:004.320,     0.25894
   00:004.340,     0.25731
   00:004.360,     0.25506
   00:004.380,     0.25447
   00:004.400,     0.25392
   00:004.420,     0.25319
   00:004.440,     0.25182
   00:004.460,     0.24966
   00:004.480,     0.24961
   00:004.500,     0.24926
   00:004.520,     0.24673
   00:004.540,     0.24505
   00:004.560,     0.24473
   00:004.580,     0.24276
   00:004.600,     0.24157
   00:004.620,     0.24092
   00:004.640,     0.24051
   00:004.660,     0.23991
   00:004.680,     0.23829
   00:004.700,     0.23744
   00:004.720,     0.23688
   00:004.740,     0.23482
   00:004.760,     0.23228
   00:004.780,     0.23197
   00:004.800,     0.23164
   00:004.820,     0.22791
   00:004.840,     0.22506
   00:004.860,     0.22583
   00:004.880,     0.22561
   00:004.900,     0.22355
   00:004.920,     0.22246
   00:004.940,     0.22235
   00:004.960,     0.22205
   00:004.980,     0.22160
   00:005.000,     0.22012
   00:005.020,     0.21873
   00:005.040,     0.21879
   00:005.060,     0.21808
   00:005.080,     0.21654
   00:005.100,     0.21658
   00:005.120,     0.21607
   00:005.140,     0.21548
   00:005.160,     0.21485
   00:005.180,     0.21397
   00:005.200,     0.21311
   00:005.220,     0.21113
   00:005.240,     0.20812
   00:005.260,     0.20578
   00:005.280,     0.20232
   00:005.300,     0.19828
   00:005.320,     0.19569
   00:005.340,     0.19438
   00:005.360,     0.19275
   00:005.380,     0.18877
   00:005.400,     0.18638
   00:005.420,     0.18657
   00:005.440,     0.18639
   00:005.460,     0.18537
   00:005.480,     0.18452
   00:005.500,     0.18497
   00:005.520,     0.18307
   00:005.540,     0.18148
   00:005.560,     0.18033
   00:005.580,     0.17887
   00:005.600,     0.17867
   00:005.620,     0.17726
   00:005.640,     0.17675
   00:005.660,     0.17675
   00:005.680,     0.17606
   00:005.700,     0.17590
   00:005.720,     0.17428
   00:005.740,     0.17296
   00:005.760,     0.17408
   00:005.780,     0.17323
   00:005.800,     0.17159
   00:005.820,     0.17063
   00:005.840,     0.17062
   00:005.860,     0.17081
   00:005.880,     0.17033
   00:005.900,     0.16940
   00:005.920,     0.17022
   00:005.940,     0.17051
   00:005.960,     0.16991
   00:005.980,     0.16844
   00:006.000,     0.16839
   00:006.020,     0.16915
   00:006.040,     0.16886
   00:006.060,     0.16772
   00:006.080,     0.16728
   00:006.100,     0.16755
   00:006.120,     0.16712
   00:006.140,     0.16596
   00:006.160,     0.16484
   00:006.180,     0.16406
   00:006.200,     0.16446
   00:006.220,     0.16511
   00:006.240,     0.16485
   00:006.260,     0.16460
   00:006.280,     0.16371
   00:006.300,     0.16376
   00:006.320,     0.16344
   00:006.340,     0.16178
   00:006.360,     0.16160
   00:006.380,     0.16212
   00:006.400,     0.16126
   00:006.420,     0.16099
   00:006.440,     0.16161
   00:006.460,     0.16110
   00:006.480,     0.16093
   00:006.500,     0.16100
   00:006.520,     0.16101
   00:006.540,     0.16042
   00:006.560,     0.16018
   00:006.580,     0.16060
   00:006.600,     0.16001
   00:006.620,     0.15997
   00:006.640,     0.15974
   00:006.660,     0.15942
   00:006.680,     0.16021
   00:006.700,     0.16046
   00:006.720,     0.15949
   00:006.740,     0.15890
   00:006.760,     0.15775
   00:006.780,     0.15837
   00:006.800,     0.15839
   00:006.820,     0.15773
   00:006.840,     0.15703
   00:006.860,     0.15791
   00:006.880,     0.15777
   00:006.900,     0.15827
   00:006.920,     0.15901
   00:006.940,     0.15835
   00:006.960,     0.15846
   00:006.980,     0.15829
   00:007.000,     0.15764
   00:007.020,     0.15916
   00:007.040,     0.15850
   00:007.060,     0.15790
   00:007.080,     0.15790
   00:007.100,     0.15546
   00:007.120,     0.15560
   00:007.140,     0.15761
   00:007.160,     0.15874
   00:007.180,     0.15850
   00:007.200,     0.15755
   00:007.220,     0.15563
   00:007.240,     0.15682
   00:007.260,     0.15737
   00:007.280,     0.15635
   00:007.300,     0.15640
   00:007.320,     0.15614
   00:007.340,     0.15592
   00:007.360,     0.15546
   00:007.380,     0.15441
   00:007.400,     0.15562
   00:007.420,     0.15728
