<WFATester Graph 1.00 1,30.000,35.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1745,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.09325
   00:000.120,     0.11817
   00:000.140,     0.14939
   00:000.160,     0.15824
   00:000.180,     0.19299
   00:000.200,     0.72894
   00:000.220,     1.13338
   00:000.240,     1.63009
   00:000.260,     2.15678
   00:000.280,     2.65254
   00:000.300,     3.09059
   00:000.320,     3.45500
   00:000.340,     3.73865
   00:000.360,     3.95151
   00:000.380,     4.10896
   00:000.400,     4.22995
   00:000.420,     4.32545
   00:000.440,     4.40003
   00:000.460,     4.45962
   00:000.480,     4.50153
   00:000.500,     4.53537
   00:000.520,     4.56847
   00:000.540,     4.59757
   00:000.560,     4.62198
   00:000.580,     4.64821
   00:000.600,     4.67238
   00:000.620,     4.69077
   00:000.640,     4.70127
   00:000.660,     4.70736
   00:000.680,     4.70772
   00:000.700,     4.70758
   00:000.720,     4.71055
   00:000.740,     4.71638
   00:000.760,     4.72629
   00:000.780,     4.73827
   00:000.800,     4.75263
   00:000.820,     4.76958
   00:000.840,     4.78632
   00:000.860,     4.80214
   00:000.880,     4.81745
   00:000.900,     4.83298
   00:000.920,     4.84845
   00:000.940,     4.86881
   00:000.960,     4.88754
   00:000.980,     4.90402
   00:001.000,     4.91735
   00:001.020,     4.93000
   00:001.040,     4.94306
   00:001.060,     4.95799
   00:001.080,     4.97297
   00:001.100,     4.98770
   00:001.120,     5.00254
   00:001.140,     5.01909
   00:001.160,     5.03633
   00:001.180,     5.04970
   00:001.200,     5.06005
   00:001.220,     5.07189
   00:001.240,     5.08340
   00:001.260,     5.09390
   00:001.280,     5.10618
   00:001.300,     5.11460
   00:001.320,     5.12585
   00:001.340,     5.13507
   00:001.360,     5.13972
   00:001.380,     5.14399
   00:001.400,     5.15160
   00:001.420,     5.15978
   00:001.440,     5.17104
   00:001.460,     5.17800
   00:001.480,     5.18291
   00:001.500,     5.18986
   00:001.520,     5.19403
   00:001.540,     5.20013
   00:001.560,     5.20146
   00:001.580,     5.20216
   00:001.600,     5.19938
   00:001.620,     5.19674
   00:001.640,     5.19851
   00:001.660,     5.20120
   00:001.680,     5.19958
   00:001.700,     5.19414
   00:001.720,     5.19369
   00:001.740,     5.19438
   00:001.760,     5.19261
   00:001.780,     5.19336
   00:001.800,     5.19109
   00:001.820,     5.18732
   00:001.840,     5.17835
   00:001.860,     5.15920
   00:001.880,     5.12945
   00:001.900,     5.07777
   00:001.920,     4.84122
   00:001.940,     4.14897
   00:001.960,     3.11529
   00:001.980,     2.15523
   00:002.000,     1.46726
   00:002.020,     1.01133
   00:002.040,     0.71050
   00:002.060,     0.51344
   00:002.080,     0.38532
   00:002.100,     0.30133
   00:002.120,     0.24600
   00:002.140,     0.20707
   00:002.160,     0.17797
   00:002.180,     0.15770
   00:002.200,     0.14351
   00:002.220,     0.13306
   00:002.240,     0.12473
   00:002.260,     0.11824
   00:002.280,     0.11220
   00:002.300,     0.10826
   00:002.320,     0.10412
   00:002.340,     0.10009
   00:002.360,     0.09798
   00:002.380,     0.09590
   00:002.400,     0.09361
   00:002.420,     0.09132
   00:002.440,     0.08987
   00:002.460,     0.08755
   00:002.480,     0.08535
   00:002.500,     0.08302
   00:002.520,     0.08216
   00:002.540,     0.08181
   00:002.560,     0.07951
   00:002.580,     0.07786
   00:002.600,     0.07730
   00:002.620,     0.07547
   00:002.640,     0.07432
   00:002.660,     0.07324
   00:002.680,     0.07274
   00:002.700,     0.07317
   00:002.720,     0.07239
   00:002.740,     0.07128
   00:002.760,     0.07050
   00:002.780,     0.06969
   00:002.800,     0.06918
   00:002.820,     0.06775
   00:002.840,     0.06675
   00:002.860,     0.06523
   00:002.880,     0.06433
   00:002.900,     0.06527
   00:002.920,     0.06597
   00:002.940,     0.06474
   00:002.960,     0.06313
   00:002.980,     0.06255
   00:003.000,     0.06282
   00:003.020,     0.06306
   00:003.040,     0.06333
   00:003.060,     0.06253
   00:003.080,     0.06129
   00:003.100,     0.06092
   00:003.120,     0.06060
   00:003.140,     0.06088
   00:003.160,     0.06055
   00:003.180,     0.05921
   00:003.200,     0.05880
   00:003.220,     0.05873
   00:003.240,     0.05770
   00:003.260,     0.05744
   00:003.280,     0.05811
   00:003.300,     0.05842
   00:003.320,     0.05817
   00:003.340,     0.05778
   00:003.360,     0.05693
   00:003.380,     0.05673
   00:003.400,     0.05702
   00:003.420,     0.05775
   00:003.440,     0.05788
   00:003.460,     0.05846
   00:003.480,     0.05872
   00:003.500,     0.06022
   00:003.520,     0.06496
   00:003.540,     0.07205
   00:003.560,     0.08035
   00:003.580,     0.09905
   00:003.600,     0.15109
   00:003.620,     0.26997
   00:003.640,     0.48444
   00:003.660,     0.79585
   00:003.680,     1.18425
   00:003.700,     1.61618
   00:003.720,     2.04956
   00:003.740,     2.45604
   00:003.760,     2.81530
   00:003.780,     3.11013
   00:003.800,     3.33726
   00:003.820,     3.51302
   00:003.840,     3.65393
   00:003.860,     3.76712
   00:003.880,     3.85844
   00:003.900,     3.92928
   00:003.920,     3.98271
   00:003.940,     4.02961
   00:003.960,     4.07568
   00:003.980,     4.12067
   00:004.000,     4.16545
   00:004.020,     4.20990
   00:004.040,     4.24873
   00:004.060,     4.27581
   00:004.080,     4.30071
   00:004.100,     4.32591
   00:004.120,     4.34622
   00:004.140,     4.36543
   00:004.160,     4.38714
   00:004.180,     4.40649
   00:004.200,     4.41421
   00:004.220,     4.42242
   00:004.240,     4.43482
   00:004.260,     4.44688
   00:004.280,     4.45856
   00:004.300,     4.47085
   00:004.320,     4.48427
   00:004.340,     4.49955
   00:004.360,     4.51402
   00:004.380,     4.52605
   00:004.400,     4.54100
   00:004.420,     4.55656
   00:004.440,     4.56235
   00:004.460,     4.56699
   00:004.480,     4.57763
   00:004.500,     4.58856
   00:004.520,     4.59398
   00:004.540,     4.59892
   00:004.560,     4.60358
   00:004.580,     4.60107
   00:004.600,     4.59806
   00:004.620,     4.59557
   00:004.640,     4.59293
   00:004.660,     4.59521
   00:004.680,     4.59897
   00:004.700,     4.60490
   00:004.720,     4.61401
   00:004.740,     4.62191
   00:004.760,     4.63065
   00:004.780,     4.64496
   00:004.800,     4.65846
   00:004.820,     4.66870
   00:004.840,     4.68324
   00:004.860,     4.69784
   00:004.880,     4.70894
   00:004.900,     4.71826
   00:004.920,     4.72863
   00:004.940,     4.73782
   00:004.960,     4.74809
   00:004.980,     4.76124
   00:005.000,     4.77612
   00:005.020,     4.79115
   00:005.040,     4.80733
   00:005.060,     4.82256
   00:005.080,     4.83682
   00:005.100,     4.85038
   00:005.120,     4.85774
   00:005.140,     4.86593
   00:005.160,     4.87513
   00:005.180,     4.88233
   00:005.200,     4.89284
   00:005.220,     4.90121
   00:005.240,     4.90741
   00:005.260,     4.91156
   00:005.280,     4.91534
   00:005.300,     4.91746
   00:005.320,     4.92056
   00:005.340,     4.92631
   00:005.360,     4.92791
   00:005.380,     4.92707
   00:005.400,     4.92789
   00:005.420,     4.92623
   00:005.440,     4.91592
   00:005.460,     4.89731
   00:005.480,     4.88213
   00:005.500,     4.87318
   00:005.520,     4.86457
   00:005.540,     4.86103
   00:005.560,     4.84740
   00:005.580,     4.72325
   00:005.600,     4.30130
   00:005.620,     3.56135
   00:005.640,     2.71534
   00:005.660,     1.95076
   00:005.680,     1.35554
   00:005.700,     0.94028
   00:005.720,     0.66609
   00:005.740,     0.48572
   00:005.760,     0.36712
   00:005.780,     0.28701
   00:005.800,     0.23192
   00:005.820,     0.19384
   00:005.840,     0.17015
   00:005.860,     0.15314
   00:005.880,     0.13801
   00:005.900,     0.12796
   00:005.920,     0.12098
   00:005.940,     0.11389
   00:005.960,     0.10789
   00:005.980,     0.10349
   00:006.000,     0.10029
   00:006.020,     0.09781
   00:006.040,     0.09436
   00:006.060,     0.09247
   00:006.080,     0.09100
   00:006.100,     0.08851
   00:006.120,     0.08630
   00:006.140,     0.08578
   00:006.160,     0.08451
   00:006.180,     0.08303
   00:006.200,     0.08154
   00:006.220,     0.08000
   00:006.240,     0.07783
   00:006.260,     0.07663
   00:006.280,     0.07703
   00:006.300,     0.07648
   00:006.320,     0.07511
   00:006.340,     0.07371
   00:006.360,     0.07294
   00:006.380,     0.07229
   00:006.400,     0.07197
   00:006.420,     0.07131
   00:006.440,     0.07088
   00:006.460,     0.07123
   00:006.480,     0.07023
   00:006.500,     0.06780
   00:006.520,     0.06716
   00:006.540,     0.06720
   00:006.560,     0.06694
   00:006.580,     0.06742
   00:006.600,     0.06660
   00:006.620,     0.06605
   00:006.640,     0.06609
   00:006.660,     0.06551
   00:006.680,     0.06520
   00:006.700,     0.06375
   00:006.720,     0.06258
   00:006.740,     0.06272
   00:006.760,     0.06263
   00:006.780,     0.06265
   00:006.800,     0.06274
   00:006.820,     0.06231
   00:006.840,     0.06055
   00:006.860,     0.06013
   00:006.880,     0.06120
   00:006.900,     0.06122
   00:006.920,     0.05995
   00:006.940,     0.05990
   00:006.960,     0.05868
   00:006.980,     0.05845
   00:007.000,     0.06005
   00:007.020,     0.05959
   00:007.040,     0.05886
   00:007.060,     0.06004
   00:007.080,     0.06013
   00:007.100,     0.05942
   00:007.120,     0.06164
   00:007.140,     0.06672
   00:007.160,     0.07383
   00:007.180,     0.08346
   00:007.200,     0.10252
   00:007.220,     0.15414
   00:007.240,     0.27421
   00:007.260,     0.48744
   00:007.280,     0.80192
   00:007.300,     1.19715
   00:007.320,     1.63359
   00:007.340,     2.06522
   00:007.360,     2.46116
   00:007.380,     2.80568
   00:007.400,     3.08861
   00:007.420,     3.31198
