<WFATester Graph 1.00 1,35.000,40.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1830,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.43683
   00:000.120,     0.38961
   00:000.140,     0.39143
   00:000.160,     0.36942
   00:000.180,     0.34373
   00:000.200,     0.20136
   00:000.220,     0.17722
   00:000.240,     0.16051
   00:000.260,     0.15029
   00:000.280,     0.14148
   00:000.300,     0.13325
   00:000.320,     0.12648
   00:000.340,     0.12340
   00:000.360,     0.11979
   00:000.380,     0.11487
   00:000.400,     0.11177
   00:000.420,     0.10869
   00:000.440,     0.10521
   00:000.460,     0.10429
   00:000.480,     0.10395
   00:000.500,     0.10182
   00:000.520,     0.09930
   00:000.540,     0.09818
   00:000.560,     0.09630
   00:000.580,     0.09443
   00:000.600,     0.09294
   00:000.620,     0.09350
   00:000.640,     0.09236
   00:000.660,     0.09042
   00:000.680,     0.08923
   00:000.700,     0.08870
   00:000.720,     0.08777
   00:000.740,     0.08672
   00:000.760,     0.08522
   00:000.780,     0.08567
   00:000.800,     0.08627
   00:000.820,     0.08425
   00:000.840,     0.08329
   00:000.860,     0.08291
   00:000.880,     0.08145
   00:000.900,     0.08104
   00:000.920,     0.08045
   00:000.940,     0.07930
   00:000.960,     0.07916
   00:000.980,     0.07876
   00:001.000,     0.07778
   00:001.020,     0.07809
   00:001.040,     0.07835
   00:001.060,     0.07703
   00:001.080,     0.07582
   00:001.100,     0.07632
   00:001.120,     0.07733
   00:001.140,     0.07970
   00:001.160,     0.08862
   00:001.180,     0.10983
   00:001.200,     0.14015
   00:001.220,     0.17136
   00:001.240,     0.20964
   00:001.260,     0.28242
   00:001.280,     0.43445
   00:001.300,     0.70224
   00:001.320,     1.09428
   00:001.340,     1.57875
   00:001.360,     2.09167
   00:001.380,     2.57483
   00:001.400,     3.00639
   00:001.420,     3.38144
   00:001.440,     3.69278
   00:001.460,     3.95064
   00:001.480,     4.16170
   00:001.500,     4.32779
   00:001.520,     4.45917
   00:001.540,     4.56932
   00:001.560,     4.65566
   00:001.580,     4.72474
   00:001.600,     4.78723
   00:001.620,     4.84001
   00:001.640,     4.88526
   00:001.660,     4.92369
   00:001.680,     4.95567
   00:001.700,     4.98332
   00:001.720,     5.00874
   00:001.740,     5.03384
   00:001.760,     5.05856
   00:001.780,     5.07951
   00:001.800,     5.09818
   00:001.820,     5.12122
   00:001.840,     5.14589
   00:001.860,     5.16273
   00:001.880,     5.17750
   00:001.900,     5.19778
   00:001.920,     5.21813
   00:001.940,     5.23655
   00:001.960,     5.25023
   00:001.980,     5.26223
   00:002.000,     5.27467
   00:002.020,     5.28785
   00:002.040,     5.29960
   00:002.060,     5.31131
   00:002.080,     5.32572
   00:002.100,     5.34236
   00:002.120,     5.35592
   00:002.140,     5.36239
   00:002.160,     5.37039
   00:002.180,     5.38093
   00:002.200,     5.39309
   00:002.220,     5.40016
   00:002.240,     5.40161
   00:002.260,     5.40724
   00:002.280,     5.41244
   00:002.300,     5.41309
   00:002.320,     5.41286
   00:002.340,     5.41400
   00:002.360,     5.41046
   00:002.380,     5.40488
   00:002.400,     5.40457
   00:002.420,     5.40334
   00:002.440,     5.40099
   00:002.460,     5.39909
   00:002.480,     5.39830
   00:002.500,     5.39679
   00:002.520,     5.38987
   00:002.540,     5.35330
   00:002.560,     5.18234
   00:002.580,     4.67991
   00:002.600,     3.80290
   00:002.620,     2.80491
   00:002.640,     1.95835
   00:002.660,     1.35243
   00:002.680,     0.94732
   00:002.700,     0.68074
   00:002.720,     0.50865
   00:002.740,     0.39910
   00:002.760,     0.32853
   00:002.780,     0.28031
   00:002.800,     0.24565
   00:002.820,     0.22272
   00:002.840,     0.20376
   00:002.860,     0.18634
   00:002.880,     0.17281
   00:002.900,     0.16087
   00:002.920,     0.14941
   00:002.940,     0.13877
   00:002.960,     0.13083
   00:002.980,     0.12362
   00:003.000,     0.11811
   00:003.020,     0.11473
   00:003.040,     0.11104
   00:003.060,     0.10876
   00:003.080,     0.10809
   00:003.100,     0.11088
   00:003.120,     0.11936
   00:003.140,     0.13332
   00:003.160,     0.15167
   00:003.180,     0.17103
   00:003.200,     0.18852
   00:003.220,     0.20262
   00:003.240,     0.21692
   00:003.260,     0.23782
   00:003.280,     0.26631
   00:003.300,     0.29593
   00:003.320,     0.31502
   00:003.340,     0.31632
   00:003.360,     0.29752
   00:003.380,     0.26235
   00:003.400,     0.22257
   00:003.420,     0.18522
   00:003.440,     0.15417
   00:003.460,     0.13256
   00:003.480,     0.11798
   00:003.500,     0.10583
   00:003.520,     0.09815
   00:003.540,     0.09352
   00:003.560,     0.08860
   00:003.580,     0.08630
   00:003.600,     0.08385
   00:003.620,     0.08156
   00:003.640,     0.08053
   00:003.660,     0.07985
   00:003.680,     0.07834
   00:003.700,     0.07788
   00:003.720,     0.07763
   00:003.740,     0.07583
   00:003.760,     0.07494
   00:003.780,     0.07480
   00:003.800,     0.07534
   00:003.820,     0.07572
   00:003.840,     0.07435
   00:003.860,     0.07281
   00:003.880,     0.07215
   00:003.900,     0.07290
   00:003.920,     0.07318
   00:003.940,     0.07343
   00:003.960,     0.07235
   00:003.980,     0.07196
   00:004.000,     0.07287
   00:004.020,     0.07260
   00:004.040,     0.07173
   00:004.060,     0.07052
   00:004.080,     0.07002
   00:004.100,     0.07109
   00:004.120,     0.07159
   00:004.140,     0.07072
   00:004.160,     0.06995
   00:004.180,     0.07051
   00:004.200,     0.07127
   00:004.220,     0.07196
   00:004.240,     0.07204
   00:004.260,     0.07283
   00:004.280,     0.07263
   00:004.300,     0.07159
   00:004.320,     0.07200
   00:004.340,     0.07498
   00:004.360,     0.07975
   00:004.380,     0.08820
   00:004.400,     0.10015
   00:004.420,     0.11390
   00:004.440,     0.12719
   00:004.460,     0.13795
   00:004.480,     0.15625
   00:004.500,     0.20518
   00:004.520,     0.32540
   00:004.540,     0.56704
   00:004.560,     0.94337
   00:004.580,     1.41998
   00:004.600,     1.94217
   00:004.620,     2.45578
   00:004.640,     2.91336
   00:004.660,     3.28897
   00:004.680,     3.58783
   00:004.700,     3.82031
   00:004.720,     3.99789
   00:004.740,     4.13542
   00:004.760,     4.24007
   00:004.780,     4.32018
   00:004.800,     4.38481
   00:004.820,     4.43695
   00:004.840,     4.47967
   00:004.860,     4.51366
   00:004.880,     4.54420
   00:004.900,     4.57275
   00:004.920,     4.59901
   00:004.940,     4.62228
   00:004.960,     4.64490
   00:004.980,     4.66580
   00:005.000,     4.68278
   00:005.020,     4.69688
   00:005.040,     4.71116
   00:005.060,     4.72406
   00:005.080,     4.73547
   00:005.100,     4.74417
   00:005.120,     4.75247
   00:005.140,     4.76034
   00:005.160,     4.76918
   00:005.180,     4.77847
   00:005.200,     4.78541
   00:005.220,     4.79429
   00:005.240,     4.80464
   00:005.260,     4.81293
   00:005.280,     4.82035
   00:005.300,     4.83012
   00:005.320,     4.83618
   00:005.340,     4.84520
   00:005.360,     4.85620
   00:005.380,     4.86604
   00:005.400,     4.87647
   00:005.420,     4.88855
   00:005.440,     4.90154
   00:005.460,     4.91107
   00:005.480,     4.91601
   00:005.500,     4.92433
   00:005.520,     4.92966
   00:005.540,     4.93227
   00:005.560,     4.93912
   00:005.580,     4.94410
   00:005.600,     4.94489
   00:005.620,     4.94443
   00:005.640,     4.94827
   00:005.660,     4.95615
   00:005.680,     4.96201
   00:005.700,     4.96839
   00:005.720,     4.97604
   00:005.740,     4.98541
   00:005.760,     4.99328
   00:005.780,     5.00217
   00:005.800,     5.01261
   00:005.820,     5.01856
   00:005.840,     5.02223
   00:005.860,     5.02681
   00:005.880,     5.03445
   00:005.900,     5.04082
   00:005.920,     5.04579
   00:005.940,     5.05195
   00:005.960,     5.05451
   00:005.980,     5.05813
   00:006.000,     5.06334
   00:006.020,     5.06444
   00:006.040,     5.06656
   00:006.060,     5.06973
   00:006.080,     5.07290
   00:006.100,     5.07189
   00:006.120,     5.07108
   00:006.140,     5.06954
   00:006.160,     5.06239
   00:006.180,     5.04738
   00:006.200,     5.01137
   00:006.220,     4.92000
   00:006.240,     4.74781
   00:006.260,     4.52278
   00:006.280,     4.18565
   00:006.300,     3.55863
   00:006.320,     2.71582
   00:006.340,     1.94673
   00:006.360,     1.37669
   00:006.380,     0.97818
   00:006.400,     0.70461
   00:006.420,     0.52027
   00:006.440,     0.39607
   00:006.460,     0.31263
   00:006.480,     0.25741
   00:006.500,     0.21814
   00:006.520,     0.18990
   00:006.540,     0.17036
   00:006.560,     0.15721
   00:006.580,     0.14772
   00:006.600,     0.13871
   00:006.620,     0.13229
   00:006.640,     0.12628
   00:006.660,     0.12146
   00:006.680,     0.11745
   00:006.700,     0.11541
   00:006.720,     0.11257
   00:006.740,     0.10990
   00:006.760,     0.10770
   00:006.780,     0.10530
   00:006.800,     0.10444
   00:006.820,     0.10362
   00:006.840,     0.10150
   00:006.860,     0.09956
   00:006.880,     0.09812
   00:006.900,     0.09587
   00:006.920,     0.09480
   00:006.940,     0.09365
   00:006.960,     0.09300
   00:006.980,     0.09168
   00:007.000,     0.09117
   00:007.020,     0.09138
   00:007.040,     0.09079
   00:007.060,     0.08900
   00:007.080,     0.08889
   00:007.100,     0.08788
   00:007.120,     0.08709
   00:007.140,     0.08733
   00:007.160,     0.08629
   00:007.180,     0.08478
   00:007.200,     0.08500
   00:007.220,     0.08558
   00:007.240,     0.08522
   00:007.260,     0.08268
   00:007.280,     0.08235
   00:007.300,     0.08201
   00:007.320,     0.08018
   00:007.340,     0.08033
   00:007.360,     0.07998
   00:007.380,     0.07939
   00:007.400,     0.07861
   00:007.420,     0.07754
