<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2400,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.68409,    20.44981
   00:000.020,     0.00000,     0.67627,    20.44356
   00:000.040,     0.00000,     0.67543,    20.44356
   00:000.060,     0.00000,     0.67150,    20.44356
   00:000.080,     0.00000,     0.66617,    20.44356
   00:000.100,     0.00000,     0.65069,    20.43106
   00:000.120,     0.42311,     0.64681,    20.45606
   00:000.140,     0.42923,     0.63621,    20.46856
   00:000.160,     0.42191,     0.63718,    20.44356
   00:000.180,     0.42734,     0.63340,    20.44356
   00:000.200,     0.44313,     0.61665,    20.41856
   00:000.220,     0.63377,     0.60444,    20.34982
   00:000.240,     0.80017,     0.61047,    20.26858
   00:000.260,     1.02614,     0.61951,    20.10609
   00:000.280,     1.28688,     0.61124,    19.90611
   00:000.300,     1.56158,     0.57782,    19.64364
   00:000.320,     1.84167,     0.52950,    19.34992
   00:000.340,     2.12338,     0.48579,    19.08120
   00:000.360,     2.39565,     0.47323,    18.79373
   00:000.380,     2.65051,     0.48295,    18.51251
   00:000.400,     2.88803,     0.50058,    18.25628
   00:000.420,     3.10507,     0.52473,    18.03131
   00:000.440,     3.29515,     0.54521,    17.79383
   00:000.460,     3.46175,     0.54760,    17.60635
   00:000.480,     3.60415,     0.53913,    17.45636
   00:000.500,     3.72446,     0.53799,    17.30013
   00:000.520,     3.82781,     0.54557,    17.18139
   00:000.540,     3.91629,     0.54958,    17.04391
   00:000.560,     3.99357,     0.55167,    16.95642
   00:000.580,     4.06070,     0.55178,    16.89392
   00:000.600,     4.11881,     0.54865,    16.82518
   00:000.620,     4.16801,     0.54585,    16.75644
   00:000.640,     4.21249,     0.54204,    16.69394
   00:000.660,     4.25366,     0.53608,    16.65645
   00:000.680,     4.28529,     0.53220,    16.61895
   00:000.700,     4.31238,     0.53239,    16.57520
   00:000.720,     4.34129,     0.53210,    16.52521
   00:000.740,     4.37004,     0.52561,    16.50021
   00:000.760,     4.39116,     0.51342,    16.48146
   00:000.780,     4.41465,     0.50556,    16.45647
   00:000.800,     4.43637,     0.50215,    16.41897
   00:000.820,     4.45078,     0.50041,    16.40022
   00:000.840,     4.46706,     0.50321,    16.39397
   00:000.860,     4.48540,     0.50521,    16.36273
   00:000.880,     4.50179,     0.49721,    16.35023
   00:000.900,     4.51619,     0.48428,    16.34398
   00:000.920,     4.52761,     0.47522,    16.31273
   00:000.940,     4.53993,     0.46577,    16.30648
   00:000.960,     4.55376,     0.44014,    16.30648
   00:000.980,     4.56546,     0.40695,    16.25649
   00:001.000,     4.57779,     0.39055,    16.25649
   00:001.020,     4.59301,     0.39738,    16.25024
   00:001.040,     4.60804,     0.40743,    16.23149
   00:001.060,     4.62373,     0.41364,    16.23149
   00:001.080,     4.64176,     0.41384,    16.19399
   00:001.100,     4.65916,     0.39975,    16.16275
   00:001.120,     4.67837,     0.37422,    16.15025
   00:001.140,     4.69801,     0.35461,    16.11900
   00:001.160,     4.71823,     0.34421,    16.10025
   00:001.180,     4.73688,     0.32929,    16.08150
   00:001.200,     4.75365,     0.31677,    16.06901
   00:001.220,     4.77182,     0.31414,    16.03151
   00:001.240,     4.79352,     0.30712,    16.00026
   00:001.260,     4.81306,     0.29158,    15.99401
   00:001.280,     4.82709,     0.28040,    15.97527
   00:001.300,     4.84212,     0.28093,    15.94402
   00:001.320,     4.85723,     0.27945,    15.94402
   00:001.340,     4.87196,     0.26989,    15.90027
   00:001.360,     4.88619,     0.26189,    15.90652
   00:001.380,     4.89280,     0.24808,    15.89402
   00:001.400,     4.90326,     0.23422,    15.86903
   00:001.420,     4.92106,     0.23091,    15.85028
   00:001.440,     4.93165,     0.23354,    15.83153
   00:001.460,     4.93825,     0.22926,    15.83778
   00:001.480,     4.94791,     0.21831,    15.84403
   00:001.500,     4.95744,     0.20811,    15.81903
   00:001.520,     4.96417,     0.19804,    15.79403
   00:001.540,     4.97015,     0.19416,    15.79403
   00:001.560,     4.97819,     0.20023,    15.78154
   00:001.580,     4.98716,     0.20321,    15.78154
   00:001.600,     4.99392,     0.20421,    15.78778
   00:001.620,     4.99837,     0.21050,    15.75654
   00:001.640,     5.00323,     0.20872,    15.75654
   00:001.660,     5.00960,     0.19893,    15.74404
   00:001.680,     5.01502,     0.19741,    15.74404
   00:001.700,     5.02100,     0.19978,    15.73154
   00:001.720,     5.02803,     0.19176,    15.70654
   00:001.740,     5.03287,     0.17350,    15.71904
   00:001.760,     5.03389,     0.16447,    15.69404
   00:001.780,     5.03801,     0.17053,    15.69404
   00:001.800,     5.04206,     0.17870,    15.70654
   00:001.820,     5.04477,     0.18615,    15.69404
   00:001.840,     5.04770,     0.19187,    15.66905
   00:001.860,     5.05459,     0.19359,    15.66905
   00:001.880,     5.06128,     0.18576,    15.66905
   00:001.900,     5.06556,     0.16856,    15.66905
   00:001.920,     5.07033,     0.16207,    15.66905
   00:001.940,     5.07705,     0.16798,    15.65030
   00:001.960,     5.08483,     0.17151,    15.64405
   00:001.980,     5.09035,     0.17097,    15.64405
   00:002.000,     5.09729,     0.16739,    15.61905
   00:002.020,     5.10345,     0.16082,    15.60655
   00:002.040,     5.11013,     0.15381,    15.59405
   00:002.060,     5.11838,     0.15004,    15.56906
   00:002.080,     5.12558,     0.15034,    15.57531
   00:002.100,     5.13226,     0.14934,    15.55656
   00:002.120,     5.13836,     0.14702,    15.51906
   00:002.140,     5.14598,     0.14582,    15.54406
   00:002.160,     5.15286,     0.14223,    15.52531
   00:002.180,     5.16046,     0.13945,    15.51281
   00:002.200,     5.16732,     0.13866,    15.50031
   00:002.220,     5.17282,     0.13560,    15.48157
   00:002.240,     5.18024,     0.13345,    15.48157
   00:002.260,     5.19001,     0.13213,    15.46907
   00:002.280,     5.19641,     0.13158,    15.45032
   00:002.300,     5.19841,     0.12926,    15.45657
   00:002.320,     5.20247,     0.12558,    15.43157
   00:002.340,     5.20907,     0.12428,    15.40032
   00:002.360,     5.21754,     0.12612,    15.41907
   00:002.380,     5.22602,     0.12886,    15.40657
   00:002.400,     5.23106,     0.12905,    15.37533
   00:002.420,     5.23513,     0.12557,    15.36908
   00:002.440,     5.23905,     0.12064,    15.35658
   00:002.460,     5.24405,     0.12194,    15.35033
   00:002.480,     5.25303,     0.12647,    15.33158
   00:002.500,     5.25938,     0.12243,    15.34408
   00:002.520,     5.26294,     0.11287,    15.33158
   00:002.540,     5.26787,     0.10783,    15.30033
   00:002.560,     5.27196,     0.11439,    15.30658
   00:002.580,     5.27614,     0.12869,    15.31283
   00:002.600,     5.28209,     0.13943,    15.29408
   00:002.620,     5.28708,     0.14045,    15.29408
   00:002.640,     5.29139,     0.13498,    15.26909
   00:002.660,     5.29610,     0.12435,    15.26909
   00:002.680,     5.30491,     0.11813,    15.25659
   00:002.700,     5.31041,     0.11903,    15.25659
   00:002.720,     5.31269,     0.11800,    15.23159
   00:002.740,     5.31602,     0.11297,    15.24409
   00:002.760,     5.31965,     0.10822,    15.24409
   00:002.780,     5.32468,     0.10106,    15.21909
   00:002.800,     5.32675,     0.09944,    15.21909
   00:002.820,     5.32898,     0.09975,    15.20659
   00:002.840,     5.33424,     0.09868,    15.20659
   00:002.860,     5.34023,     0.09849,    15.19409
   00:002.880,     5.34290,     0.09922,    15.19409
   00:002.900,     5.34653,     0.10123,    15.17535
   00:002.920,     5.35049,     0.09343,    15.19409
   00:002.940,     5.35739,     0.08640,    15.16910
   00:002.960,     5.36244,     0.08268,    15.15035
   00:002.980,     5.36678,     0.08066,    15.16910
   00:003.000,     5.36985,     0.08359,    15.14410
   00:003.020,     5.37094,     0.08423,    15.11910
   00:003.040,     5.37314,     0.08478,    15.12535
   00:003.060,     5.37528,     0.08402,    15.11910
   00:003.080,     5.37837,     0.08315,    15.10660
   00:003.100,     5.38671,     0.08251,    15.10660
   00:003.120,     5.39349,     0.08217,    15.10660
   00:003.140,     5.39524,     0.08262,    15.09411
   00:003.160,     5.39935,     0.08576,    15.09411
   00:003.180,     5.40902,     0.08820,    15.08161
   00:003.200,     5.41627,     0.08621,    15.05661
   00:003.220,     5.42294,     0.08017,    15.04411
   00:003.240,     5.42790,     0.08118,    15.03161
   00:003.260,     5.43202,     0.08612,    15.01911
   00:003.280,     5.43386,     0.07846,    15.01286
   00:003.300,     5.43593,     0.00000,    15.01911
   00:003.320,     5.43759,     0.00000,    15.00661
   00:003.340,     5.43876,     0.00000,    14.99412
   00:003.360,     5.44148,     0.08290,    14.99412
   00:003.380,     5.44694,     0.08883,    14.98162
   00:003.400,     5.45405,     0.08520,    14.98162
   00:003.420,     5.45899,     0.00000,    14.95662
   00:003.440,     5.46203,     0.00000,    14.96287
   00:003.460,     5.46295,     0.00000,    14.95662
   00:003.480,     5.46398,     0.00000,    14.94412
   00:003.500,     5.46592,     0.00000,    14.93787
   00:003.520,     5.46856,     0.00000,    14.95037
   00:003.540,     5.47067,    -0.14064,    14.94412
   00:003.560,     5.47326,    -0.19716,    14.92537
   00:003.580,     5.47798,    -0.27006,    14.94412
   00:003.600,     5.48116,    -0.35395,    14.91912
   00:003.620,     5.48061,    -0.43234,    14.91912
   00:003.640,     5.48229,    -0.50556,    14.90662
   00:003.660,     5.48542,    -0.57214,    14.91912
   00:003.680,     5.49106,    -0.62716,    14.91912
   00:003.700,     5.49630,    -0.66911,    14.90662
   00:003.720,     5.49908,    -0.70277,    14.89413
   00:003.740,     5.49936,    -0.72817,    14.89413
   00:003.760,     5.50441,    -0.74352,    14.88163
   00:003.780,     5.51040,    -0.75509,    14.86913
   00:003.800,     5.51376,    -0.76583,    14.86913
   00:003.820,     5.51882,    -0.77655,    14.84413
   00:003.840,     5.52531,    -0.78707,    14.84413
   00:003.860,     5.52910,    -0.79653,    14.83163
   00:003.880,     5.53348,    -0.80724,    14.82538
   00:003.900,     5.53588,    -0.82583,    14.80663
   00:003.920,     5.53659,    -0.85461,    14.79414
   00:003.940,     5.53623,    -0.88334,    14.79414
   00:003.960,     5.52397,    -0.90369,    14.79414
   00:003.980,     5.48950,    -0.92042,    14.80663
   00:004.000,     5.44897,    -0.94446,    14.84413
   00:004.020,     5.41142,    -0.96774,    14.88163
   00:004.040,     5.31949,    -0.97793,    14.90662
   00:004.060,     4.94473,    -0.97577,    15.03786
   00:004.080,     4.06513,    -0.97352,    15.44407
   00:004.100,     2.97457,    -0.98114,    16.26274
   00:004.120,     2.10473,    -0.98551,    17.37512
   00:004.140,     1.53946,    -0.96949,    18.35002
   00:004.160,     1.18226,    -0.94012,    19.06870
   00:004.180,     0.94855,    -0.92132,    19.53115
   00:004.200,     0.79707,    -0.92812,    19.84362
   00:004.220,     0.69848,    -0.95327,    20.04360
   00:004.240,     0.63309,    -0.97494,    20.16859
   00:004.260,     0.58711,    -0.97703,    20.25608
   00:004.280,     0.55570,    -0.96040,    20.31857
   00:004.300,     0.53341,    -0.93956,    20.34982
   00:004.320,     0.51797,    -0.92031,    20.40606
   00:004.340,     0.50647,    -0.89714,    20.42481
   00:004.360,     0.49514,    -0.87567,    20.43106
   00:004.380,     0.48579,    -0.86273,    20.44981
   00:004.400,     0.48050,    -0.84286,    20.45606
   00:004.420,     0.47662,    -0.80671,    20.43731
   00:004.440,     0.47086,    -0.76882,    20.44981
   00:004.460,     0.46704,    -0.74403,    20.44981
   00:004.480,     0.46492,    -0.72992,    20.45606
   00:004.500,     0.46095,    -0.71555,    20.44356
   00:004.520,     0.45648,    -0.70100,    20.44356
   00:004.540,     0.45352,    -0.69598,    20.44356
   00:004.560,     0.45133,    -0.69863,    20.44356
   00:004.580,     0.45031,    -0.69695,    20.44356
   00:004.600,     0.44955,    -0.68229,    20.44981
   00:004.620,     0.44819,    -0.65921,    20.44356
   00:004.640,     0.44637,    -0.63266,    20.42481
   00:004.660,     0.44405,    -0.60059,    20.42481
   00:004.680,     0.44326,    -0.56745,    20.41856
   00:004.700,     0.44174,    -0.53856,    20.42481
   00:004.720,     0.44056,    -0.51010,    20.41231
   00:004.740,     0.44060,    -0.48097,    20.43731
   00:004.760,     0.43911,    -0.45507,    20.42481
   00:004.780,     0.43621,    -0.43245,    20.41231
   00:004.800,     0.43575,    -0.42322,    20.41856
   00:004.820,     0.43439,    -0.43700,    20.39981
   00:004.840,     0.43498,    -0.45656,    20.39356
   00:004.860,     0.43552,    -0.46370,    20.41231
   00:004.880,     0.43334,    -0.46398,    20.41231
   00:004.900,     0.43095,    -0.46280,    20.41856
   00:004.920,     0.43057,    -0.46112,    20.41231
   00:004.940,     0.43149,    -0.46078,    20.39356
   00:004.960,     0.43141,    -0.46993,    20.40606
   00:004.980,     0.42944,    -0.49050,    20.41231
   00:005.000,     0.42918,    -0.50264,    20.41231
   00:005.020,     0.42967,    -0.49222,    20.40606
   00:005.040,     0.42945,    -0.47446,    20.40606
   00:005.060,     0.42803,    -0.45725,    20.40606
   00:005.080,     0.42628,    -0.42745,    20.41856
   00:005.100,     0.42497,    -0.38047,    20.39356
   00:005.120,     0.42557,    -0.32966,    20.41856
   00:005.140,     0.42728,    -0.29149,    20.41856
   00:005.160,     0.42607,    -0.24825,    20.41856
   00:005.180,     0.42493,    -0.18445,    20.41856
   00:005.200,     0.42365,    -0.10404,    20.40606
   00:005.220,     0.42266,     0.00000,    20.39981
   00:005.240,     0.42178,     0.00000,    20.41856
   00:005.260,     0.42143,     0.00000,    20.41856
   00:005.280,     0.42274,     0.00000,    20.42481
   00:005.300,     0.42241,     0.00000,    20.39981
   00:005.320,     0.42113,     0.00000,    20.40606
   00:005.340,     0.41920,     0.00000,    20.41231
   00:005.360,     0.41963,     0.12304,    20.41856
   00:005.380,     0.42067,     0.15539,    20.41856
   00:005.400,     0.41881,     0.19171,    20.41856
   00:005.420,     0.41923,     0.22803,    20.43106
   00:005.440,     0.42048,     0.26310,    20.42481
   00:005.460,     0.41852,     0.30520,    20.41231
   00:005.480,     0.41822,     0.35183,    20.40606
   00:005.500,     0.41883,     0.39924,    20.43106
   00:005.520,     0.41962,     0.45172,    20.39981
   00:005.540,     0.41893,     0.50426,    20.41231
   00:005.560,     0.41802,     0.54405,    20.43106
   00:005.580,     0.41806,     0.56314,    20.43106
   00:005.600,     0.41924,     0.57417,    20.41856
   00:005.620,     0.41817,     0.58176,    20.42481
   00:005.640,     0.41719,     0.57518,    20.41856
   00:005.660,     0.41781,     0.57733,    20.42481
   00:005.680,     0.41907,     0.61806,    20.41231
   00:005.700,     0.41816,     0.68172,    20.42481
   00:005.720,     0.41832,     0.72238,    20.41856
   00:005.740,     0.41829,     0.72546,    20.41856
   00:005.760,     0.41783,     0.71082,    20.41856
   00:005.780,     0.41794,     0.70144,    20.41231
   00:005.800,     0.41937,     0.69486,    20.41856
   00:005.820,     0.42155,     0.68625,    20.44356
   00:005.840,     0.42019,     0.68082,    20.41856
   00:005.860,     0.41768,     0.69084,    20.41856
   00:005.880,     0.41744,     0.70560,    20.41856
   00:005.900,     0.41795,     0.69080,    20.44356
   00:005.920,     0.41793,     0.65278,    20.43106
   00:005.940,     0.41749,     0.61887,    20.43731
