<WFATester Graph 1.00 1,30.000,35.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1715,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     4.61946
   00:000.100,     4.62043
   00:000.120,     4.63335
   00:000.140,     4.62536
   00:000.160,     4.62383
   00:000.180,     4.61804
   00:000.200,     4.59333
   00:000.220,     4.55145
   00:000.240,     4.47866
   00:000.260,     4.28674
   00:000.280,     3.76838
   00:000.300,     2.93720
   00:000.320,     2.10805
   00:000.340,     1.48744
   00:000.360,     1.07354
   00:000.380,     0.79884
   00:000.400,     0.61744
   00:000.420,     0.49847
   00:000.440,     0.42054
   00:000.460,     0.36724
   00:000.480,     0.33040
   00:000.500,     0.30483
   00:000.520,     0.28698
   00:000.540,     0.27339
   00:000.560,     0.26233
   00:000.580,     0.25501
   00:000.600,     0.25016
   00:000.620,     0.24523
   00:000.640,     0.23949
   00:000.660,     0.23530
   00:000.680,     0.23345
   00:000.700,     0.23170
   00:000.720,     0.22913
   00:000.740,     0.22623
   00:000.760,     0.22513
   00:000.780,     0.22404
   00:000.800,     0.22295
   00:000.820,     0.22076
   00:000.840,     0.21916
   00:000.860,     0.21816
   00:000.880,     0.21749
   00:000.900,     0.21627
   00:000.920,     0.21533
   00:000.940,     0.21470
   00:000.960,     0.21329
   00:000.980,     0.21389
   00:001.000,     0.21293
   00:001.020,     0.21004
   00:001.040,     0.20981
   00:001.060,     0.20954
   00:001.080,     0.20868
   00:001.100,     0.20713
   00:001.120,     0.20591
   00:001.140,     0.20595
   00:001.160,     0.20428
   00:001.180,     0.20503
   00:001.200,     0.20527
   00:001.220,     0.20418
   00:001.240,     0.20311
   00:001.260,     0.20331
   00:001.280,     0.20406
   00:001.300,     0.20266
   00:001.320,     0.20075
   00:001.340,     0.20095
   00:001.360,     0.20280
   00:001.380,     0.20165
   00:001.400,     0.19988
   00:001.420,     0.20061
   00:001.440,     0.20075
   00:001.460,     0.20017
   00:001.480,     0.20011
   00:001.500,     0.20006
   00:001.520,     0.19924
   00:001.540,     0.19854
   00:001.560,     0.19753
   00:001.580,     0.19647
   00:001.600,     0.19629
   00:001.620,     0.19523
   00:001.640,     0.19512
   00:001.660,     0.19702
   00:001.680,     0.19541
   00:001.700,     0.19473
   00:001.720,     0.19555
   00:001.740,     0.19600
   00:001.760,     0.19691
   00:001.780,     0.19615
   00:001.800,     0.19391
   00:001.820,     0.19339
   00:001.840,     0.19436
   00:001.860,     0.19627
   00:001.880,     0.19729
   00:001.900,     0.19613
   00:001.920,     0.19780
   00:001.940,     0.20050
   00:001.960,     0.20240
   00:001.980,     0.20489
   00:002.000,     0.21278
   00:002.020,     0.22926
   00:002.040,     0.25919
   00:002.060,     0.30582
   00:002.080,     0.37175
   00:002.100,     0.45417
   00:002.120,     0.55359
   00:002.140,     0.67561
   00:002.160,     0.81020
   00:002.180,     0.94845
   00:002.200,     1.10193
   00:002.220,     1.28194
   00:002.240,     1.47910
   00:002.260,     1.67708
   00:002.280,     1.88502
   00:002.300,     2.12603
   00:002.320,     2.39937
   00:002.340,     2.67910
   00:002.360,     2.93627
   00:002.380,     3.15768
   00:002.400,     3.34872
   00:002.420,     3.51589
   00:002.440,     3.66215
   00:002.460,     3.78454
   00:002.480,     3.88363
   00:002.500,     3.96609
   00:002.520,     4.02737
   00:002.540,     4.07118
   00:002.560,     4.10516
   00:002.580,     4.13785
   00:002.600,     4.16603
   00:002.620,     4.19080
   00:002.640,     4.21462
   00:002.660,     4.23748
   00:002.680,     4.25751
   00:002.700,     4.27219
   00:002.720,     4.28566
   00:002.740,     4.30346
   00:002.760,     4.31911
   00:002.780,     4.33211
   00:002.800,     4.34797
   00:002.820,     4.36059
   00:002.840,     4.36901
   00:002.860,     4.37921
   00:002.880,     4.38624
   00:002.900,     4.39165
   00:002.920,     4.40335
   00:002.940,     4.41925
   00:002.960,     4.43233
   00:002.980,     4.44261
   00:003.000,     4.45200
   00:003.020,     4.46145
   00:003.040,     4.47036
   00:003.060,     4.47919
   00:003.080,     4.48769
   00:003.100,     4.49613
   00:003.120,     4.50420
   00:003.140,     4.51245
   00:003.160,     4.52216
   00:003.180,     4.53038
   00:003.200,     4.53761
   00:003.220,     4.54487
   00:003.240,     4.55064
   00:003.260,     4.55660
   00:003.280,     4.56115
   00:003.300,     4.56462
   00:003.320,     4.56614
   00:003.340,     4.56758
   00:003.360,     4.56898
   00:003.380,     4.56778
   00:003.400,     4.56324
   00:003.420,     4.56129
   00:003.440,     4.56108
   00:003.460,     4.55961
   00:003.480,     4.55814
   00:003.500,     4.55638
   00:003.520,     4.55655
   00:003.540,     4.55752
   00:003.560,     4.56130
   00:003.580,     4.56270
   00:003.600,     4.56442
   00:003.620,     4.56829
   00:003.640,     4.56980
   00:003.660,     4.57577
   00:003.680,     4.58248
   00:003.700,     4.58370
   00:003.720,     4.58605
   00:003.740,     4.58878
   00:003.760,     4.59179
   00:003.780,     4.59608
   00:003.800,     4.60149
   00:003.820,     4.60427
   00:003.840,     4.60807
   00:003.860,     4.61223
   00:003.880,     4.61207
   00:003.900,     4.61365
   00:003.920,     4.61491
   00:003.940,     4.61471
   00:003.960,     4.59127
   00:003.980,     4.50024
   00:004.000,     4.30737
   00:004.020,     4.07610
   00:004.040,     3.89789
   00:004.060,     3.76464
   00:004.080,     3.59791
   00:004.100,     3.34646
   00:004.120,     3.05541
   00:004.140,     2.78961
   00:004.160,     2.45279
   00:004.180,     1.96579
   00:004.200,     1.45937
   00:004.220,     1.06466
   00:004.240,     0.79510
   00:004.260,     0.61552
   00:004.280,     0.49439
   00:004.300,     0.41373
   00:004.320,     0.36050
   00:004.340,     0.32445
   00:004.360,     0.29952
   00:004.380,     0.28187
   00:004.400,     0.26767
   00:004.420,     0.25854
   00:004.440,     0.25260
   00:004.460,     0.24787
   00:004.480,     0.24131
   00:004.500,     0.23635
   00:004.520,     0.23461
   00:004.540,     0.23312
   00:004.560,     0.23058
   00:004.580,     0.22822
   00:004.600,     0.22570
   00:004.620,     0.22486
   00:004.640,     0.22382
   00:004.660,     0.22140
   00:004.680,     0.21930
   00:004.700,     0.21706
   00:004.720,     0.21744
   00:004.740,     0.21752
   00:004.760,     0.21572
   00:004.780,     0.21347
   00:004.800,     0.21297
   00:004.820,     0.21196
   00:004.840,     0.20980
   00:004.860,     0.20902
   00:004.880,     0.20946
   00:004.900,     0.20835
   00:004.920,     0.20744
   00:004.940,     0.20722
   00:004.960,     0.20636
   00:004.980,     0.20551
   00:005.000,     0.20560
   00:005.020,     0.20545
   00:005.040,     0.20389
   00:005.060,     0.20344
   00:005.080,     0.20356
   00:005.100,     0.20266
   00:005.120,     0.20183
   00:005.140,     0.20196
   00:005.160,     0.20186
   00:005.180,     0.20125
   00:005.200,     0.19990
   00:005.220,     0.20024
   00:005.240,     0.20010
   00:005.260,     0.19911
   00:005.280,     0.19879
   00:005.300,     0.19940
   00:005.320,     0.19936
   00:005.340,     0.19979
   00:005.360,     0.19830
   00:005.380,     0.19622
   00:005.400,     0.19603
   00:005.420,     0.19757
   00:005.440,     0.19758
   00:005.460,     0.19749
   00:005.480,     0.19722
   00:005.500,     0.19725
   00:005.520,     0.19759
   00:005.540,     0.19813
   00:005.560,     0.19854
   00:005.580,     0.19865
   00:005.600,     0.19972
   00:005.620,     0.19916
   00:005.640,     0.19839
   00:005.660,     0.19821
   00:005.680,     0.19685
   00:005.700,     0.19662
   00:005.720,     0.19692
   00:005.740,     0.19812
   00:005.760,     0.19838
   00:005.780,     0.19859
   00:005.800,     0.19969
   00:005.820,     0.20220
   00:005.840,     0.20363
   00:005.860,     0.20504
   00:005.880,     0.20766
   00:005.900,     0.21377
   00:005.920,     0.22784
   00:005.940,     0.26073
   00:005.960,     0.32970
   00:005.980,     0.44349
   00:006.000,     0.60026
   00:006.020,     0.79470
   00:006.040,     1.01689
   00:006.060,     1.26070
   00:006.080,     1.52432
   00:006.100,     1.80547
   00:006.120,     2.10842
   00:006.140,     2.42597
   00:006.160,     2.74065
   00:006.180,     3.03066
   00:006.200,     3.28802
   00:006.220,     3.51428
   00:006.240,     3.70735
   00:006.260,     3.86632
   00:006.280,     3.99348
   00:006.300,     4.08952
   00:006.320,     4.16354
   00:006.340,     4.22543
   00:006.360,     4.27513
   00:006.380,     4.31385
   00:006.400,     4.34048
   00:006.420,     4.36110
   00:006.440,     4.37630
   00:006.460,     4.38639
   00:006.480,     4.39159
   00:006.500,     4.39828
   00:006.520,     4.41471
   00:006.540,     4.43006
   00:006.560,     4.44202
   00:006.580,     4.45495
   00:006.600,     4.47097
   00:006.620,     4.49047
   00:006.640,     4.50525
   00:006.660,     4.51540
   00:006.680,     4.52746
   00:006.700,     4.54197
   00:006.720,     4.55232
   00:006.740,     4.55896
   00:006.760,     4.56487
   00:006.780,     4.57135
   00:006.800,     4.57710
   00:006.820,     4.57982
   00:006.840,     4.58391
   00:006.860,     4.59402
   00:006.880,     4.60389
   00:006.900,     4.61340
   00:006.920,     4.62379
   00:006.940,     4.63456
   00:006.960,     4.63924
   00:006.980,     4.64616
   00:007.000,     4.65648
   00:007.020,     4.66528
   00:007.040,     4.67232
   00:007.060,     4.68153
   00:007.080,     4.69732
   00:007.100,     4.70764
   00:007.120,     4.71602
   00:007.140,     4.72558
   00:007.160,     4.73025
   00:007.180,     4.73693
   00:007.200,     4.74484
   00:007.220,     4.74882
   00:007.240,     4.75302
   00:007.260,     4.75450
   00:007.280,     4.75736
   00:007.300,     4.76540
   00:007.320,     4.77090
   00:007.340,     4.77161
   00:007.360,     4.77118
   00:007.380,     4.77191
   00:007.400,     4.77103
   00:007.420,     4.76196
