<WFATester Graph 1.00 1,30.000,35.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1645,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     4.54735
   00:000.120,     4.54782
   00:000.140,     4.54156
   00:000.160,     4.54057
   00:000.180,     4.54403
   00:000.200,     4.55482
   00:000.220,     4.55611
   00:000.240,     4.55568
   00:000.260,     4.55736
   00:000.280,     4.55780
   00:000.300,     4.55713
   00:000.320,     4.55848
   00:000.340,     4.55969
   00:000.360,     4.56014
   00:000.380,     4.55781
   00:000.400,     4.55732
   00:000.420,     4.55778
   00:000.440,     4.55572
   00:000.460,     4.55357
   00:000.480,     4.55414
   00:000.500,     4.55348
   00:000.520,     4.54652
   00:000.540,     4.52935
   00:000.560,     4.50049
   00:000.580,     4.47202
   00:000.600,     4.42416
   00:000.620,     4.22507
   00:000.640,     3.67290
   00:000.660,     2.82270
   00:000.680,     1.99904
   00:000.700,     1.38552
   00:000.720,     0.97161
   00:000.740,     0.69869
   00:000.760,     0.51898
   00:000.780,     0.40194
   00:000.800,     0.32520
   00:000.820,     0.27334
   00:000.840,     0.23700
   00:000.860,     0.21078
   00:000.880,     0.19221
   00:000.900,     0.17831
   00:000.920,     0.16915
   00:000.940,     0.16166
   00:000.960,     0.15403
   00:000.980,     0.15121
   00:001.000,     0.14815
   00:001.020,     0.14404
   00:001.040,     0.14145
   00:001.060,     0.13960
   00:001.080,     0.13762
   00:001.100,     0.13546
   00:001.120,     0.13354
   00:001.140,     0.13076
   00:001.160,     0.12866
   00:001.180,     0.12819
   00:001.200,     0.12658
   00:001.220,     0.12476
   00:001.240,     0.12346
   00:001.260,     0.12232
   00:001.280,     0.12133
   00:001.300,     0.12047
   00:001.320,     0.12030
   00:001.340,     0.11904
   00:001.360,     0.11800
   00:001.380,     0.11733
   00:001.400,     0.11667
   00:001.420,     0.11609
   00:001.440,     0.11454
   00:001.460,     0.11443
   00:001.480,     0.11433
   00:001.500,     0.11411
   00:001.520,     0.11259
   00:001.540,     0.11087
   00:001.560,     0.11149
   00:001.580,     0.11209
   00:001.600,     0.11029
   00:001.620,     0.10957
   00:001.640,     0.11012
   00:001.660,     0.11034
   00:001.680,     0.11044
   00:001.700,     0.11020
   00:001.720,     0.11096
   00:001.740,     0.11049
   00:001.760,     0.11113
   00:001.780,     0.11326
   00:001.800,     0.11292
   00:001.820,     0.11243
   00:001.840,     0.11198
   00:001.860,     0.11218
   00:001.880,     0.11709
   00:001.900,     0.13590
   00:001.920,     0.16668
   00:001.940,     0.19654
   00:001.960,     0.22431
   00:001.980,     0.26418
   00:002.000,     0.34197
   00:002.020,     0.49761
   00:002.040,     0.76880
   00:002.060,     1.14036
   00:002.080,     1.55561
   00:002.100,     1.96701
   00:002.120,     2.34627
   00:002.140,     2.67417
   00:002.160,     2.94554
   00:002.180,     3.16916
   00:002.200,     3.34740
   00:002.220,     3.49248
   00:002.240,     3.61242
   00:002.260,     3.70833
   00:002.280,     3.78940
   00:002.300,     3.85732
   00:002.320,     3.91249
   00:002.340,     3.96814
   00:002.360,     4.01969
   00:002.380,     4.06588
   00:002.400,     4.11005
   00:002.420,     4.14782
   00:002.440,     4.18396
   00:002.460,     4.21446
   00:002.480,     4.24464
   00:002.500,     4.27114
   00:002.520,     4.29184
   00:002.540,     4.31143
   00:002.560,     4.33691
   00:002.580,     4.35974
   00:002.600,     4.37557
   00:002.620,     4.39287
   00:002.640,     4.41685
   00:002.660,     4.43603
   00:002.680,     4.45013
   00:002.700,     4.46393
   00:002.720,     4.47778
   00:002.740,     4.49435
   00:002.760,     4.51012
   00:002.780,     4.52098
   00:002.800,     4.53053
   00:002.820,     4.53992
   00:002.840,     4.54907
   00:002.860,     4.55903
   00:002.880,     4.56616
   00:002.900,     4.57513
   00:002.920,     4.58249
   00:002.940,     4.58773
   00:002.960,     4.59434
   00:002.980,     4.60265
   00:003.000,     4.61270
   00:003.020,     4.61873
   00:003.040,     4.62045
   00:003.060,     4.62765
   00:003.080,     4.63707
   00:003.100,     4.64007
   00:003.120,     4.64235
   00:003.140,     4.64774
   00:003.160,     4.65075
   00:003.180,     4.65046
   00:003.200,     4.65068
   00:003.220,     4.65117
   00:003.240,     4.65035
   00:003.260,     4.64856
   00:003.280,     4.64855
   00:003.300,     4.65089
   00:003.320,     4.65496
   00:003.340,     4.65574
   00:003.360,     4.65671
   00:003.380,     4.66005
   00:003.400,     4.66085
   00:003.420,     4.66177
   00:003.440,     4.66149
   00:003.460,     4.65821
   00:003.480,     4.64279
   00:003.500,     4.58897
   00:003.520,     4.47547
   00:003.540,     4.27723
   00:003.560,     3.90052
   00:003.580,     3.23406
   00:003.600,     2.41283
   00:003.620,     1.69514
   00:003.640,     1.18204
   00:003.660,     0.83934
   00:003.680,     0.61297
   00:003.700,     0.46462
   00:003.720,     0.36612
   00:003.740,     0.29954
   00:003.760,     0.25590
   00:003.780,     0.22452
   00:003.800,     0.20320
   00:003.820,     0.19038
   00:003.840,     0.17774
   00:003.860,     0.16728
   00:003.880,     0.16146
   00:003.900,     0.15639
   00:003.920,     0.15167
   00:003.940,     0.14891
   00:003.960,     0.14463
   00:003.980,     0.14145
   00:004.000,     0.13941
   00:004.020,     0.13742
   00:004.040,     0.13570
   00:004.060,     0.13355
   00:004.080,     0.13091
   00:004.100,     0.12902
   00:004.120,     0.12811
   00:004.140,     0.12724
   00:004.160,     0.12603
   00:004.180,     0.12477
   00:004.200,     0.12331
   00:004.220,     0.12321
   00:004.240,     0.12304
   00:004.260,     0.12185
   00:004.280,     0.12083
   00:004.300,     0.12016
   00:004.320,     0.11825
   00:004.340,     0.11832
   00:004.360,     0.11814
   00:004.380,     0.11735
   00:004.400,     0.11570
   00:004.420,     0.11509
   00:004.440,     0.11513
   00:004.460,     0.11385
   00:004.480,     0.11360
   00:004.500,     0.11403
   00:004.520,     0.11260
   00:004.540,     0.11191
   00:004.560,     0.11113
   00:004.580,     0.11110
   00:004.600,     0.11125
   00:004.620,     0.11023
   00:004.640,     0.11015
   00:004.660,     0.11060
   00:004.680,     0.11126
   00:004.700,     0.11216
   00:004.720,     0.11294
   00:004.740,     0.11258
   00:004.760,     0.11172
   00:004.780,     0.11059
   00:004.800,     0.11090
   00:004.820,     0.11539
   00:004.840,     0.12194
   00:004.860,     0.13011
   00:004.880,     0.14233
   00:004.900,     0.15606
   00:004.920,     0.17125
   00:004.940,     0.19344
   00:004.960,     0.23450
   00:004.980,     0.31617
   00:005.000,     0.45402
   00:005.020,     0.66074
   00:005.040,     0.94985
   00:005.060,     1.30319
   00:005.080,     1.67180
   00:005.100,     2.01617
   00:005.120,     2.32668
   00:005.140,     2.60783
   00:005.160,     2.85571
   00:005.180,     3.05946
   00:005.200,     3.23034
   00:005.220,     3.37929
   00:005.240,     3.49666
   00:005.260,     3.58630
   00:005.280,     3.66022
   00:005.300,     3.72646
   00:005.320,     3.79064
   00:005.340,     3.85016
   00:005.360,     3.91375
   00:005.380,     3.97479
   00:005.400,     4.02996
   00:005.420,     4.07898
   00:005.440,     4.12416
   00:005.460,     4.16156
   00:005.480,     4.19212
   00:005.500,     4.21833
   00:005.520,     4.24424
   00:005.540,     4.27076
   00:005.560,     4.29355
   00:005.580,     4.30971
   00:005.600,     4.31977
   00:005.620,     4.33566
   00:005.640,     4.35372
   00:005.660,     4.37457
   00:005.680,     4.39959
   00:005.700,     4.41910
   00:005.720,     4.43337
   00:005.740,     4.44595
   00:005.760,     4.45931
   00:005.780,     4.47329
   00:005.800,     4.48691
   00:005.820,     4.49795
   00:005.840,     4.51010
   00:005.860,     4.52475
   00:005.880,     4.53191
   00:005.900,     4.53967
   00:005.920,     4.55035
   00:005.940,     4.56095
   00:005.960,     4.57423
   00:005.980,     4.58819
   00:006.000,     4.59798
   00:006.020,     4.60549
   00:006.040,     4.61158
   00:006.060,     4.61604
   00:006.080,     4.61920
   00:006.100,     4.62409
   00:006.120,     4.62772
   00:006.140,     4.63422
   00:006.160,     4.64393
   00:006.180,     4.65145
   00:006.200,     4.66416
   00:006.220,     4.67647
   00:006.240,     4.68044
   00:006.260,     4.66313
   00:006.280,     4.59480
   00:006.300,     4.49335
   00:006.320,     4.40373
   00:006.340,     4.35949
   00:006.360,     4.36722
   00:006.380,     4.40839
   00:006.400,     4.46362
   00:006.420,     4.51876
   00:006.440,     4.56088
   00:006.460,     4.58816
   00:006.480,     4.60688
   00:006.500,     4.61750
   00:006.520,     4.62457
   00:006.540,     4.63616
   00:006.560,     4.65562
   00:006.580,     4.67496
   00:006.600,     4.68613
   00:006.620,     4.69396
   00:006.640,     4.70155
   00:006.660,     4.69957
   00:006.680,     4.69609
   00:006.700,     4.69486
   00:006.720,     4.68736
   00:006.740,     4.65549
   00:006.760,     4.58497
   00:006.780,     4.47410
   00:006.800,     4.32922
   00:006.820,     4.16209
   00:006.840,     3.99256
   00:006.860,     3.81170
   00:006.880,     3.49679
   00:006.900,     2.92509
   00:006.920,     2.21137
   00:006.940,     1.57663
   00:006.960,     1.11030
   00:006.980,     0.79372
   00:007.000,     0.58366
   00:007.020,     0.44463
   00:007.040,     0.35278
   00:007.060,     0.29133
   00:007.080,     0.25151
   00:007.100,     0.22270
   00:007.120,     0.20207
   00:007.140,     0.18733
   00:007.160,     0.17554
   00:007.180,     0.16845
   00:007.200,     0.16080
   00:007.220,     0.15524
   00:007.240,     0.15097
   00:007.260,     0.14606
   00:007.280,     0.14317
   00:007.300,     0.14138
   00:007.320,     0.13941
   00:007.340,     0.13723
   00:007.360,     0.13586
   00:007.380,     0.13439
   00:007.400,     0.13166
   00:007.420,     0.13032
