<WFATester Graph 1.00 1,35.000,40.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1805,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     1.00991
   00:000.120,     1.01049
   00:000.140,     1.01009
   00:000.160,     1.00655
   00:000.180,     1.00668
   00:000.200,     1.00591
   00:000.220,     1.00483
   00:000.240,     1.00478
   00:000.260,     1.00437
   00:000.280,     1.00468
   00:000.300,     1.00556
   00:000.320,     1.00495
   00:000.340,     1.00425
   00:000.360,     1.00390
   00:000.380,     1.00240
   00:000.400,     1.00130
   00:000.420,     1.00139
   00:000.440,     1.00210
   00:000.460,     1.00363
   00:000.480,     1.00382
   00:000.500,     1.00066
   00:000.520,     0.99837
   00:000.540,     0.99892
   00:000.560,     1.00238
   00:000.580,     1.00876
   00:000.600,     1.01989
   00:000.620,     1.03603
   00:000.640,     1.05463
   00:000.660,     1.06905
   00:000.680,     1.07850
   00:000.700,     1.08360
   00:000.720,     1.08706
   00:000.740,     1.09061
   00:000.760,     1.09765
   00:000.780,     1.11547
   00:000.800,     1.15273
   00:000.820,     1.20923
   00:000.840,     1.27335
   00:000.860,     1.33970
   00:000.880,     1.41089
   00:000.900,     1.49361
   00:000.920,     1.59187
   00:000.940,     1.70494
   00:000.960,     1.82494
   00:000.980,     1.93863
   00:001.000,     2.03367
   00:001.020,     2.11286
   00:001.040,     2.19768
   00:001.060,     2.31690
   00:001.080,     2.47994
   00:001.100,     2.67725
   00:001.120,     2.90533
   00:001.140,     3.15192
   00:001.160,     3.38466
   00:001.180,     3.57032
   00:001.200,     3.71412
   00:001.220,     3.86373
   00:001.240,     4.06898
   00:001.260,     4.32151
   00:001.280,     4.56938
   00:001.300,     4.77224
   00:001.320,     4.92168
   00:001.340,     5.04059
   00:001.360,     5.15232
   00:001.380,     5.25881
   00:001.400,     5.34120
   00:001.420,     5.40761
   00:001.440,     5.47517
   00:001.460,     5.52786
   00:001.480,     5.56461
   00:001.500,     5.61096
   00:001.520,     5.66674
   00:001.540,     5.71234
   00:001.560,     5.75233
   00:001.580,     5.80991
   00:001.600,     5.89013
   00:001.620,     5.96438
   00:001.640,     6.03041
   00:001.660,     6.11575
   00:001.680,     6.21477
   00:001.700,     6.29346
   00:001.720,     6.33180
   00:001.740,     6.34196
   00:001.760,     6.35493
   00:001.780,     6.38445
   00:001.800,     6.43074
   00:001.820,     6.48970
   00:001.840,     6.55045
   00:001.860,     6.60986
   00:001.880,     6.65638
   00:001.900,     6.68382
   00:001.920,     6.69147
   00:001.940,     6.68062
   00:001.960,     6.66115
   00:001.980,     6.65416
   00:002.000,     6.67082
   00:002.020,     6.70092
   00:002.040,     6.73076
   00:002.060,     6.74984
   00:002.080,     6.76208
   00:002.100,     6.77837
   00:002.120,     6.79387
   00:002.140,     6.80412
   00:002.160,     6.82120
   00:002.180,     6.84518
   00:002.200,     6.86962
   00:002.220,     6.89035
   00:002.240,     6.90996
   00:002.260,     6.93081
   00:002.280,     6.94943
   00:002.300,     6.96216
   00:002.320,     6.97232
   00:002.340,     6.98522
   00:002.360,     6.99919
   00:002.380,     7.00752
   00:002.400,     7.00890
   00:002.420,     7.01114
   00:002.440,     7.02231
   00:002.460,     7.04259
   00:002.480,     7.06653
   00:002.500,     7.08762
   00:002.520,     7.09943
   00:002.540,     7.10746
   00:002.560,     7.12129
   00:002.580,     7.13032
   00:002.600,     7.13588
   00:002.620,     7.14655
   00:002.640,     7.15638
   00:002.660,     7.16389
   00:002.680,     7.17000
   00:002.700,     7.17888
   00:002.720,     7.19139
   00:002.740,     7.20209
   00:002.760,     7.21272
   00:002.780,     7.22056
   00:002.800,     7.23099
   00:002.820,     7.24214
   00:002.840,     7.25102
   00:002.860,     7.26086
   00:002.880,     7.27080
   00:002.900,     7.27776
   00:002.920,     7.28449
   00:002.940,     7.29419
   00:002.960,     7.30443
   00:002.980,     7.31635
   00:003.000,     7.32377
   00:003.020,     7.32857
   00:003.040,     7.33432
   00:003.060,     7.33789
   00:003.080,     7.34031
   00:003.100,     7.34472
   00:003.120,     7.34860
   00:003.140,     7.34975
   00:003.160,     7.34825
   00:003.180,     7.34385
   00:003.200,     7.33942
   00:003.220,     7.34386
   00:003.240,     7.34588
   00:003.260,     7.33363
   00:003.280,     7.27128
   00:003.300,     7.05406
   00:003.320,     6.65523
   00:003.340,     6.22549
   00:003.360,     5.91691
   00:003.380,     5.74465
   00:003.400,     5.66298
   00:003.420,     5.63217
   00:003.440,     5.63046
   00:003.460,     5.64872
   00:003.480,     5.68581
   00:003.500,     5.73782
   00:003.520,     5.79475
   00:003.540,     5.84738
   00:003.560,     5.88196
   00:003.580,     5.89771
   00:003.600,     5.90971
   00:003.620,     5.92605
   00:003.640,     5.94474
   00:003.660,     5.95338
   00:003.680,     5.87147
   00:003.700,     5.52860
   00:003.720,     4.81111
   00:003.740,     3.87078
   00:003.760,     3.00292
   00:003.780,     2.35364
   00:003.800,     1.91033
   00:003.820,     1.61705
   00:003.840,     1.42560
   00:003.860,     1.30087
   00:003.880,     1.21790
   00:003.900,     1.16362
   00:003.920,     1.12610
   00:003.940,     1.10048
   00:003.960,     1.08348
   00:003.980,     1.07011
   00:004.000,     1.05958
   00:004.020,     1.05161
   00:004.040,     1.04715
   00:004.060,     1.04298
   00:004.080,     1.03872
   00:004.100,     1.03557
   00:004.120,     1.03379
   00:004.140,     1.03096
   00:004.160,     1.02817
   00:004.180,     1.02661
   00:004.200,     1.02459
   00:004.220,     1.02310
   00:004.240,     1.02199
   00:004.260,     1.01974
   00:004.280,     1.01762
   00:004.300,     1.01608
   00:004.320,     1.01507
   00:004.340,     1.01368
   00:004.360,     1.01213
   00:004.380,     1.01048
   00:004.400,     1.00958
   00:004.420,     1.00840
   00:004.440,     1.00748
   00:004.460,     1.00591
   00:004.480,     1.00590
   00:004.500,     1.00577
   00:004.520,     1.00551
   00:004.540,     1.00405
   00:004.560,     1.00149
   00:004.580,     1.00263
   00:004.600,     1.00296
   00:004.620,     1.00117
   00:004.640,     1.00023
   00:004.660,     1.00155
   00:004.680,     1.00073
   00:004.700,     0.99871
   00:004.720,     0.99779
   00:004.740,     0.99779
   00:004.760,     0.99849
   00:004.780,     0.99895
   00:004.800,     0.99780
   00:004.820,     0.99643
   00:004.840,     0.99582
   00:004.860,     0.99544
   00:004.880,     0.99460
   00:004.900,     0.99464
   00:004.920,     0.99542
   00:004.940,     0.99492
   00:004.960,     0.99465
   00:004.980,     0.99474
   00:005.000,     0.99639
   00:005.020,     1.00503
   00:005.040,     1.01967
   00:005.060,     1.03556
   00:005.080,     1.05208
   00:005.100,     1.07138
   00:005.120,     1.10018
   00:005.140,     1.15310
   00:005.160,     1.23609
   00:005.180,     1.35257
   00:005.200,     1.50652
   00:005.220,     1.70696
   00:005.240,     1.96110
   00:005.260,     2.26237
   00:005.280,     2.60053
   00:005.300,     2.97378
   00:005.320,     3.37487
   00:005.340,     3.77653
   00:005.360,     4.16045
   00:005.380,     4.52124
   00:005.400,     4.84826
   00:005.420,     5.12842
   00:005.440,     5.35950
   00:005.460,     5.55724
   00:005.480,     5.73454
   00:005.500,     5.88456
   00:005.520,     6.00741
   00:005.540,     6.10985
   00:005.560,     6.19512
   00:005.580,     6.26283
   00:005.600,     6.31190
   00:005.620,     6.35531
   00:005.640,     6.40163
   00:005.660,     6.44472
   00:005.680,     6.48242
   00:005.700,     6.51530
   00:005.720,     6.54035
   00:005.740,     6.56647
   00:005.760,     6.59434
   00:005.780,     6.62121
   00:005.800,     6.64360
   00:005.820,     6.66233
   00:005.840,     6.68339
   00:005.860,     6.70644
   00:005.880,     6.72716
   00:005.900,     6.74487
   00:005.920,     6.76217
   00:005.940,     6.78090
   00:005.960,     6.79928
   00:005.980,     6.81491
   00:006.000,     6.82704
   00:006.020,     6.83478
   00:006.040,     6.84225
   00:006.060,     6.85557
   00:006.080,     6.86304
   00:006.100,     6.86767
   00:006.120,     6.87618
   00:006.140,     6.88467
   00:006.160,     6.89051
   00:006.180,     6.89475
   00:006.200,     6.89977
   00:006.220,     6.90113
   00:006.240,     6.90229
   00:006.260,     6.90422
   00:006.280,     6.91059
   00:006.300,     6.91569
   00:006.320,     6.91708
   00:006.340,     6.92044
   00:006.360,     6.92355
   00:006.380,     6.92396
   00:006.400,     6.92831
   00:006.420,     6.93704
   00:006.440,     6.94194
   00:006.460,     6.94493
   00:006.480,     6.94733
   00:006.500,     6.95308
   00:006.520,     6.95719
   00:006.540,     6.96005
   00:006.560,     6.96266
   00:006.580,     6.96825
   00:006.600,     6.97489
   00:006.620,     6.97724
   00:006.640,     6.98114
   00:006.660,     6.98728
   00:006.680,     6.99216
   00:006.700,     6.99481
   00:006.720,     6.99699
   00:006.740,     7.00055
   00:006.760,     6.99986
   00:006.780,     6.99765
   00:006.800,     7.00174
   00:006.820,     7.00694
   00:006.840,     7.01023
   00:006.860,     7.01407
   00:006.880,     7.01319
   00:006.900,     7.01062
   00:006.920,     6.98234
   00:006.940,     6.84957
   00:006.960,     6.54659
   00:006.980,     6.12350
   00:007.000,     5.73359
   00:007.020,     5.53172
   00:007.040,     5.58457
   00:007.060,     5.81850
   00:007.080,     6.09944
   00:007.100,     6.34580
   00:007.120,     6.54107
   00:007.140,     6.68447
   00:007.160,     6.77975
   00:007.180,     6.83708
   00:007.200,     6.87500
   00:007.220,     6.90614
   00:007.240,     6.93230
   00:007.260,     6.95624
   00:007.280,     6.97291
   00:007.300,     6.98250
   00:007.320,     6.98773
   00:007.340,     6.98981
   00:007.360,     6.98847
   00:007.380,     6.97597
   00:007.400,     6.93693
   00:007.420,     6.86703
