<WFATester Graph 1.00 1,40.000,45.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2215,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     2.44469
   00:000.100,     2.58030
   00:000.120,     2.62161
   00:000.140,     2.66945
   00:000.160,     2.75287
   00:000.180,     3.36753
   00:000.200,     3.49697
   00:000.220,     3.62279
   00:000.240,     3.72856
   00:000.260,     3.81315
   00:000.280,     3.89010
   00:000.300,     3.95853
   00:000.320,     4.01714
   00:000.340,     4.07217
   00:000.360,     4.12291
   00:000.380,     4.16504
   00:000.400,     4.20073
   00:000.420,     4.23253
   00:000.440,     4.26287
   00:000.460,     4.28757
   00:000.480,     4.30685
   00:000.500,     4.32683
   00:000.520,     4.34436
   00:000.540,     4.36134
   00:000.560,     4.37969
   00:000.580,     4.39604
   00:000.600,     4.41080
   00:000.620,     4.42875
   00:000.640,     4.44554
   00:000.660,     4.45824
   00:000.680,     4.46926
   00:000.700,     4.48281
   00:000.720,     4.49731
   00:000.740,     4.50940
   00:000.760,     4.51963
   00:000.780,     4.52787
   00:000.800,     4.53905
   00:000.820,     4.54975
   00:000.840,     4.55781
   00:000.860,     4.56771
   00:000.880,     4.57954
   00:000.900,     4.58773
   00:000.920,     4.59739
   00:000.940,     4.60860
   00:000.960,     4.61870
   00:000.980,     4.62472
   00:001.000,     4.63048
   00:001.020,     4.63770
   00:001.040,     4.64223
   00:001.060,     4.64409
   00:001.080,     4.64540
   00:001.100,     4.64715
   00:001.120,     4.65094
   00:001.140,     4.65517
   00:001.160,     4.65934
   00:001.180,     4.66511
   00:001.200,     4.67202
   00:001.220,     4.67872
   00:001.240,     4.68727
   00:001.260,     4.69530
   00:001.280,     4.69970
   00:001.300,     4.70913
   00:001.320,     4.71505
   00:001.340,     4.71767
   00:001.360,     4.72446
   00:001.380,     4.73289
   00:001.400,     4.73922
   00:001.420,     4.74279
   00:001.440,     4.74733
   00:001.460,     4.75244
   00:001.480,     4.75543
   00:001.500,     4.75779
   00:001.520,     4.76266
   00:001.540,     4.76484
   00:001.560,     4.76885
   00:001.580,     4.77480
   00:001.600,     4.77702
   00:001.620,     4.77671
   00:001.640,     4.78037
   00:001.660,     4.78081
   00:001.680,     4.78183
   00:001.700,     4.77731
   00:001.720,     4.72522
   00:001.740,     4.58490
   00:001.760,     4.42609
   00:001.780,     4.35187
   00:001.800,     4.35292
   00:001.820,     4.35352
   00:001.840,     4.25276
   00:001.860,     3.88541
   00:001.880,     3.17126
   00:001.900,     2.32330
   00:001.920,     1.61421
   00:001.940,     1.12396
   00:001.960,     0.81618
   00:001.980,     0.64312
   00:002.000,     0.55440
   00:002.020,     0.49722
   00:002.040,     0.43150
   00:002.060,     0.35998
   00:002.080,     0.30571
   00:002.100,     0.27344
   00:002.120,     0.25045
   00:002.140,     0.22523
   00:002.160,     0.19629
   00:002.180,     0.17172
   00:002.200,     0.15415
   00:002.220,     0.14195
   00:002.240,     0.13258
   00:002.260,     0.12471
   00:002.280,     0.11916
   00:002.300,     0.11672
   00:002.320,     0.11404
   00:002.340,     0.11020
   00:002.360,     0.10817
   00:002.380,     0.10589
   00:002.400,     0.10439
   00:002.420,     0.10103
   00:002.440,     0.09897
   00:002.460,     0.09896
   00:002.480,     0.09833
   00:002.500,     0.09653
   00:002.520,     0.09503
   00:002.540,     0.09445
   00:002.560,     0.09370
   00:002.580,     0.09278
   00:002.600,     0.09194
   00:002.620,     0.09124
   00:002.640,     0.09082
   00:002.660,     0.09055
   00:002.680,     0.09031
   00:002.700,     0.08777
   00:002.720,     0.08525
   00:002.740,     0.08663
   00:002.760,     0.08705
   00:002.780,     0.08514
   00:002.800,     0.08460
   00:002.820,     0.08410
   00:002.840,     0.08408
   00:002.860,     0.08432
   00:002.880,     0.08427
   00:002.900,     0.08185
   00:002.920,     0.08135
   00:002.940,     0.08162
   00:002.960,     0.08107
   00:002.980,     0.07998
   00:003.000,     0.08068
   00:003.020,     0.08072
   00:003.040,     0.07956
   00:003.060,     0.07971
   00:003.080,     0.08050
   00:003.100,     0.08108
   00:003.120,     0.08313
   00:003.140,     0.08436
   00:003.160,     0.08326
   00:003.180,     0.08376
   00:003.200,     0.08896
   00:003.220,     0.10033
   00:003.240,     0.12060
   00:003.260,     0.14621
   00:003.280,     0.16863
   00:003.300,     0.18646
   00:003.320,     0.20060
   00:003.340,     0.21202
   00:003.360,     0.22569
   00:003.380,     0.24333
   00:003.400,     0.26993
   00:003.420,     0.30512
   00:003.440,     0.35160
   00:003.460,     0.41609
   00:003.480,     0.49887
   00:003.500,     0.59400
   00:003.520,     0.70565
   00:003.540,     0.84106
   00:003.560,     1.00742
   00:003.580,     1.19692
   00:003.600,     1.37814
   00:003.620,     1.54228
   00:003.640,     1.71027
   00:003.660,     1.88787
   00:003.680,     2.07194
   00:003.700,     2.26102
   00:003.720,     2.45034
   00:003.740,     2.63258
   00:003.760,     2.79165
   00:003.780,     2.91708
   00:003.800,     3.01407
   00:003.820,     3.08578
   00:003.840,     3.14224
   00:003.860,     3.20126
   00:003.880,     3.26208
   00:003.900,     3.31918
   00:003.920,     3.37248
   00:003.940,     3.41888
   00:003.960,     3.45430
   00:003.980,     3.48137
   00:004.000,     3.51972
   00:004.020,     3.58242
   00:004.040,     3.66037
   00:004.060,     3.74380
   00:004.080,     3.82447
   00:004.100,     3.89892
   00:004.120,     3.96227
   00:004.140,     4.00722
   00:004.160,     4.03639
   00:004.180,     4.07040
   00:004.200,     4.12097
   00:004.220,     4.18412
   00:004.240,     4.24916
   00:004.260,     4.31105
   00:004.280,     4.36066
   00:004.300,     4.39788
   00:004.320,     4.42856
   00:004.340,     4.45156
   00:004.360,     4.46705
   00:004.380,     4.48175
   00:004.400,     4.49635
   00:004.420,     4.51613
   00:004.440,     4.53609
   00:004.460,     4.55277
   00:004.480,     4.57107
   00:004.500,     4.59008
   00:004.520,     4.61279
   00:004.540,     4.63709
   00:004.560,     4.66563
   00:004.580,     4.68977
   00:004.600,     4.71397
   00:004.620,     4.73772
   00:004.640,     4.75172
   00:004.660,     4.76510
   00:004.680,     4.77770
   00:004.700,     4.78900
   00:004.720,     4.80115
   00:004.740,     4.81258
   00:004.760,     4.82118
   00:004.780,     4.82907
   00:004.800,     4.83925
   00:004.820,     4.84559
   00:004.840,     4.85143
   00:004.860,     4.85796
   00:004.880,     4.86156
   00:004.900,     4.86545
   00:004.920,     4.86927
   00:004.940,     4.87350
   00:004.960,     4.87889
   00:004.980,     4.88272
   00:005.000,     4.89038
   00:005.020,     4.90265
   00:005.040,     4.91521
   00:005.060,     4.92638
   00:005.080,     4.93370
   00:005.100,     4.93784
   00:005.120,     4.94278
   00:005.140,     4.93925
   00:005.160,     4.90717
   00:005.180,     4.83653
   00:005.200,     4.75777
   00:005.220,     4.71468
   00:005.240,     4.72261
   00:005.260,     4.76607
   00:005.280,     4.81913
   00:005.300,     4.86322
   00:005.320,     4.89695
   00:005.340,     4.91949
   00:005.360,     4.93352
   00:005.380,     4.94299
   00:005.400,     4.94713
   00:005.420,     4.94739
   00:005.440,     4.95170
   00:005.460,     4.96034
   00:005.480,     4.97172
   00:005.500,     4.98328
   00:005.520,     4.99201
   00:005.540,     4.99950
   00:005.560,     5.00497
   00:005.580,     5.00113
   00:005.600,     4.98667
   00:005.620,     4.95735
   00:005.640,     4.90624
   00:005.660,     4.84786
   00:005.680,     4.75706
   00:005.700,     4.45034
   00:005.720,     3.72304
   00:005.740,     2.76065
   00:005.760,     1.91901
   00:005.780,     1.32451
   00:005.800,     0.93183
   00:005.820,     0.67263
   00:005.840,     0.50301
   00:005.860,     0.39270
   00:005.880,     0.31989
   00:005.900,     0.27371
   00:005.920,     0.24127
   00:005.940,     0.21688
   00:005.960,     0.19798
   00:005.980,     0.18176
   00:006.000,     0.16909
   00:006.020,     0.15896
   00:006.040,     0.15138
   00:006.060,     0.14701
   00:006.080,     0.14245
   00:006.100,     0.13569
   00:006.120,     0.12915
   00:006.140,     0.12649
   00:006.160,     0.12382
   00:006.180,     0.11990
   00:006.200,     0.11806
   00:006.220,     0.11707
   00:006.240,     0.11664
   00:006.260,     0.11578
   00:006.280,     0.11361
   00:006.300,     0.11109
   00:006.320,     0.10854
   00:006.340,     0.10804
   00:006.360,     0.10679
   00:006.380,     0.10557
   00:006.400,     0.10556
   00:006.420,     0.10415
   00:006.440,     0.10288
   00:006.460,     0.09987
   00:006.480,     0.09781
   00:006.500,     0.09673
   00:006.520,     0.09555
   00:006.540,     0.09477
   00:006.560,     0.09370
   00:006.580,     0.09467
   00:006.600,     0.09499
   00:006.620,     0.09436
   00:006.640,     0.09381
   00:006.660,     0.09470
   00:006.680,     0.09799
   00:006.700,     0.11112
   00:006.720,     0.13773
   00:006.740,     0.16770
   00:006.760,     0.19357
   00:006.780,     0.21573
   00:006.800,     0.23647
   00:006.820,     0.26180
   00:006.840,     0.30920
   00:006.860,     0.38934
   00:006.880,     0.51588
   00:006.900,     0.70749
   00:006.920,     0.96975
   00:006.940,     1.27986
   00:006.960,     1.60736
   00:006.980,     1.93563
   00:007.000,     2.24847
   00:007.020,     2.54094
   00:007.040,     2.81590
   00:007.060,     3.05928
   00:007.080,     3.26033
   00:007.100,     3.42610
   00:007.120,     3.56771
   00:007.140,     3.69040
   00:007.160,     3.80162
   00:007.180,     3.91189
   00:007.200,     4.01615
   00:007.220,     4.10553
   00:007.240,     4.18070
   00:007.260,     4.24470
   00:007.280,     4.29295
   00:007.300,     4.33961
   00:007.320,     4.38730
   00:007.340,     4.42875
   00:007.360,     4.46407
   00:007.380,     4.49899
   00:007.400,     4.53114
   00:007.420,     4.56097
