<WFATester Graph 1.00 1,25.000,30.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1360,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.59651
   00:000.120,     0.59383
   00:000.140,     0.57826
   00:000.160,     0.57904
   00:000.180,     0.58326
   00:000.200,     0.58710
   00:000.220,     0.58828
   00:000.240,     0.58891
   00:000.260,     0.58616
   00:000.280,     0.58402
   00:000.300,     0.58378
   00:000.320,     0.58403
   00:000.340,     0.58318
   00:000.360,     0.58251
   00:000.380,     0.58149
   00:000.400,     0.57989
   00:000.420,     0.57893
   00:000.440,     0.57923
   00:000.460,     0.57879
   00:000.480,     0.57797
   00:000.500,     0.57721
   00:000.520,     0.57594
   00:000.540,     0.57416
   00:000.560,     0.57480
   00:000.580,     0.57577
   00:000.600,     0.57414
   00:000.620,     0.57395
   00:000.640,     0.57435
   00:000.660,     0.57262
   00:000.680,     0.57106
   00:000.700,     0.57201
   00:000.720,     0.57120
   00:000.740,     0.57020
   00:000.760,     0.56982
   00:000.780,     0.57041
   00:000.800,     0.57048
   00:000.820,     0.56891
   00:000.840,     0.56799
   00:000.860,     0.56909
   00:000.880,     0.56951
   00:000.900,     0.56804
   00:000.920,     0.56826
   00:000.940,     0.56823
   00:000.960,     0.56685
   00:000.980,     0.56623
   00:001.000,     0.56623
   00:001.020,     0.56738
   00:001.040,     0.56780
   00:001.060,     0.56666
   00:001.080,     0.56676
   00:001.100,     0.56552
   00:001.120,     0.56478
   00:001.140,     0.56506
   00:001.160,     0.56463
   00:001.180,     0.56340
   00:001.200,     0.56285
   00:001.220,     0.56259
   00:001.240,     0.56316
   00:001.260,     0.56399
   00:001.280,     0.56417
   00:001.300,     0.56355
   00:001.320,     0.56453
   00:001.340,     0.56491
   00:001.360,     0.56473
   00:001.380,     0.56396
   00:001.400,     0.56325
   00:001.420,     0.56397
   00:001.440,     0.56443
   00:001.460,     0.56381
   00:001.480,     0.56360
   00:001.500,     0.56379
   00:001.520,     0.56431
   00:001.540,     0.56470
   00:001.560,     0.56368
   00:001.580,     0.56460
   00:001.600,     0.56616
   00:001.620,     0.56793
   00:001.640,     0.57332
   00:001.660,     0.59410
   00:001.680,     0.65704
   00:001.700,     0.78883
   00:001.720,     0.99133
   00:001.740,     1.24603
   00:001.760,     1.52687
   00:001.780,     1.81011
   00:001.800,     2.07857
   00:001.820,     2.31868
   00:001.840,     2.52351
   00:001.860,     2.68822
   00:001.880,     2.82125
   00:001.900,     2.93176
   00:001.920,     3.02297
   00:001.940,     3.10042
   00:001.960,     3.16663
   00:001.980,     3.22437
   00:002.000,     3.27830
   00:002.020,     3.32719
   00:002.040,     3.37025
   00:002.060,     3.41042
   00:002.080,     3.45031
   00:002.100,     3.48609
   00:002.120,     3.51619
   00:002.140,     3.54481
   00:002.160,     3.57336
   00:002.180,     3.60072
   00:002.200,     3.63117
   00:002.220,     3.66156
   00:002.240,     3.69068
   00:002.260,     3.72041
   00:002.280,     3.75284
   00:002.300,     3.78155
   00:002.320,     3.80863
   00:002.340,     3.83242
   00:002.360,     3.85078
   00:002.380,     3.86955
   00:002.400,     3.88582
   00:002.420,     3.90088
   00:002.440,     3.91851
   00:002.460,     3.93837
   00:002.480,     3.95563
   00:002.500,     3.97403
   00:002.520,     3.99340
   00:002.540,     4.00833
   00:002.560,     4.01936
   00:002.580,     4.03099
   00:002.600,     4.04334
   00:002.620,     4.04967
   00:002.640,     4.05579
   00:002.660,     4.06223
   00:002.680,     4.06582
   00:002.700,     4.06660
   00:002.720,     4.06938
   00:002.740,     4.07468
   00:002.760,     4.08109
   00:002.780,     4.08570
   00:002.800,     4.09014
   00:002.820,     4.09371
   00:002.840,     4.10230
   00:002.860,     4.11186
   00:002.880,     4.11812
   00:002.900,     4.12439
   00:002.920,     4.13147
   00:002.940,     4.14162
   00:002.960,     4.15198
   00:002.980,     4.16040
   00:003.000,     4.17272
   00:003.020,     4.18772
   00:003.040,     4.20025
   00:003.060,     4.21248
   00:003.080,     4.22745
   00:003.100,     4.24359
   00:003.120,     4.26062
   00:003.140,     4.27333
   00:003.160,     4.28167
   00:003.180,     4.29680
   00:003.200,     4.31241
   00:003.220,     4.32845
   00:003.240,     4.34386
   00:003.260,     4.35749
   00:003.280,     4.37251
   00:003.300,     4.38675
   00:003.320,     4.39641
   00:003.340,     4.40317
   00:003.360,     4.41221
   00:003.380,     4.42186
   00:003.400,     4.43130
   00:003.420,     4.43995
   00:003.440,     4.45133
   00:003.460,     4.46143
   00:003.480,     4.46918
   00:003.500,     4.47971
   00:003.520,     4.49134
   00:003.540,     4.49754
   00:003.560,     4.50421
   00:003.580,     4.51300
   00:003.600,     4.52288
   00:003.620,     4.53207
   00:003.640,     4.54097
   00:003.660,     4.54610
   00:003.680,     4.54815
   00:003.700,     4.54894
   00:003.720,     4.55423
   00:003.740,     4.55819
   00:003.760,     4.55892
   00:003.780,     4.56495
   00:003.800,     4.57117
   00:003.820,     4.57275
   00:003.840,     4.57218
   00:003.860,     4.57294
   00:003.880,     4.57306
   00:003.900,     4.57493
   00:003.920,     4.57741
   00:003.940,     4.57877
   00:003.960,     4.57799
   00:003.980,     4.57466
   00:004.000,     4.57437
   00:004.020,     4.57708
   00:004.040,     4.57455
   00:004.060,     4.57115
   00:004.080,     4.57169
   00:004.100,     4.57418
   00:004.120,     4.57343
   00:004.140,     4.57246
   00:004.160,     4.57983
   00:004.180,     4.58792
   00:004.200,     4.59139
   00:004.220,     4.59451
   00:004.240,     4.59589
   00:004.260,     4.59736
   00:004.280,     4.59947
   00:004.300,     4.60365
   00:004.320,     4.60962
   00:004.340,     4.61807
   00:004.360,     4.63125
   00:004.380,     4.64311
   00:004.400,     4.65367
   00:004.420,     4.66583
   00:004.440,     4.67578
   00:004.460,     4.68065
   00:004.480,     4.68326
   00:004.500,     4.69365
   00:004.520,     4.70443
   00:004.540,     4.71233
   00:004.560,     4.71932
   00:004.580,     4.72223
   00:004.600,     4.72106
   00:004.620,     4.71604
   00:004.640,     4.69142
   00:004.660,     4.59783
   00:004.680,     4.36123
   00:004.700,     4.03357
   00:004.720,     3.81737
   00:004.740,     3.78921
   00:004.760,     3.81670
   00:004.780,     3.71510
   00:004.800,     3.43676
   00:004.820,     3.08308
   00:004.840,     2.67702
   00:004.860,     2.23438
   00:004.880,     1.84505
   00:004.900,     1.55292
   00:004.920,     1.33451
   00:004.940,     1.16241
   00:004.960,     1.03324
   00:004.980,     0.94755
   00:005.000,     0.90109
   00:005.020,     0.88200
   00:005.040,     0.87197
   00:005.060,     0.86012
   00:005.080,     0.84214
   00:005.100,     0.81729
   00:005.120,     0.78576
   00:005.140,     0.75000
   00:005.160,     0.71921
   00:005.180,     0.69697
   00:005.200,     0.67917
   00:005.220,     0.66318
   00:005.240,     0.65020
   00:005.260,     0.63797
   00:005.280,     0.62906
   00:005.300,     0.62129
   00:005.320,     0.61304
   00:005.340,     0.60739
   00:005.360,     0.60345
   00:005.380,     0.59956
   00:005.400,     0.59736
   00:005.420,     0.59560
   00:005.440,     0.59229
   00:005.460,     0.59090
   00:005.480,     0.59025
   00:005.500,     0.58767
   00:005.520,     0.58739
   00:005.540,     0.58620
   00:005.560,     0.58508
   00:005.580,     0.58538
   00:005.600,     0.58495
   00:005.620,     0.58192
   00:005.640,     0.58097
   00:005.660,     0.58082
   00:005.680,     0.58001
   00:005.700,     0.57972
   00:005.720,     0.57905
   00:005.740,     0.57760
   00:005.760,     0.57701
   00:005.780,     0.57766
   00:005.800,     0.57759
   00:005.820,     0.57661
   00:005.840,     0.57657
   00:005.860,     0.57596
   00:005.880,     0.57569
   00:005.900,     0.57519
   00:005.920,     0.57449
   00:005.940,     0.57387
   00:005.960,     0.57239
   00:005.980,     0.57256
   00:006.000,     0.57188
   00:006.020,     0.57048
   00:006.040,     0.57081
   00:006.060,     0.57161
   00:006.080,     0.57219
   00:006.100,     0.57234
   00:006.120,     0.57129
   00:006.140,     0.57100
   00:006.160,     0.57097
   00:006.180,     0.57069
   00:006.200,     0.56980
   00:006.220,     0.56961
   00:006.240,     0.57030
   00:006.260,     0.57005
   00:006.280,     0.57001
   00:006.300,     0.56975
   00:006.320,     0.57021
   00:006.340,     0.57136
   00:006.360,     0.57149
   00:006.380,     0.57055
   00:006.400,     0.56893
   00:006.420,     0.56818
   00:006.440,     0.56808
   00:006.460,     0.56818
   00:006.480,     0.56787
   00:006.500,     0.56840
   00:006.520,     0.56808
   00:006.540,     0.56797
   00:006.560,     0.56782
   00:006.580,     0.56835
   00:006.600,     0.56888
   00:006.620,     0.56992
   00:006.640,     0.57080
   00:006.660,     0.57136
   00:006.680,     0.57202
   00:006.700,     0.57524
   00:006.720,     0.58312
   00:006.740,     0.60219
   00:006.760,     0.64512
   00:006.780,     0.72831
   00:006.800,     0.87135
   00:006.820,     1.08236
   00:006.840,     1.33926
   00:006.860,     1.61935
   00:006.880,     1.91037
   00:006.900,     2.19453
   00:006.920,     2.46092
   00:006.940,     2.70636
   00:006.960,     2.92772
   00:006.980,     3.12122
   00:007.000,     3.28553
   00:007.020,     3.42865
   00:007.040,     3.55048
   00:007.060,     3.65424
   00:007.080,     3.73930
   00:007.100,     3.81057
   00:007.120,     3.87741
   00:007.140,     3.93502
   00:007.160,     3.98074
   00:007.180,     4.02067
   00:007.200,     4.06264
   00:007.220,     4.10124
   00:007.240,     4.13389
   00:007.260,     4.16720
   00:007.280,     4.19958
   00:007.300,     4.22907
   00:007.320,     4.25626
   00:007.340,     4.28263
   00:007.360,     4.30596
   00:007.380,     4.32819
   00:007.400,     4.35037
   00:007.420,     4.37210
