<WFATester Graph 1.00 1,180.000,185.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  9165,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,    -0.01109
   00:000.120,    -0.01158
   00:000.140,     0.00004
   00:000.160,    -0.00512
   00:000.180,    -0.00704
   00:000.200,    -0.00755
   00:000.220,    -0.01131
   00:000.240,    -0.01173
   00:000.260,    -0.01076
   00:000.280,    -0.01092
   00:000.300,    -0.01075
   00:000.320,    -0.00856
   00:000.340,    -0.00902
   00:000.360,    -0.01088
   00:000.380,    -0.01012
   00:000.400,    -0.00907
   00:000.420,    -0.01032
   00:000.440,    -0.01141
   00:000.460,    -0.01029
   00:000.480,    -0.00967
   00:000.500,    -0.00969
   00:000.520,    -0.01090
   00:000.540,    -0.01265
   00:000.560,    -0.01289
   00:000.580,    -0.01158
   00:000.600,    -0.01106
   00:000.620,    -0.01108
   00:000.640,    -0.01084
   00:000.660,    -0.01146
   00:000.680,    -0.01271
   00:000.700,    -0.01220
   00:000.720,    -0.01018
   00:000.740,    -0.01103
   00:000.760,    -0.01273
   00:000.780,    -0.01155
   00:000.800,    -0.00967
   00:000.820,    -0.01003
   00:000.840,    -0.01152
   00:000.860,    -0.01213
   00:000.880,    -0.01237
   00:000.900,    -0.01207
   00:000.920,    -0.01220
   00:000.940,    -0.01248
   00:000.960,    -0.00993
   00:000.980,    -0.00939
   00:001.000,    -0.01088
   00:001.020,    -0.01240
   00:001.040,    -0.01237
   00:001.060,    -0.01099
   00:001.080,    -0.00999
   00:001.100,    -0.01064
   00:001.120,    -0.01182
   00:001.140,    -0.01180
   00:001.160,    -0.01140
   00:001.180,    -0.01276
   00:001.200,    -0.01301
   00:001.220,    -0.01099
   00:001.240,    -0.01021
   00:001.260,    -0.01032
   00:001.280,    -0.01112
   00:001.300,    -0.01145
   00:001.320,    -0.01045
   00:001.340,    -0.01159
   00:001.360,    -0.01288
   00:001.380,    -0.01156
   00:001.400,    -0.00999
   00:001.420,    -0.01122
   00:001.440,    -0.01225
   00:001.460,    -0.01235
   00:001.480,    -0.01202
   00:001.500,    -0.01264
   00:001.520,    -0.01313
   00:001.540,    -0.01130
   00:001.560,    -0.00996
   00:001.580,    -0.00901
   00:001.600,    -0.00840
   00:001.620,    -0.00992
   00:001.640,    -0.01156
   00:001.660,    -0.01187
   00:001.680,    -0.01119
   00:001.700,    -0.01086
   00:001.720,    -0.01158
   00:001.740,    -0.01118
   00:001.760,    -0.01014
   00:001.780,    -0.00966
   00:001.800,    -0.01079
   00:001.820,    -0.01189
   00:001.840,    -0.01221
   00:001.860,    -0.01325
   00:001.880,    -0.01335
   00:001.900,    -0.01176
   00:001.920,    -0.01005
   00:001.940,    -0.01044
   00:001.960,    -0.01061
   00:001.980,    -0.01026
   00:002.000,    -0.01194
   00:002.020,    -0.01236
   00:002.040,    -0.01182
   00:002.060,    -0.01008
   00:002.080,    -0.00899
   00:002.100,    -0.00947
   00:002.120,    -0.01051
   00:002.140,    -0.01184
   00:002.160,    -0.01106
   00:002.180,    -0.01131
   00:002.200,    -0.01065
   00:002.220,    -0.01035
   00:002.240,    -0.01211
   00:002.260,    -0.01182
   00:002.280,    -0.01039
   00:002.300,    -0.01006
   00:002.320,    -0.01091
   00:002.340,    -0.01215
   00:002.360,    -0.01219
   00:002.380,    -0.01024
   00:002.400,    -0.00970
   00:002.420,    -0.01086
   00:002.440,    -0.01203
   00:002.460,    -0.01245
   00:002.480,    -0.01295
   00:002.500,    -0.01286
   00:002.520,    -0.01317
   00:002.540,    -0.01223
   00:002.560,    -0.01095
   00:002.580,    -0.01143
   00:002.600,    -0.01268
   00:002.620,    -0.01230
   00:002.640,    -0.01095
   00:002.660,    -0.01235
   00:002.680,    -0.01331
   00:002.700,    -0.01302
   00:002.720,    -0.01352
   00:002.740,    -0.01354
   00:002.760,    -0.01289
   00:002.780,    -0.01221
   00:002.800,    -0.01229
   00:002.820,    -0.01151
   00:002.840,    -0.01156
   00:002.860,    -0.01170
   00:002.880,    -0.01069
   00:002.900,    -0.01239
   00:002.920,    -0.01292
   00:002.940,    -0.01149
   00:002.960,    -0.01275
   00:002.980,    -0.01412
   00:003.000,    -0.01407
   00:003.020,    -0.01365
   00:003.040,    -0.01271
   00:003.060,    -0.01227
   00:003.080,    -0.01235
   00:003.100,    -0.01199
   00:003.120,    -0.01209
   00:003.140,    -0.01284
   00:003.160,    -0.01172
   00:003.180,    -0.01131
   00:003.200,    -0.01182
   00:003.220,    -0.01220
   00:003.240,    -0.01326
   00:003.260,    -0.01307
   00:003.280,    -0.01317
   00:003.300,    -0.01284
   00:003.320,    -0.01209
   00:003.340,    -0.01154
   00:003.360,    -0.01224
   00:003.380,    -0.01138
   00:003.400,    -0.01008
   00:003.420,    -0.01049
   00:003.440,    -0.01146
   00:003.460,    -0.01165
   00:003.480,    -0.01300
   00:003.500,    -0.01274
   00:003.520,    -0.01247
   00:003.540,    -0.01287
   00:003.560,    -0.01224
   00:003.580,    -0.01132
   00:003.600,    -0.01175
   00:003.620,    -0.01273
   00:003.640,    -0.01165
   00:003.660,    -0.01143
   00:003.680,    -0.01179
   00:003.700,    -0.01167
   00:003.720,    -0.01010
   00:003.740,    -0.00989
   00:003.760,    -0.01035
   00:003.780,    -0.01180
   00:003.800,    -0.01171
   00:003.820,    -0.01080
   00:003.840,    -0.01132
   00:003.860,    -0.01141
   00:003.880,    -0.01245
   00:003.900,    -0.01268
   00:003.920,    -0.01254
   00:003.940,    -0.01224
   00:003.960,    -0.01183
   00:003.980,    -0.01028
   00:004.000,    -0.01088
   00:004.020,    -0.01205
   00:004.040,    -0.01160
   00:004.060,    -0.01109
   00:004.080,    -0.01042
   00:004.100,    -0.01106
   00:004.120,    -0.01225
   00:004.140,    -0.01141
   00:004.160,    -0.01163
   00:004.180,    -0.01176
   00:004.200,    -0.01122
   00:004.220,    -0.01270
   00:004.240,    -0.01366
   00:004.260,    -0.01246
   00:004.280,    -0.01228
   00:004.300,    -0.01167
   00:004.320,    -0.01233
   00:004.340,    -0.01262
   00:004.360,    -0.01079
   00:004.380,    -0.01169
   00:004.400,    -0.01185
   00:004.420,    -0.01228
   00:004.440,    -0.01387
   00:004.460,    -0.01549
   00:004.480,    -0.01631
   00:004.500,    -0.01676
   00:004.520,    -0.01772
   00:004.540,    -0.01870
   00:004.560,    -0.01784
   00:004.580,    -0.01707
   00:004.600,    -0.01714
   00:004.620,    -0.01816
   00:004.640,    -0.01703
   00:004.660,    -0.01584
   00:004.680,    -0.01575
   00:004.700,    -0.01474
   00:004.720,    -0.01289
   00:004.740,    -0.01145
   00:004.760,    -0.01115
   00:004.780,    -0.01093
   00:004.800,    -0.01122
   00:004.820,    -0.01052
   00:004.840,    -0.01010
   00:004.860,    -0.01116
   00:004.880,    -0.01168
   00:004.900,    -0.01189
   00:004.920,    -0.01235
   00:004.940,    -0.01298
   00:004.960,    -0.01345
   00:004.980,    -0.01407
   00:005.000,    -0.01362
   00:005.020,    -0.01476
   00:005.040,    -0.01527
   00:005.060,    -0.01502
   00:005.080,    -0.01455
   00:005.100,    -0.01430
   00:005.120,    -0.01402
   00:005.140,    -0.01358
   00:005.160,    -0.01344
   00:005.180,    -0.01417
   00:005.200,    -0.01493
   00:005.220,    -0.01427
   00:005.240,    -0.01425
   00:005.260,    -0.01752
   00:005.280,    -0.02074
   00:005.300,    -0.02212
   00:005.320,    -0.02539
   00:005.340,    -0.03096
   00:005.360,    -0.03726
   00:005.380,    -0.04329
   00:005.400,    -0.04957
   00:005.420,    -0.05710
   00:005.440,    -0.06387
   00:005.460,    -0.06991
   00:005.480,    -0.07400
   00:005.500,    -0.07698
   00:005.520,    -0.07997
   00:005.540,    -0.08190
   00:005.560,    -0.08516
   00:005.580,    -0.08627
   00:005.600,    -0.08645
   00:005.620,    -0.08844
   00:005.640,    -0.09178
   00:005.660,    -0.09409
   00:005.680,    -0.09400
   00:005.700,    -0.09417
   00:005.720,    -0.09468
   00:005.740,    -0.09505
   00:005.760,    -0.09544
   00:005.780,    -0.09761
   00:005.800,    -0.09903
   00:005.820,    -0.09940
   00:005.840,    -0.10059
   00:005.860,    -0.10121
   00:005.880,    -0.10188
   00:005.900,    -0.10288
   00:005.920,    -0.10268
   00:005.940,    -0.10213
   00:005.960,    -0.10343
   00:005.980,    -0.10496
   00:006.000,    -0.10462
   00:006.020,    -0.10469
   00:006.040,    -0.10618
   00:006.060,    -0.10771
   00:006.080,    -0.10751
   00:006.100,    -0.10679
   00:006.120,    -0.10767
   00:006.140,    -0.10973
   00:006.160,    -0.10906
   00:006.180,    -0.10847
   00:006.200,    -0.10962
   00:006.220,    -0.11059
   00:006.240,    -0.11064
   00:006.260,    -0.11147
   00:006.280,    -0.11143
   00:006.300,    -0.11119
   00:006.320,    -0.11230
   00:006.340,    -0.11304
   00:006.360,    -0.11294
   00:006.380,    -0.11386
   00:006.400,    -0.11499
   00:006.420,    -0.11523
   00:006.440,    -0.11471
   00:006.460,    -0.11602
   00:006.480,    -0.11773
   00:006.500,    -0.11746
   00:006.520,    -0.11552
   00:006.540,    -0.11653
   00:006.560,    -0.11815
   00:006.580,    -0.11818
   00:006.600,    -0.11842
   00:006.620,    -0.11836
   00:006.640,    -0.11917
   00:006.660,    -0.12029
   00:006.680,    -0.12039
   00:006.700,    -0.12043
   00:006.720,    -0.11979
   00:006.740,    -0.12144
   00:006.760,    -0.12198
   00:006.780,    -0.12170
   00:006.800,    -0.12135
   00:006.820,    -0.12156
   00:006.840,    -0.12251
   00:006.860,    -0.12232
   00:006.880,    -0.12281
   00:006.900,    -0.12260
