<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2385,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    20.78580
   00:000.020,     0.00000,     0.08185,    20.76834
   00:000.040,     0.00000,     0.00000,    20.76834
   00:000.060,     0.00000,     0.00000,    20.79162
   00:000.080,     0.00000,     0.00000,    20.78580
   00:000.100,     0.01700,     0.00000,    20.78580
   00:000.120,     0.01725,     0.09974,    20.78580
   00:000.140,     0.02001,     0.00000,    20.77416
   00:000.160,     0.01682,     0.00000,    20.78580
   00:000.180,     0.01723,     0.00000,    20.76834
   00:000.200,     0.02179,     0.00000,    20.76834
   00:000.220,     0.01815,     0.00000,    20.78580
   00:000.240,     0.01680,     0.00000,    20.76834
   00:000.260,     0.01673,     0.00000,    20.75670
   00:000.280,     0.01558,     0.00000,    20.78580
   00:000.300,     0.01569,     0.00000,    20.77998
   00:000.320,     0.01500,     0.00000,    20.78580
   00:000.340,     0.01273,     0.00000,    20.78580
   00:000.360,     0.01305,     0.00000,    20.77416
   00:000.380,     0.01328,     0.00000,    20.78580
   00:000.400,     0.01278,     0.00000,    20.77998
   00:000.420,     0.01171,     0.00000,    20.79162
   00:000.440,     0.01197,     0.00000,    20.78580
   00:000.460,     0.01247,     0.00000,    20.76252
   00:000.480,     0.01264,     0.00000,    20.78580
   00:000.500,     0.01380,     0.00000,    20.78580
   00:000.520,     0.01451,     0.00000,    20.78580
   00:000.540,     0.01374,     0.00000,    20.79744
   00:000.560,     0.01341,     0.00000,    20.78580
   00:000.580,     0.01316,     0.00000,    20.78580
   00:000.600,     0.01239,     0.00000,    20.78580
   00:000.620,     0.01269,     0.00000,    20.78580
   00:000.640,     0.01341,     0.00000,    20.78580
   00:000.660,     0.01330,     0.00000,    20.78580
   00:000.680,     0.01142,     0.00000,    20.79162
   00:000.700,     0.01269,     0.00000,    20.79162
   00:000.720,     0.01342,     0.00000,    20.79162
   00:000.740,     0.01274,     0.00000,    20.79162
   00:000.760,     0.01271,     0.00000,    20.78580
   00:000.780,     0.01326,     0.00000,    20.78580
   00:000.800,     0.01358,     0.00000,    20.78580
   00:000.820,     0.01423,     0.00000,    20.78580
   00:000.840,     0.01337,     0.00000,    20.78580
   00:000.860,     0.01386,     0.00000,    20.78580
   00:000.880,     0.01383,     0.00000,    20.78580
   00:000.900,     0.01256,     0.00000,    20.78580
   00:000.920,     0.01310,     0.00000,    20.78580
   00:000.940,     0.01402,     0.00000,    20.77998
   00:000.960,     0.01500,     0.00000,    20.77416
   00:000.980,     0.01250,     0.00000,    20.78580
   00:001.000,     0.01055,     0.00000,    20.78580
   00:001.020,     0.01174,     0.00000,    20.76252
   00:001.040,     0.01301,     0.00000,    20.79744
   00:001.060,     0.01250,     0.00000,    20.78580
   00:001.080,     0.01227,     0.00000,    20.79162
   00:001.100,     0.01148,     0.00000,    20.78580
   00:001.120,     0.01085,     0.00000,    20.79162
   00:001.140,     0.01233,     0.00000,    20.76834
   00:001.160,     0.01390,     0.00000,    20.79162
   00:001.180,     0.01367,     0.00000,    20.79744
   00:001.200,     0.01317,     0.00000,    20.78580
   00:001.220,     0.01191,     0.00000,    20.76252
   00:001.240,     0.01202,     0.00000,    20.79162
   00:001.260,     0.01328,     0.00000,    20.79162
   00:001.280,     0.01266,     0.00000,    20.79162
   00:001.300,     0.01201,     0.00000,    20.78580
   00:001.320,     0.01303,     0.00000,    20.78580
   00:001.340,     0.01426,     0.00000,    20.79744
   00:001.360,     0.01551,     0.00000,    20.79744
   00:001.380,     0.01645,     0.00000,    20.79162
   00:001.400,     0.01461,     0.00000,    20.80908
   00:001.420,     0.01300,     0.00000,    20.79744
   00:001.440,     0.01256,     0.00000,    20.79162
   00:001.460,     0.01346,     0.00000,    20.77416
   00:001.480,     0.01510,     0.00000,    20.79744
   00:001.500,     0.01472,     0.00000,    20.77416
   00:001.520,     0.01315,     0.00000,    20.77416
   00:001.540,     0.01317,     0.00000,    20.79162
   00:001.560,     0.01374,     0.00000,    20.78580
   00:001.580,     0.01330,     0.00000,    20.78580
   00:001.600,     0.01314,     0.00000,    20.78580
   00:001.620,     0.01357,     0.00000,    20.78580
   00:001.640,     0.01332,     0.00000,    20.78580
   00:001.660,     0.01267,     0.00000,    20.78580
   00:001.680,     0.01330,     0.00000,    20.78580
   00:001.700,     0.01284,     0.00000,    20.80908
   00:001.720,     0.01306,     0.00000,    20.79744
   00:001.740,     0.01357,     0.00000,    20.77416
   00:001.760,     0.01424,     0.00000,    20.79162
   00:001.780,     0.01450,     0.00000,    20.77416
   00:001.800,     0.01222,     0.00000,    20.79162
   00:001.820,     0.01207,     0.00000,    20.79162
   00:001.840,     0.01405,     0.00000,    20.78580
