<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1650,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.45262,    17.52293
   00:000.020,     0.00000,     0.45384,    17.53537
   00:000.040,     0.00000,     0.45395,    17.56026
   00:000.060,     0.00000,     0.45355,    17.57271
   00:000.080,     0.00000,     0.45247,    17.58516
   00:000.100,     0.00000,     0.42983,    17.59760
   00:000.120,     4.07764,     0.40972,    17.59760
   00:000.140,     4.08042,     0.40002,    17.57893
   00:000.160,     4.09302,     0.40623,    17.59760
   00:000.180,     4.08783,     0.40416,    17.57893
   00:000.200,     4.08935,     0.38528,    17.57271
   00:000.220,     4.11141,     0.36726,    17.56026
   00:000.240,     4.11504,     0.36092,    17.55404
   00:000.260,     4.12915,     0.36284,    17.55404
   00:000.280,     4.14703,     0.36239,    17.52293
   00:000.300,     4.16037,     0.35889,    17.49803
   00:000.320,     4.17091,     0.35247,    17.49803
   00:000.340,     4.18103,     0.34640,    17.48559
   00:000.360,     4.19250,     0.34098,    17.46070
   00:000.380,     4.20633,     0.32702,    17.44825
   00:000.400,     4.21845,     0.30206,    17.42336
   00:000.420,     4.23281,     0.27302,    17.41091
   00:000.440,     4.24277,     0.24124,    17.38602
   00:000.460,     4.24998,     0.20075,    17.38602
   00:000.480,     4.25902,     0.14339,    17.36113
   00:000.500,     4.26963,     0.00000,    17.33624
   00:000.520,     4.28094,     0.00000,    17.33624
   00:000.540,     4.29053,    -0.17913,    17.32379
   00:000.560,     4.29923,    -0.25875,    17.29890
   00:000.580,     4.30911,    -0.36636,    17.29890
   00:000.600,     4.31967,    -0.47211,    17.28645
   00:000.620,     4.33102,    -0.56950,    17.26156
   00:000.640,     4.34233,    -0.64864,    17.24912
   00:000.660,     4.34918,    -0.69279,    17.22422
   00:000.680,     4.35757,    -0.71372,    17.21800
   00:000.700,     4.36651,    -0.73580,    17.19933
   00:000.720,     4.37342,    -0.76660,    17.20555
   00:000.740,     4.38476,    -0.80882,    17.19933
   00:000.760,     4.39576,    -0.85784,    17.16199
   00:000.780,     4.39981,    -0.89688,    17.14955
   00:000.800,     4.40535,    -0.91611,    17.14955
   00:000.820,     4.41175,    -0.92847,    17.13710
   00:000.840,     4.41797,    -0.95496,    17.12466
   00:000.860,     4.42328,    -0.98329,    17.13710
   00:000.880,     4.42732,    -0.99179,    17.11221
   00:000.900,     4.43546,    -0.99092,    17.09976
   00:000.920,     4.44363,    -0.99543,    17.09976
   00:000.940,     4.44441,    -1.01086,    17.06243
   00:000.960,     4.44480,    -1.04151,    17.07487
   00:000.980,     4.44103,    -1.07812,    17.07487
   00:001.000,     4.43161,    -1.11110,    17.09976
   00:001.020,     4.41730,    -1.13642,    17.09976
   00:001.040,     4.31990,    -1.14398,    17.12466
   00:001.060,     3.91135,    -1.13535,    17.33001
   00:001.080,     3.13817,    -1.12981,    17.92120
   00:001.100,     2.34107,    -1.13972,    18.86709
   00:001.120,     1.75231,    -1.16059,    19.79432
   00:001.140,     1.32941,    -1.17850,    20.46017
   00:001.160,     1.00351,    -1.18932,    20.93312
   00:001.180,     0.76585,    -1.20593,    21.28161
   00:001.200,     0.60399,    -1.22540,    21.51186
   00:001.220,     0.49327,    -1.22997,    21.65499
   00:001.240,     0.41749,    -1.22442,    21.76700
   00:001.260,     0.36602,    -1.22441,    21.82923
   00:001.280,     0.32981,    -1.21807,    21.87901
   00:001.300,     0.30612,    -1.18983,    21.89146
   00:001.320,     0.28914,    -1.16988,    21.90391
   00:001.340,     0.27570,    -1.17813,    21.91635
   00:001.360,     0.26655,    -1.18981,    21.91013
   00:001.380,     0.26058,    -1.18488,    21.91635
   00:001.400,     0.25714,    -1.16034,    21.94124
   00:001.420,     0.25412,    -1.11297,    21.92880
   00:001.440,     0.25249,    -1.05399,    21.91635
   00:001.460,     0.25052,    -1.01587,    21.90391
   00:001.480,     0.25011,    -1.00808,    21.90391
   00:001.500,     0.25072,    -0.99601,    21.89768
   00:001.520,     0.25172,    -0.96036,    21.87901
   00:001.540,     0.25110,    -0.90471,    21.87901
   00:001.560,     0.25116,    -0.84652,    21.87901
   00:001.580,     0.25272,    -0.79662,    21.86035
   00:001.600,     0.25364,    -0.74501,    21.85412
   00:001.620,     0.25270,    -0.68964,    21.85412
   00:001.640,     0.25217,    -0.63802,    21.85412
   00:001.660,     0.25177,    -0.58080,    21.86035
   00:001.680,     0.25060,    -0.50611,    21.85412
   00:001.700,     0.24932,    -0.41505,    21.84168
   00:001.720,     0.24845,    -0.31077,    21.84168
   00:001.740,     0.24748,    -0.18965,    21.85412
   00:001.760,     0.24641,     0.00000,    21.82923
   00:001.780,     0.24454,     0.15958,    21.84168
   00:001.800,     0.24512,     0.20625,    21.84790
   00:001.820,     0.24516,     0.27627,    21.82923
   00:001.840,     0.24504,     0.36430,    21.83545
   00:001.860,     0.24533,     0.44122,    21.83545
   00:001.880,     0.24748,     0.49100,    21.82923
   00:001.900,     0.24794,     0.52884,    21.83545
   00:001.920,     0.25125,     0.58369,    21.82923
   00:001.940,     0.25782,     0.64021,    21.82923
   00:001.960,     0.26464,     0.66418,    21.80434
   00:001.980,     0.26800,     0.67153,    21.81679
   00:002.000,     0.26838,     0.69743,    21.80434
   00:002.020,     0.26673,     0.75616,    21.79189
   00:002.040,     0.26404,     0.83387,    21.80434
   00:002.060,     0.25918,     0.90444,    21.81679
   00:002.080,     0.25326,     0.95133,    21.81679
   00:002.100,     0.24935,     0.95942,    21.81679
   00:002.120,     0.24704,     0.96811,    21.82923
   00:002.140,     0.24241,     0.97817,    21.81056
   00:002.160,     0.23860,     0.97719,    21.82923
   00:002.180,     0.23700,     0.97969,    21.83545
   00:002.200,     0.23477,     0.98457,    21.82923
   00:002.220,     0.23370,     0.99200,    21.84168
   00:002.240,     0.23368,     1.00041,    21.85412
   00:002.260,     0.23280,     0.99183,    21.84168
   00:002.280,     0.23212,     0.97465,    21.84168
   00:002.300,     0.23242,     0.97485,    21.85412
   00:002.320,     0.23273,     0.98752,    21.84790
   00:002.340,     0.23248,     1.00196,    21.82923
   00:002.360,     0.23482,     1.01422,    21.83545
   00:002.380,     0.24053,     1.01691,    21.84168
   00:002.400,     0.24687,     1.01208,    21.83545
   00:002.420,     0.25409,     1.00688,    21.82923
   00:002.440,     0.26053,     1.00729,    21.82923
   00:002.460,     0.26917,     1.00891,    21.82923
   00:002.480,     0.29562,     0.99949,    21.81056
   00:002.500,     0.36962,     0.98025,    21.75456
   00:002.520,     0.52252,     0.95164,    21.65499
   00:002.540,     0.75928,     0.92735,    21.43096
   00:002.560,     1.06221,     0.91436,    21.10114
   00:002.580,     1.40454,     0.89249,    20.69665
   00:002.600,     1.76062,     0.85180,    20.23615
   00:002.620,     2.10736,     0.81478,    19.80676
   00:002.640,     2.42009,     0.78664,    19.40227
   00:002.660,     2.68732,     0.75849,    19.05378
   00:002.680,     2.91031,     0.73456,    18.77375
   00:002.700,     3.09819,     0.70943,    18.53105
   00:002.720,     3.25627,     0.69072,    18.34436
   00:002.740,     3.38634,     0.67735,    18.19501
   00:002.760,     3.49096,     0.65399,    18.07055
   00:002.780,     3.57792,     0.63174,    17.99587
   00:002.800,     3.65043,     0.61768,    17.90875
   00:002.820,     3.71298,     0.60160,    17.84652
   00:002.840,     3.76443,     0.58233,    17.79674
   00:002.860,     3.80506,     0.57068,    17.74695
   00:002.880,     3.84174,     0.56085,    17.71584
   00:002.900,     3.87007,     0.54372,    17.69717
   00:002.920,     3.89515,     0.52658,    17.67850
