<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2105,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:002.440,     4.81128,     0.00000,    15.34752
   00:002.460,     4.81769,     0.00000,    15.33604
   00:002.480,     4.82167,     0.00000,    15.33604
   00:002.500,     4.82778,     0.00000,    15.31882
   00:002.520,     4.83867,     0.00000,    15.32456
   00:002.540,     4.84641,     0.00000,    15.30160
   00:002.560,     4.85227,     0.00000,    15.29012
   00:002.580,     4.85964,     0.00000,    15.26715
   00:002.600,     4.86612,     0.00000,    15.26141
   00:002.620,     4.86953,     0.00000,    15.25567
   00:002.640,     4.87058,     0.00000,    15.25567
   00:002.660,     4.87216,     0.00000,    15.25567
   00:002.680,     4.87793,     0.09950,    15.24419
   00:002.700,     4.88392,     0.10801,    15.23271
   00:002.720,     4.88342,     0.09699,    15.23271
   00:002.740,     4.88599,     0.00000,    15.23271
   00:002.760,     4.88922,     0.00000,    15.22123
   00:002.780,     4.89223,     0.00000,    15.22123
   00:002.800,     4.89834,     0.00000,    15.20975
   00:002.820,     4.90097,     0.00000,    15.20975
   00:002.840,     4.90148,    -0.08518,    15.20975
   00:002.860,     4.90677,    -0.09070,    15.19826
   00:002.880,     4.91202,    -0.11410,    15.18104
   00:002.900,     4.91046,    -0.13812,    15.19826
   00:002.920,     4.90758,    -0.15408,    15.18104
   00:002.940,     4.91188,    -0.16208,    15.19826
   00:002.960,     4.91304,    -0.16721,    15.19826
   00:002.980,     4.91067,    -0.17429,    15.19826
   00:003.000,     4.90733,    -0.18474,    15.18104
   00:003.020,     4.89375,    -0.19640,    15.17530
   00:003.040,     4.84531,    -0.20205,    15.19826
   00:003.060,     4.71860,    -0.20292,    15.23271
   00:003.080,     4.48176,    -0.20368,    15.31882
   00:003.100,     4.19363,    -0.20760,    15.52549
   00:003.120,     4.02323,    -0.21375,    15.82974
   00:003.140,     4.07674,    -0.21864,    16.11678
   00:003.160,     4.26860,    -0.22615,    16.15123
   00:003.180,     4.46134,    -0.23378,    15.96752
   00:003.200,     4.59800,    -0.23879,    15.70345
   00:003.220,     4.67315,    -0.24632,    15.48530
   00:003.240,     4.65388,    -0.25792,    15.38197
   00:003.260,     4.49122,    -0.27025,    15.34178
   00:003.280,     4.16688,    -0.27941,    15.48530
   00:003.300,     3.73941,    -0.28096,    15.79530
   00:003.320,     3.32698,    -0.27747,    16.25456
   00:003.340,     3.00194,    -0.27619,    16.79419
   00:003.360,     2.79573,    -0.28158,    17.25345
   00:003.380,     2.71261,    -0.28321,    17.58641
   00:003.400,     2.62654,    -0.28541,    17.75863
   00:003.420,     2.31732,    -0.29522,    17.83900
   00:003.440,     1.78984,    -0.30331,    18.06863
   00:003.460,     1.26894,    -0.30158,    18.61974
   00:003.480,     0.88980,    -0.29981,    19.29141
   00:003.500,     0.64492,    -0.29199,    19.87122
   00:003.520,     0.49087,    -0.26091,    20.25011
   00:003.540,     0.39715,    -0.21690,    20.43381
   00:003.560,     0.33734,    -0.19048,    20.55437
   00:003.580,     0.29237,    -0.20158,    20.60029
   00:003.600,     0.25697,    -0.23011,    20.62900
   00:003.620,     0.23371,    -0.25251,    20.64622
   00:003.640,     0.21986,    -0.26445,    20.67492
   00:003.660,     0.20951,    -0.26581,    20.66918
   00:003.680,     0.20243,    -0.25912,    20.68640
   00:003.700,     0.19914,    -0.24842,    20.69214
   00:003.720,     0.19137,    -0.24363,    20.68640
   00:003.740,     0.18187,    -0.25421,    20.68640
   00:003.760,     0.17178,    -0.26894,    20.67492
   00:003.780,     0.15684,    -0.27319,    20.68640
   00:003.800,     0.14256,    -0.27022,    20.70937
   00:003.820,     0.13380,    -0.27240,    20.70937
   00:003.840,     0.13106,    -0.28130,    20.70937
   00:003.860,     0.12813,    -0.29330,    20.70937
   00:003.880,     0.12347,    -0.30581,    20.70937
   00:003.900,     0.11769,    -0.31489,    20.70937
   00:003.920,     0.11133,    -0.31898,    20.71511
   00:003.940,     0.10572,    -0.31836,    20.72085
   00:003.960,     0.10238,    -0.31561,    20.70937
   00:003.980,     0.09829,    -0.30714,    20.70937
   00:004.000,     0.09553,    -0.28814,    20.72085
   00:004.020,     0.09425,    -0.26562,    20.73233
   00:004.040,     0.09241,    -0.25122,    20.72085
   00:004.060,     0.08950,    -0.24454,    20.71511
   00:004.080,     0.08773,    -0.23949,    20.72659
   00:004.100,     0.08639,    -0.23645,    20.72085
   00:004.120,     0.08451,    -0.22567,    20.70937
   00:004.140,     0.08323,    -0.20476,    20.71511
   00:004.160,     0.08171,    -0.18937,    20.70937
   00:004.180,     0.07934,    -0.18855,    20.72085
   00:004.200,     0.07686,    -0.19061,    20.72085
   00:004.220,     0.07767,    -0.19392,    20.72085
   00:004.240,     0.07638,    -0.20964,    20.72085
   00:004.260,     0.07359,    -0.22579,    20.73807
   00:004.280,     0.07294,    -0.22816,    20.70937
   00:004.300,     0.07329,    -0.21384,    20.70937
   00:004.320,     0.07237,    -0.19414,    20.72085
   00:004.340,     0.07157,    -0.17273,    20.73807
   00:004.360,     0.07096,    -0.13699,    20.72085
   00:004.380,     0.06999,    -0.08583,    20.70937
   00:004.400,     0.06855,     0.00000,    20.72085
