<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2005,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.34643,    17.04996
   00:000.020,     0.00000,     0.34954,    17.00173
   00:000.040,     0.00000,     0.35056,    16.96556
   00:000.060,     0.00000,     0.35078,    16.91734
   00:000.080,     0.00000,     0.34980,    16.86912
   00:000.100,     4.46918,     0.34389,    16.80884
   00:000.120,     4.48348,     0.35235,    16.74856
   00:000.140,     4.48702,     0.35144,    16.72445
   00:000.160,     4.48956,     0.34125,    16.67020
   00:000.180,     4.49961,     0.32794,    16.62800
   00:000.200,     4.56901,     0.31131,    16.60389
   00:000.220,     4.58810,     0.29604,    16.57375
   00:000.240,     4.61292,     0.28270,    16.55567
   00:000.260,     4.63256,     0.26847,    16.52553
   00:000.280,     4.64312,     0.24944,    16.50744
   00:000.300,     4.65531,     0.23110,    16.49539
   00:000.320,     4.67446,     0.22034,    16.47730
   00:000.340,     4.68712,     0.21931,    16.45922
   00:000.360,     4.69380,     0.21652,    16.44113
   00:000.380,     4.70214,     0.20404,    16.43511
   00:000.400,     4.71499,     0.19113,    16.42305
   00:000.420,     4.72490,     0.18987,    16.41100
   00:000.440,     4.73410,     0.19970,    16.39291
   00:000.460,     4.74768,     0.20820,    16.38688
   00:000.480,     4.75918,     0.21221,    16.36277
   00:000.500,     4.77300,     0.21424,    16.35072
   00:000.520,     4.78690,     0.21673,    16.32660
   00:000.540,     4.79102,     0.22266,    16.32058
   00:000.560,     4.79807,     0.23227,    16.31455
   00:000.580,     4.81193,     0.24087,    16.29044
   00:000.600,     4.82228,     0.24433,    16.25427
   00:000.620,     4.83115,     0.23757,    16.24824
   00:000.640,     4.84001,     0.21819,    16.21810
   00:000.660,     4.84734,     0.19625,    16.23016
   00:000.680,     4.85140,     0.18312,    16.21810
   00:000.700,     4.85547,     0.17644,    16.20002
   00:000.720,     4.85521,     0.17038,    16.19399
   00:000.740,     4.85389,     0.16086,    16.20002
   00:000.760,     4.85648,     0.14758,    16.20605
   00:000.780,     4.85928,     0.12965,    16.19399
   00:000.800,     4.85921,     0.11478,    16.21810
   00:000.820,     4.85456,     0.11151,    16.21810
   00:000.840,     4.84808,     0.09643,    16.21810
   00:000.860,     4.84306,     0.00000,    16.23016
   00:000.880,     4.83853,     0.00000,    16.25427
   00:000.900,     4.83869,     0.00000,    16.26632
   00:000.920,     4.84158,     0.00000,    16.27838
   00:000.940,     4.83761,     0.00000,    16.27838
   00:000.960,     4.83457,     0.10308,    16.29044
   00:000.980,     4.83608,     0.10018,    16.30249
   00:001.000,     4.83895,     0.09730,    16.30249
   00:001.020,     4.84532,     0.10461,    16.29044
   00:001.040,     4.85031,     0.10201,    16.29044
   00:001.060,     4.85397,     0.08681,    16.29044
   00:001.080,     4.85696,     0.00000,    16.27838
   00:001.100,     4.85940,     0.00000,    16.27235
   00:001.120,     4.86588,     0.00000,    16.26632
   00:001.140,     4.87239,     0.00000,    16.24824
   00:001.160,     4.88033,     0.00000,    16.23619
   00:001.180,     4.88782,     0.00000,    16.22413
   00:001.200,     4.89411,     0.00000,    16.22413
   00:001.220,     4.89961,    -0.10898,    16.20002
   00:001.240,     4.89946,    -0.11876,    16.16988
   00:001.260,     4.89811,    -0.12724,    16.18193
   00:001.280,     4.90299,    -0.14331,    16.16988
