<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2000,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    20.88123
   00:000.020,     0.00000,     0.00000,    20.86466
   00:000.040,     0.00000,     0.00000,    20.88123
   00:000.060,     0.00000,     0.00000,    20.87018
   00:000.080,     0.00000,     0.00000,    20.87018
   00:000.100,     0.06118,     0.00000,    20.87018
   00:000.120,     0.06093,     0.00000,    20.87018
   00:000.140,     0.08703,     0.00000,    20.88123
   00:000.160,     0.07786,     0.00000,    20.88123
   00:000.180,     0.07174,     0.00000,    20.88123
   00:000.200,     0.06561,     0.00000,    20.87018
   00:000.220,     0.05898,     0.00000,    20.85914
   00:000.240,     0.05777,     0.00000,    20.88123
   00:000.260,     0.06090,     0.00000,    20.88123
   00:000.280,     0.06180,     0.00000,    20.87018
   00:000.300,     0.06073,     0.00000,    20.86466
   00:000.320,     0.06022,     0.00000,    20.87018
   00:000.340,     0.06133,     0.00000,    20.86466
   00:000.360,     0.06068,     0.00000,    20.87018
   00:000.380,     0.05983,     0.00000,    20.87018
   00:000.400,     0.06082,     0.00000,    20.87018
   00:000.420,     0.05901,     0.00000,    20.88123
   00:000.440,     0.05859,     0.00000,    20.85914
   00:000.460,     0.06020,     0.00000,    20.86466
   00:000.480,     0.05933,     0.00000,    20.88123
   00:000.500,     0.05919,     0.00000,    20.87018
   00:000.520,     0.06070,     0.00000,    20.87018
   00:000.540,     0.06040,     0.00000,    20.87018
   00:000.560,     0.05996,     0.00000,    20.87018
   00:000.580,     0.06061,     0.00000,    20.87018
   00:000.600,     0.06080,     0.00000,    20.87018
   00:000.620,     0.06112,     0.00000,    20.88123
   00:000.640,     0.06129,     0.00000,    20.87571
   00:000.660,     0.06028,     0.00000,    20.86466
   00:000.680,     0.05969,     0.00000,    20.85914
   00:000.700,     0.05868,     0.00000,    20.85914
   00:000.720,     0.05968,     0.00000,    20.88123
   00:000.740,     0.06169,     0.00000,    20.88123
   00:000.760,     0.06137,     0.00000,    20.87018
   00:000.780,     0.05957,     0.00000,    20.87018
   00:000.800,     0.05901,     0.00000,    20.87018
   00:000.820,     0.05958,     0.00000,    20.85914
   00:000.840,     0.05913,     0.00000,    20.85914
   00:000.860,     0.06004,     0.00000,    20.87018
   00:000.880,     0.06107,     0.00000,    20.87018
   00:000.900,     0.06041,     0.00000,    20.87018
   00:000.920,     0.06027,     0.00000,    20.85914
   00:000.940,     0.06013,     0.00000,    20.85361
   00:000.960,     0.06126,     0.00000,    20.88123
   00:000.980,     0.06126,     0.00000,    20.88123
   00:001.000,     0.06147,     0.00000,    20.86466
   00:001.020,     0.06284,     0.00000,    20.87018
   00:001.040,     0.06282,     0.00000,    20.85914
   00:001.060,     0.06135,     0.00000,    20.85914
   00:001.080,     0.06114,     0.00000,    20.85914
   00:001.100,     0.06144,     0.00000,    20.87018
   00:001.120,     0.06036,     0.00000,    20.88123
   00:001.140,     0.06128,     0.00000,    20.87018
   00:001.160,     0.06189,     0.00000,    20.85914
   00:001.180,     0.06117,     0.00000,    20.87018
   00:001.200,     0.06000,     0.00000,    20.85914
   00:001.220,     0.06020,     0.00000,    20.85914
   00:001.240,     0.06197,     0.00000,    20.87018
   00:001.260,     0.06139,     0.00000,    20.88123
   00:001.280,     0.06000,     0.00000,    20.85914
   00:001.300,     0.06087,     0.11827,    20.86466
   00:001.320,     0.06194,     0.10377,    20.87571
   00:001.340,     0.06074,     0.00000,    20.87018
   00:001.360,     0.06042,     0.00000,    20.85914
   00:001.380,     0.06155,     0.00000,    20.86466
   00:001.400,     0.06163,     0.00000,    20.86466
   00:001.420,     0.06116,     0.00000,    20.85914
   00:001.440,     0.06064,     0.00000,    20.87018
   00:001.460,     0.06095,     0.07946,    20.88123
   00:001.480,     0.06083,     0.09361,    20.87018
   00:001.500,     0.06058,     0.08116,    20.86466
   00:001.520,     0.06208,     0.00000,    20.87018
   00:001.540,     0.06264,     0.00000,    20.85914
   00:001.560,     0.06075,     0.00000,    20.85914
   00:001.580,     0.06151,     0.00000,    20.87018
   00:001.600,     0.06066,     0.00000,    20.88123
   00:001.620,     0.05986,     0.00000,    20.85914
   00:001.640,     0.06040,     0.08626,    20.87018
   00:001.660,     0.06005,     0.00000,    20.87018
   00:001.680,     0.05987,     0.00000,    20.86466
   00:001.700,     0.06006,     0.00000,    20.87018
   00:001.720,     0.06094,     0.00000,    20.85914
   00:001.740,     0.06235,     0.00000,    20.85914
   00:001.760,     0.06157,     0.00000,    20.85914
   00:001.780,     0.06040,     0.08049,    20.85914
   00:001.800,     0.06038,     0.12391,    20.87018
   00:001.820,     0.06135,     0.08275,    20.87018
   00:001.840,     0.06180,     0.00000,    20.87018
   00:001.860,     0.06047,     0.00000,    20.85914
   00:001.880,     0.05981,     0.00000,    20.85914
   00:001.900,     0.05996,     0.00000,    20.86466
   00:001.920,     0.06073,     0.00000,    20.86466
   00:001.940,     0.06065,     0.00000,    20.85914
   00:001.960,     0.06145,     0.00000,    20.85914
   00:001.980,     0.06209,     0.00000,    20.85914
   00:002.000,     0.06130,     0.00000,    20.86466
   00:002.020,     0.06163,     0.00000,    20.86466
   00:002.040,     0.06232,     0.00000,    20.85914
   00:002.060,     0.06111,     0.00000,    20.87018
   00:002.080,     0.05951,     0.00000,    20.85914
   00:002.100,     0.05953,     0.00000,    20.87018
   00:002.120,     0.06070,     0.00000,    20.86466
   00:002.140,     0.06049,     0.00000,    20.84809
   00:002.160,     0.05964,     0.00000,    20.87018
   00:002.180,     0.06055,     0.00000,    20.85914
   00:002.200,     0.06229,     0.00000,    20.87018
   00:002.220,     0.06163,     0.00000,    20.86466
   00:002.240,     0.06098,     0.00000,    20.87018
   00:002.260,     0.06226,     0.00000,    20.87018
   00:002.280,     0.06248,     0.00000,    20.87018
   00:002.300,     0.06144,     0.00000,    20.88123
   00:002.320,     0.06168,     0.00000,    20.85914
   00:002.340,     0.06077,     0.00000,    20.87018
   00:002.360,     0.06138,     0.00000,    20.88123
   00:002.380,     0.06217,     0.00000,    20.88123
   00:002.400,     0.06100,     0.00000,    20.88123
   00:002.420,     0.05954,     0.00000,    20.86466
   00:002.440,     0.05996,     0.00000,    20.87018
   00:002.460,     0.06099,     0.00000,    20.87018
   00:002.480,     0.06092,     0.00000,    20.88123
   00:002.500,     0.06116,     0.00000,    20.87571
   00:002.520,     0.06137,     0.00000,    20.85914
   00:002.540,     0.06154,     0.00000,    20.85914
   00:002.560,     0.06044,     0.00000,    20.87571
   00:002.580,     0.05943,     0.00000,    20.86466
   00:002.600,     0.06031,     0.00000,    20.87571
   00:002.620,     0.06130,     0.00000,    20.88123
   00:002.640,     0.06121,     0.00000,    20.85914
   00:002.660,     0.06189,     0.00000,    20.85914
   00:002.680,     0.06150,     0.00000,    20.87018
   00:002.700,     0.06034,     0.00000,    20.88123
   00:002.720,     0.06043,     0.00000,    20.86466
   00:002.740,     0.06170,     0.00000,    20.87571
   00:002.760,     0.06139,     0.00000,    20.87571
   00:002.780,     0.05956,     0.00000,    20.85914
   00:002.800,     0.06068,     0.00000,    20.86466
   00:002.820,     0.06116,     0.00000,    20.88123
   00:002.840,     0.05950,     0.00000,    20.88123
   00:002.860,     0.06044,     0.00000,    20.85914
   00:002.880,     0.06104,     0.00000,    20.86466
   00:002.900,     0.06018,     0.00000,    20.87018
   00:002.920,     0.05956,     0.00000,    20.85914
   00:002.940,     0.06005,     0.00000,    20.88123
   00:002.960,     0.05978,     0.00000,    20.85914
   00:002.980,     0.06083,     0.00000,    20.87018
   00:003.000,     0.06109,     0.00000,    20.87018
   00:003.020,     0.06026,     0.00000,    20.87018
   00:003.040,     0.06064,     0.00000,    20.86466
   00:003.060,     0.06075,     0.00000,    20.87018
   00:003.080,     0.06026,     0.00000,    20.87018
   00:003.100,     0.06079,     0.00000,    20.86466
   00:003.120,     0.06043,     0.00000,    20.88123
   00:003.140,     0.06095,     0.00000,    20.87018
   00:003.160,     0.06117,     0.00000,    20.85914
   00:003.180,     0.05955,     0.00000,    20.85914
   00:003.200,     0.05972,     0.00000,    20.86466
   00:003.220,     0.06090,     0.00000,    20.87571
