<WFATester Graph 1.00 1,35.000,40.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1850,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.07798
   00:000.100,     0.07798
   00:000.120,     0.08422
   00:000.140,     0.08040
   00:000.160,     0.07947
   00:000.180,     0.07845
   00:000.200,     0.07685
   00:000.220,     0.07847
   00:000.240,     0.07886
   00:000.260,     0.07891
   00:000.280,     0.07770
   00:000.300,     0.07731
   00:000.320,     0.07850
   00:000.340,     0.07807
   00:000.360,     0.07716
   00:000.380,     0.07790
   00:000.400,     0.07839
   00:000.420,     0.07806
   00:000.440,     0.07820
   00:000.460,     0.07756
   00:000.480,     0.07842
   00:000.500,     0.07924
   00:000.520,     0.07912
   00:000.540,     0.07896
   00:000.560,     0.07846
   00:000.580,     0.07762
   00:000.600,     0.07841
   00:000.620,     0.07974
   00:000.640,     0.07942
   00:000.660,     0.07921
   00:000.680,     0.07993
   00:000.700,     0.08012
   00:000.720,     0.08012
   00:000.740,     0.08057
   00:000.760,     0.08216
   00:000.780,     0.08695
   00:000.800,     0.10840
   00:000.820,     0.17361
   00:000.840,     0.31227
   00:000.860,     0.53900
   00:000.880,     0.85278
   00:000.900,     1.22521
   00:000.920,     1.61878
   00:000.940,     1.99750
   00:000.960,     2.33896
   00:000.980,     2.65005
   00:001.000,     2.93254
   00:001.020,     3.17967
   00:001.040,     3.39190
   00:001.060,     3.57735
   00:001.080,     3.73524
   00:001.100,     3.86870
   00:001.120,     3.98956
   00:001.140,     4.10281
   00:001.160,     4.20524
   00:001.180,     4.29365
   00:001.200,     4.36574
   00:001.220,     4.42418
   00:001.240,     4.47574
   00:001.260,     4.51933
   00:001.280,     4.56461
   00:001.300,     4.60885
   00:001.320,     4.64450
   00:001.340,     4.67559
   00:001.360,     4.70316
   00:001.380,     4.72439
   00:001.400,     4.73763
   00:001.420,     4.74739
   00:001.440,     4.75417
   00:001.460,     4.74593
   00:001.480,     4.68837
   00:001.500,     4.55676
   00:001.520,     4.38430
   00:001.540,     4.16963
   00:001.560,     3.76418
   00:001.580,     3.07055
   00:001.600,     2.30653
   00:001.620,     1.71766
   00:001.640,     1.31959
   00:001.660,     1.04518
   00:001.680,     0.83958
   00:001.700,     0.66135
   00:001.720,     0.50546
   00:001.740,     0.38600
   00:001.760,     0.30058
   00:001.780,     0.24307
   00:001.800,     0.20267
   00:001.820,     0.17498
   00:001.840,     0.15585
   00:001.860,     0.14066
   00:001.880,     0.13028
   00:001.900,     0.12282
   00:001.920,     0.11821
   00:001.940,     0.11539
   00:001.960,     0.11111
   00:001.980,     0.10642
   00:002.000,     0.10384
   00:002.020,     0.10241
   00:002.040,     0.10154
   00:002.060,     0.09921
   00:002.080,     0.09618
   00:002.100,     0.09607
   00:002.120,     0.09619
   00:002.140,     0.09399
   00:002.160,     0.09197
   00:002.180,     0.09172
   00:002.200,     0.09158
   00:002.220,     0.09044
   00:002.240,     0.09064
   00:002.260,     0.08912
   00:002.280,     0.08783
   00:002.300,     0.08841
   00:002.320,     0.08705
   00:002.340,     0.08613
   00:002.360,     0.08610
   00:002.380,     0.08573
   00:002.400,     0.08539
   00:002.420,     0.08565
   00:002.440,     0.08508
   00:002.460,     0.08449
   00:002.480,     0.08473
   00:002.500,     0.08324
   00:002.520,     0.08202
   00:002.540,     0.08129
   00:002.560,     0.08125
   00:002.580,     0.08287
   00:002.600,     0.08290
   00:002.620,     0.08171
   00:002.640,     0.08199
   00:002.660,     0.08308
   00:002.680,     0.08531
   00:002.700,     0.08659
   00:002.720,     0.08608
   00:002.740,     0.08483
   00:002.760,     0.08439
   00:002.780,     0.08482
   00:002.800,     0.08505
   00:002.820,     0.08680
   00:002.840,     0.08857
   00:002.860,     0.08899
   00:002.880,     0.09000
   00:002.900,     0.09107
   00:002.920,     0.09109
   00:002.940,     0.09191
   00:002.960,     0.09381
   00:002.980,     0.09441
   00:003.000,     0.09418
   00:003.020,     0.09746
   00:003.040,     0.11110
   00:003.060,     0.14537
   00:003.080,     0.20402
   00:003.100,     0.29598
   00:003.120,     0.44466
   00:003.140,     0.65579
   00:003.160,     0.90688
   00:003.180,     1.18181
   00:003.200,     1.47756
   00:003.220,     1.77648
   00:003.240,     2.06872
   00:003.260,     2.35264
   00:003.280,     2.61966
   00:003.300,     2.85781
   00:003.320,     3.07130
   00:003.340,     3.26339
   00:003.360,     3.43306
   00:003.380,     3.57922
   00:003.400,     3.70643
   00:003.420,     3.81942
   00:003.440,     3.91554
   00:003.460,     3.99775
   00:003.480,     4.07492
   00:003.500,     4.13964
   00:003.520,     4.19389
   00:003.540,     4.24153
   00:003.560,     4.28512
   00:003.580,     4.32891
   00:003.600,     4.37083
   00:003.620,     4.40952
   00:003.640,     4.44773
   00:003.660,     4.48608
   00:003.680,     4.52408
   00:003.700,     4.56243
   00:003.720,     4.59502
   00:003.740,     4.62538
   00:003.760,     4.65375
   00:003.780,     4.67822
   00:003.800,     4.70285
   00:003.820,     4.72897
   00:003.840,     4.75542
   00:003.860,     4.77785
   00:003.880,     4.79736
   00:003.900,     4.81479
   00:003.920,     4.83011
   00:003.940,     4.84352
   00:003.960,     4.85908
   00:003.980,     4.87162
   00:004.000,     4.88325
   00:004.020,     4.89654
   00:004.040,     4.90638
   00:004.060,     4.91469
   00:004.080,     4.92097
   00:004.100,     4.93214
   00:004.120,     4.94302
   00:004.140,     4.94796
   00:004.160,     4.95254
   00:004.180,     4.96011
   00:004.200,     4.96823
   00:004.220,     4.97259
   00:004.240,     4.97295
   00:004.260,     4.97368
   00:004.280,     4.97692
   00:004.300,     4.98077
   00:004.320,     4.98425
   00:004.340,     4.98932
   00:004.360,     4.99356
   00:004.380,     4.99909
   00:004.400,     5.00353
   00:004.420,     5.00727
   00:004.440,     5.00770
   00:004.460,     5.01055
   00:004.480,     5.01559
   00:004.500,     5.01668
   00:004.520,     5.02023
   00:004.540,     5.02294
   00:004.560,     5.02502
   00:004.580,     5.02712
   00:004.600,     5.02972
   00:004.620,     5.03340
   00:004.640,     5.03697
   00:004.660,     5.03949
   00:004.680,     5.04393
   00:004.700,     5.05035
   00:004.720,     5.05294
   00:004.740,     5.05668
   00:004.760,     5.06366
   00:004.780,     5.06708
   00:004.800,     5.07087
   00:004.820,     5.07537
   00:004.840,     5.08068
   00:004.860,     5.08547
   00:004.880,     5.08452
   00:004.900,     5.08624
   00:004.920,     5.08872
   00:004.940,     5.09095
   00:004.960,     5.09418
   00:004.980,     5.10195
   00:005.000,     5.11540
   00:005.020,     5.12845
   00:005.040,     5.13827
   00:005.060,     5.14714
   00:005.080,     5.15521
   00:005.100,     5.15866
   00:005.120,     5.15936
   00:005.140,     5.15962
   00:005.160,     5.15739
   00:005.180,     5.15440
   00:005.200,     5.15433
   00:005.220,     5.15414
   00:005.240,     5.14795
   00:005.260,     5.11976
   00:005.280,     5.05376
   00:005.300,     4.96406
   00:005.320,     4.85537
   00:005.340,     4.58556
   00:005.360,     3.99024
   00:005.380,     3.27079
   00:005.400,     2.77341
   00:005.420,     2.48105
   00:005.440,     2.14483
   00:005.460,     1.69295
   00:005.480,     1.25099
   00:005.500,     0.90553
   00:005.520,     0.65898
   00:005.540,     0.49069
   00:005.560,     0.37863
   00:005.580,     0.30485
   00:005.600,     0.25322
   00:005.620,     0.21885
   00:005.640,     0.19421
   00:005.660,     0.17660
   00:005.680,     0.16389
   00:005.700,     0.15516
   00:005.720,     0.14734
   00:005.740,     0.14026
   00:005.760,     0.13629
   00:005.780,     0.13337
   00:005.800,     0.12965
   00:005.820,     0.12571
   00:005.840,     0.12307
   00:005.860,     0.12004
   00:005.880,     0.11835
   00:005.900,     0.11733
   00:005.920,     0.11668
   00:005.940,     0.11370
   00:005.960,     0.11270
   00:005.980,     0.11238
   00:006.000,     0.10987
   00:006.020,     0.10897
   00:006.040,     0.10746
   00:006.060,     0.10583
   00:006.080,     0.10526
   00:006.100,     0.10401
   00:006.120,     0.10356
   00:006.140,     0.10229
   00:006.160,     0.10106
   00:006.180,     0.10000
   00:006.200,     0.09929
   00:006.220,     0.09976
   00:006.240,     0.09813
   00:006.260,     0.09667
   00:006.280,     0.09653
   00:006.300,     0.09677
   00:006.320,     0.09751
   00:006.340,     0.09715
   00:006.360,     0.09587
   00:006.380,     0.09419
   00:006.400,     0.09382
   00:006.420,     0.09364
   00:006.440,     0.09293
   00:006.460,     0.09320
   00:006.480,     0.09199
   00:006.500,     0.08933
   00:006.520,     0.09121
   00:006.540,     0.09161
   00:006.560,     0.09041
   00:006.580,     0.09105
   00:006.600,     0.09072
   00:006.620,     0.08994
   00:006.640,     0.08934
   00:006.660,     0.08813
   00:006.680,     0.08767
   00:006.700,     0.08735
   00:006.720,     0.08701
   00:006.740,     0.08731
   00:006.760,     0.08749
   00:006.780,     0.08776
   00:006.800,     0.08698
   00:006.820,     0.08622
   00:006.840,     0.08633
   00:006.860,     0.08658
   00:006.880,     0.08573
   00:006.900,     0.08544
   00:006.920,     0.08562
   00:006.940,     0.08443
   00:006.960,     0.08431
   00:006.980,     0.08466
   00:007.000,     0.08446
   00:007.020,     0.08357
   00:007.040,     0.08367
   00:007.060,     0.08397
   00:007.080,     0.08294
   00:007.100,     0.08357
   00:007.120,     0.08445
   00:007.140,     0.08414
   00:007.160,     0.08479
   00:007.180,     0.08567
   00:007.200,     0.08457
   00:007.220,     0.08418
   00:007.240,     0.08405
   00:007.260,     0.08404
   00:007.280,     0.08234
   00:007.300,     0.08146
   00:007.320,     0.08196
   00:007.340,     0.08231
   00:007.360,     0.08318
   00:007.380,     0.08348
   00:007.400,     0.08318
   00:007.420,     0.08358
