<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1770,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    20.57387
   00:000.020,     0.00000,     0.00000,    20.57387
   00:000.040,     0.00000,     0.00000,    20.57958
   00:000.060,     0.00000,     0.00000,    20.56816
   00:000.080,     0.00000,     0.00000,    20.56816
   00:000.100,     0.00000,     0.00000,    20.57387
   00:000.120,     0.55257,     0.00000,    20.56816
   00:000.140,     0.55389,     0.00000,    20.56244
   00:000.160,     0.55139,     0.00000,    20.58530
   00:000.180,     0.54992,     0.00000,    20.57958
   00:000.200,     0.55168,     0.00000,    20.55673
   00:000.220,     0.55485,     0.00000,    20.54530
   00:000.240,     0.55398,     0.00000,    20.56816
   00:000.260,     0.55476,     0.00000,    20.56816
   00:000.280,     0.55505,     0.00000,    20.56244
   00:000.300,     0.55589,     0.00000,    20.55673
   00:000.320,     0.55613,     0.00000,    20.56816
   00:000.340,     0.55690,     0.00000,    20.55673
   00:000.360,     0.55788,     0.00000,    20.55673
   00:000.380,     0.55851,     0.00000,    20.57958
   00:000.400,     0.55845,     0.00000,    20.56816
   00:000.420,     0.55839,     0.00000,    20.56244
   00:000.440,     0.55860,     0.00000,    20.57387
   00:000.460,     0.55908,     0.00000,    20.55673
   00:000.480,     0.55818,     0.00000,    20.55673
   00:000.500,     0.55848,     0.00000,    20.55673
   00:000.520,     0.55930,     0.00000,    20.55673
   00:000.540,     0.56012,     0.00000,    20.55673
   00:000.560,     0.56184,     0.00000,    20.55673
   00:000.580,     0.56034,     0.00000,    20.57387
   00:000.600,     0.56014,     0.00000,    20.56244
   00:000.620,     0.56096,     0.00000,    20.56816
   00:000.640,     0.56114,     0.00000,    20.56816
   00:000.660,     0.55891,     0.00000,    20.56244
   00:000.680,     0.55766,     0.00000,    20.55673
   00:000.700,     0.55852,     0.00000,    20.55673
   00:000.720,     0.55938,     0.00000,    20.56816
   00:000.740,     0.56112,     0.00000,    20.55673
   00:000.760,     0.56180,     0.00000,    20.56816
   00:000.780,     0.56048,     0.00000,    20.56816
   00:000.800,     0.56027,     0.00000,    20.55673
   00:000.820,     0.56139,     0.00000,    20.55673
   00:000.840,     0.56140,     0.00000,    20.55673
   00:000.860,     0.56198,     0.00000,    20.57958
   00:000.880,     0.56200,     0.00000,    20.56816
   00:000.900,     0.55911,     0.00000,    20.57958
   00:000.920,     0.55986,     0.00000,    20.55673
   00:000.940,     0.56229,     0.00000,    20.55673
   00:000.960,     0.56169,     0.00000,    20.56816
   00:000.980,     0.56101,     0.00000,    20.56244
   00:001.000,     0.56201,     0.00000,    20.55673
   00:001.020,     0.56174,     0.00000,    20.56244
   00:001.040,     0.56213,     0.00000,    20.55673
   00:001.060,     0.56245,     0.00000,    20.56244
   00:001.080,     0.56105,     0.00000,    20.55673
   00:001.100,     0.56150,     0.10348,    20.55673
   00:001.120,     0.56303,     0.12168,    20.56244
   00:001.140,     0.56343,     0.14596,    20.57387
   00:001.160,     0.56275,     0.18128,    20.56244
   00:001.180,     0.56167,     0.21749,    20.56244
   00:001.200,     0.56253,     0.23838,    20.56816
