<WFATester Graph 1.00 1,15.000,20.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  850,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     3.14359
   00:000.100,     3.24594
   00:000.120,     3.26678
   00:000.140,     3.30510
   00:000.160,     3.37404
   00:000.180,     3.88469
   00:000.200,     4.00867
   00:000.220,     4.12649
   00:000.240,     4.22578
   00:000.260,     4.30974
   00:000.280,     4.38511
   00:000.300,     4.45492
   00:000.320,     4.51731
   00:000.340,     4.57386
   00:000.360,     4.62769
   00:000.380,     4.68236
   00:000.400,     4.73153
   00:000.420,     4.76842
   00:000.440,     4.80204
   00:000.460,     4.83651
   00:000.480,     4.86493
   00:000.500,     4.89043
   00:000.520,     4.91327
   00:000.540,     4.93123
   00:000.560,     4.94554
   00:000.580,     4.95839
   00:000.600,     4.96745
   00:000.620,     4.97862
   00:000.640,     4.99370
   00:000.660,     5.00587
   00:000.680,     5.01514
   00:000.700,     5.02603
   00:000.720,     5.03302
   00:000.740,     5.03704
   00:000.760,     5.03831
   00:000.780,     5.04180
   00:000.800,     5.04925
   00:000.820,     5.05602
   00:000.840,     5.06616
   00:000.860,     5.08218
   00:000.880,     5.09340
   00:000.900,     5.09752
   00:000.920,     5.09962
   00:000.940,     5.10134
   00:000.960,     5.09999
   00:000.980,     5.09849
   00:001.000,     5.09998
   00:001.020,     5.10279
   00:001.040,     5.10457
   00:001.060,     5.10439
   00:001.080,     5.10968
   00:001.100,     5.11995
   00:001.120,     5.13233
   00:001.140,     5.14024
   00:001.160,     5.14701
   00:001.180,     5.15718
   00:001.200,     5.16820
   00:001.220,     5.17853
   00:001.240,     5.18682
   00:001.260,     5.19690
   00:001.280,     5.20711
   00:001.300,     5.21597
   00:001.320,     5.22464
   00:001.340,     5.23384
   00:001.360,     5.24271
   00:001.380,     5.25050
   00:001.400,     5.25420
   00:001.420,     5.25695
   00:001.440,     5.26112
   00:001.460,     5.26842
   00:001.480,     5.27939
   00:001.500,     5.29000
   00:001.520,     5.30054
   00:001.540,     5.31144
   00:001.560,     5.32014
   00:001.580,     5.32858
   00:001.600,     5.33702
   00:001.620,     5.34602
   00:001.640,     5.35518
   00:001.660,     5.36347
   00:001.680,     5.37426
   00:001.700,     5.38651
   00:001.720,     5.39629
   00:001.740,     5.40512
   00:001.760,     5.41611
   00:001.780,     5.42612
   00:001.800,     5.43131
   00:001.820,     5.43241
   00:001.840,     5.43729
   00:001.860,     5.44564
   00:001.880,     5.45295
   00:001.900,     5.45537
   00:001.920,     5.45472
   00:001.940,     5.44990
   00:001.960,     5.44441
   00:001.980,     5.45010
   00:002.000,     5.46113
   00:002.020,     5.46876
   00:002.040,     5.47640
   00:002.060,     5.48522
   00:002.080,     5.49109
   00:002.100,     5.49535
   00:002.120,     5.49970
   00:002.140,     5.50120
   00:002.160,     5.50351
   00:002.180,     5.50809
   00:002.200,     5.50863
   00:002.220,     5.50910
   00:002.240,     5.51500
   00:002.260,     5.51460
   00:002.280,     5.51221
   00:002.300,     5.49844
   00:002.320,     5.42638
   00:002.340,     5.23189
   00:002.360,     4.93632
   00:002.380,     4.66138
   00:002.400,     4.37103
   00:002.420,     3.79606
   00:002.440,     2.91630
   00:002.460,     2.06128
   00:002.480,     1.43009
   00:002.500,     1.01016
   00:002.520,     0.73318
   00:002.540,     0.55322
   00:002.560,     0.43294
   00:002.580,     0.35223
   00:002.600,     0.29950
   00:002.620,     0.26385
   00:002.640,     0.23824
   00:002.660,     0.21811
   00:002.680,     0.20459
   00:002.700,     0.19547
   00:002.720,     0.18705
   00:002.740,     0.17761
   00:002.760,     0.17151
   00:002.780,     0.16895
   00:002.800,     0.16655
   00:002.820,     0.16330
   00:002.840,     0.15972
   00:002.860,     0.15733
   00:002.880,     0.15502
   00:002.900,     0.15426
   00:002.920,     0.15254
   00:002.940,     0.14963
   00:002.960,     0.14756
   00:002.980,     0.14757
   00:003.000,     0.14610
   00:003.020,     0.14225
   00:003.040,     0.14045
   00:003.060,     0.14050
   00:003.080,     0.13975
   00:003.100,     0.13912
   00:003.120,     0.13897
   00:003.140,     0.13682
   00:003.160,     0.13526
   00:003.180,     0.13533
   00:003.200,     0.13398
   00:003.220,     0.13261
   00:003.240,     0.13262
   00:003.260,     0.13232
   00:003.280,     0.13008
   00:003.300,     0.12920
   00:003.320,     0.12905
   00:003.340,     0.12863
   00:003.360,     0.12857
   00:003.380,     0.12875
   00:003.400,     0.12750
   00:003.420,     0.12707
   00:003.440,     0.12596
   00:003.460,     0.12456
   00:003.480,     0.12459
   00:003.500,     0.12468
   00:003.520,     0.12461
   00:003.540,     0.12526
   00:003.560,     0.12435
   00:003.580,     0.12312
   00:003.600,     0.12164
   00:003.620,     0.12117
   00:003.640,     0.12141
   00:003.660,     0.12195
   00:003.680,     0.12290
   00:003.700,     0.12300
   00:003.720,     0.12175
   00:003.740,     0.12160
   00:003.760,     0.12216
   00:003.780,     0.12210
   00:003.800,     0.12373
   00:003.820,     0.12637
   00:003.840,     0.12817
   00:003.860,     0.13025
   00:003.880,     0.13731
   00:003.900,     0.15680
   00:003.920,     0.20656
   00:003.940,     0.30702
   00:003.960,     0.46952
   00:003.980,     0.69182
   00:004.000,     0.95898
   00:004.020,     1.25823
   00:004.040,     1.57172
   00:004.060,     1.87474
   00:004.080,     2.16233
   00:004.100,     2.45379
   00:004.120,     2.75334
   00:004.140,     3.03545
   00:004.160,     3.27435
   00:004.180,     3.48143
   00:004.200,     3.67585
   00:004.220,     3.84609
   00:004.240,     3.98743
   00:004.260,     4.10993
   00:004.280,     4.21429
   00:004.300,     4.30597
   00:004.320,     4.38869
   00:004.340,     4.45880
   00:004.360,     4.51774
   00:004.380,     4.57230
   00:004.400,     4.62259
   00:004.420,     4.66570
   00:004.440,     4.70011
   00:004.460,     4.72946
   00:004.480,     4.75483
   00:004.500,     4.77862
   00:004.520,     4.79944
   00:004.540,     4.81562
   00:004.560,     4.82719
   00:004.580,     4.83747
   00:004.600,     4.85096
   00:004.620,     4.86847
   00:004.640,     4.88713
   00:004.660,     4.90468
   00:004.680,     4.92445
   00:004.700,     4.94748
   00:004.720,     4.96726
   00:004.740,     4.98476
   00:004.760,     5.00297
   00:004.780,     5.02087
   00:004.800,     5.03354
   00:004.820,     5.04646
   00:004.840,     5.05552
   00:004.860,     5.05882
   00:004.880,     5.06329
   00:004.900,     5.07121
   00:004.920,     5.07584
   00:004.940,     5.08302
   00:004.960,     5.09181
   00:004.980,     5.10099
   00:005.000,     5.11162
   00:005.020,     5.12407
   00:005.040,     5.13372
   00:005.060,     5.14043
   00:005.080,     5.15029
   00:005.100,     5.16180
   00:005.120,     5.17190
   00:005.140,     5.18188
   00:005.160,     5.19000
   00:005.180,     5.19665
   00:005.200,     5.20366
   00:005.220,     5.20906
   00:005.240,     5.21734
   00:005.260,     5.22683
   00:005.280,     5.23374
   00:005.300,     5.24304
   00:005.320,     5.25054
   00:005.340,     5.25253
   00:005.360,     5.25433
   00:005.380,     5.25711
   00:005.400,     5.25877
   00:005.420,     5.26852
   00:005.440,     5.27860
   00:005.460,     5.28420
   00:005.480,     5.28765
   00:005.500,     5.28968
   00:005.520,     5.29082
   00:005.540,     5.29334
   00:005.560,     5.29618
   00:005.580,     5.29670
   00:005.600,     5.29944
   00:005.620,     5.30592
   00:005.640,     5.31454
   00:005.660,     5.32132
   00:005.680,     5.32650
   00:005.700,     5.33230
   00:005.720,     5.33975
   00:005.740,     5.34685
   00:005.760,     5.35509
   00:005.780,     5.35794
   00:005.800,     5.35821
   00:005.820,     5.35733
   00:005.840,     5.35734
   00:005.860,     5.35611
   00:005.880,     5.35178
   00:005.900,     5.34777
   00:005.920,     5.34492
   00:005.940,     5.34137
   00:005.960,     5.33794
   00:005.980,     5.33422
   00:006.000,     5.32965
   00:006.020,     5.32161
   00:006.040,     5.31631
   00:006.060,     5.31302
   00:006.080,     5.31226
   00:006.100,     5.31178
   00:006.120,     5.30908
   00:006.140,     5.31066
   00:006.160,     5.31190
   00:006.180,     5.31388
   00:006.200,     5.31888
   00:006.220,     5.32375
   00:006.240,     5.32976
   00:006.260,     5.33552
   00:006.280,     5.34125
   00:006.300,     5.34842
   00:006.320,     5.34897
   00:006.340,     5.35173
   00:006.360,     5.35301
   00:006.380,     5.35182
   00:006.400,     5.35197
   00:006.420,     5.35530
   00:006.440,     5.35985
   00:006.460,     5.36434
   00:006.480,     5.36724
   00:006.500,     5.36845
   00:006.520,     5.37283
   00:006.540,     5.37717
   00:006.560,     5.37954
   00:006.580,     5.38261
   00:006.600,     5.38684
   00:006.620,     5.38707
   00:006.640,     5.38305
   00:006.660,     5.37634
   00:006.680,     5.34491
   00:006.700,     5.29128
   00:006.720,     5.24789
   00:006.740,     5.16355
   00:006.760,     4.86466
   00:006.780,     4.27970
   00:006.800,     3.58917
   00:006.820,     3.01702
   00:006.840,     2.61998
   00:006.860,     2.26608
   00:006.880,     1.86487
   00:006.900,     1.46165
   00:006.920,     1.12105
   00:006.940,     0.85114
   00:006.960,     0.64567
   00:006.980,     0.49920
   00:007.000,     0.39899
   00:007.020,     0.32964
   00:007.040,     0.28190
   00:007.060,     0.24978
   00:007.080,     0.22819
   00:007.100,     0.21171
   00:007.120,     0.19967
   00:007.140,     0.19043
   00:007.160,     0.18305
   00:007.180,     0.17795
   00:007.200,     0.17323
   00:007.220,     0.16995
   00:007.240,     0.16763
   00:007.260,     0.16597
   00:007.280,     0.16306
   00:007.300,     0.15891
   00:007.320,     0.15748
   00:007.340,     0.15510
   00:007.360,     0.15255
   00:007.380,     0.15204
   00:007.400,     0.15029
   00:007.420,     0.14903
