<WFATester Graph 1.00 1,20.000,25.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1025,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     4.58350
   00:000.120,     4.58643
   00:000.140,     4.60831
   00:000.160,     4.60061
   00:000.180,     4.59984
   00:000.200,     4.62563
   00:000.220,     4.63339
   00:000.240,     4.64686
   00:000.260,     4.65739
   00:000.280,     4.66349
   00:000.300,     4.66889
   00:000.320,     4.67241
   00:000.340,     4.67480
   00:000.360,     4.67686
   00:000.380,     4.68373
   00:000.400,     4.68835
   00:000.420,     4.68495
   00:000.440,     4.68344
   00:000.460,     4.68327
   00:000.480,     4.67871
   00:000.500,     4.65325
   00:000.520,     4.52551
   00:000.540,     4.11208
   00:000.560,     3.38356
   00:000.580,     2.57936
   00:000.600,     1.87972
   00:000.620,     1.32737
   00:000.640,     0.92673
   00:000.660,     0.66019
   00:000.680,     0.48512
   00:000.700,     0.36836
   00:000.720,     0.28948
   00:000.740,     0.23739
   00:000.760,     0.20294
   00:000.780,     0.17640
   00:000.800,     0.15824
   00:000.820,     0.14684
   00:000.840,     0.13631
   00:000.860,     0.12676
   00:000.880,     0.11983
   00:000.900,     0.11558
   00:000.920,     0.11304
   00:000.940,     0.11112
   00:000.960,     0.10881
   00:000.980,     0.10578
   00:001.000,     0.10188
   00:001.020,     0.09953
   00:001.040,     0.09850
   00:001.060,     0.09755
   00:001.080,     0.09596
   00:001.100,     0.09522
   00:001.120,     0.09400
   00:001.140,     0.09209
   00:001.160,     0.09047
   00:001.180,     0.08999
   00:001.200,     0.08961
   00:001.220,     0.08855
   00:001.240,     0.08871
   00:001.260,     0.08863
   00:001.280,     0.08676
   00:001.300,     0.08576
   00:001.320,     0.08505
   00:001.340,     0.08345
   00:001.360,     0.08221
   00:001.380,     0.08262
   00:001.400,     0.08207
   00:001.420,     0.08205
   00:001.440,     0.08258
   00:001.460,     0.08099
   00:001.480,     0.08022
   00:001.500,     0.08081
   00:001.520,     0.08081
   00:001.540,     0.08022
   00:001.560,     0.08036
   00:001.580,     0.08043
   00:001.600,     0.08042
   00:001.620,     0.08218
   00:001.640,     0.08557
   00:001.660,     0.09189
   00:001.680,     0.10047
   00:001.700,     0.11345
   00:001.720,     0.13737
   00:001.740,     0.18021
   00:001.760,     0.25565
   00:001.780,     0.36831
   00:001.800,     0.53517
   00:001.820,     0.77702
   00:001.840,     1.08348
   00:001.860,     1.42861
   00:001.880,     1.77775
   00:001.900,     2.09896
   00:001.920,     2.37612
   00:001.940,     2.62524
   00:001.960,     2.86235
   00:001.980,     3.08148
   00:002.000,     3.27696
   00:002.020,     3.44790
   00:002.040,     3.59462
   00:002.060,     3.72015
   00:002.080,     3.83448
   00:002.100,     3.93311
   00:002.120,     4.01286
   00:002.140,     4.08044
   00:002.160,     4.13858
   00:002.180,     4.19041
   00:002.200,     4.23276
   00:002.220,     4.27260
   00:002.240,     4.31367
   00:002.260,     4.35433
   00:002.280,     4.38878
   00:002.300,     4.41658
   00:002.320,     4.44115
   00:002.340,     4.46316
   00:002.360,     4.48234
   00:002.380,     4.50215
   00:002.400,     4.52502
   00:002.420,     4.54656
   00:002.440,     4.56415
   00:002.460,     4.57616
   00:002.480,     4.58687
   00:002.500,     4.60137
   00:002.520,     4.61842
   00:002.540,     4.63372
   00:002.560,     4.64838
   00:002.580,     4.66333
   00:002.600,     4.67717
   00:002.620,     4.68803
   00:002.640,     4.69338
   00:002.660,     4.69938
   00:002.680,     4.70537
   00:002.700,     4.71380
   00:002.720,     4.72102
   00:002.740,     4.73007
   00:002.760,     4.73964
   00:002.780,     4.74764
   00:002.800,     4.75380
   00:002.820,     4.75174
   00:002.840,     4.73441
   00:002.860,     4.68475
   00:002.880,     4.51844
   00:002.900,     4.12228
   00:002.920,     3.44839
   00:002.940,     2.60029
   00:002.960,     1.82335
   00:002.980,     1.25367
   00:003.000,     0.87425
   00:003.020,     0.62559
   00:003.040,     0.46079
   00:003.060,     0.35167
   00:003.080,     0.28117
   00:003.100,     0.23882
   00:003.120,     0.21598
   00:003.140,     0.20084
   00:003.160,     0.18653
   00:003.180,     0.16984
   00:003.200,     0.15215
   00:003.220,     0.13962
   00:003.240,     0.13125
   00:003.260,     0.12361
   00:003.280,     0.11659
   00:003.300,     0.11252
   00:003.320,     0.10866
   00:003.340,     0.10492
   00:003.360,     0.10333
   00:003.380,     0.10145
   00:003.400,     0.09892
   00:003.420,     0.09820
   00:003.440,     0.09660
   00:003.460,     0.09432
   00:003.480,     0.09297
   00:003.500,     0.09267
   00:003.520,     0.09217
   00:003.540,     0.08959
   00:003.560,     0.08864
   00:003.580,     0.08870
   00:003.600,     0.08879
   00:003.620,     0.08739
   00:003.640,     0.08610
   00:003.660,     0.08497
   00:003.680,     0.08368
   00:003.700,     0.08357
   00:003.720,     0.08331
   00:003.740,     0.08302
   00:003.760,     0.08227
   00:003.780,     0.08164
   00:003.800,     0.08247
   00:003.820,     0.08281
   00:003.840,     0.08260
   00:003.860,     0.08121
   00:003.880,     0.08106
   00:003.900,     0.08291
   00:003.920,     0.08659
   00:003.940,     0.09389
   00:003.960,     0.10384
   00:003.980,     0.11420
   00:004.000,     0.12588
   00:004.020,     0.14754
   00:004.040,     0.20108
   00:004.060,     0.31762
   00:004.080,     0.50924
   00:004.100,     0.76551
   00:004.120,     1.06664
   00:004.140,     1.39160
   00:004.160,     1.72362
   00:004.180,     2.05472
   00:004.200,     2.37367
   00:004.220,     2.66414
   00:004.240,     2.90417
   00:004.260,     3.10021
   00:004.280,     3.29398
   00:004.300,     3.49975
   00:004.320,     3.69687
   00:004.340,     3.86362
   00:004.360,     3.99593
   00:004.380,     4.09388
   00:004.400,     4.16622
   00:004.420,     4.22599
   00:004.440,     4.27538
   00:004.460,     4.32066
   00:004.480,     4.35809
   00:004.500,     4.39226
   00:004.520,     4.42781
   00:004.540,     4.45943
   00:004.560,     4.48637
   00:004.580,     4.51407
   00:004.600,     4.53863
   00:004.620,     4.56148
   00:004.640,     4.58265
   00:004.660,     4.60036
   00:004.680,     4.61727
   00:004.700,     4.63589
   00:004.720,     4.65516
   00:004.740,     4.67273
   00:004.760,     4.69114
   00:004.780,     4.70548
   00:004.800,     4.72109
   00:004.820,     4.73621
   00:004.840,     4.75212
   00:004.860,     4.76973
   00:004.880,     4.78666
   00:004.900,     4.79816
   00:004.920,     4.80636
   00:004.940,     4.81784
   00:004.960,     4.82714
   00:004.980,     4.83349
   00:005.000,     4.84064
   00:005.020,     4.85170
   00:005.040,     4.86340
   00:005.060,     4.87282
   00:005.080,     4.88219
   00:005.100,     4.88934
   00:005.120,     4.89366
   00:005.140,     4.89494
   00:005.160,     4.89389
   00:005.180,     4.88898
   00:005.200,     4.87660
   00:005.220,     4.84988
   00:005.240,     4.69445
   00:005.260,     4.14475
   00:005.280,     3.21103
   00:005.300,     2.26957
   00:005.320,     1.56194
   00:005.340,     1.08421
   00:005.360,     0.76722
   00:005.380,     0.55745
   00:005.400,     0.42091
   00:005.420,     0.33099
   00:005.440,     0.26778
   00:005.460,     0.22457
   00:005.480,     0.19460
   00:005.500,     0.17404
   00:005.520,     0.15731
   00:005.540,     0.14434
   00:005.560,     0.13586
   00:005.580,     0.12875
   00:005.600,     0.12250
   00:005.620,     0.11828
   00:005.640,     0.11515
   00:005.660,     0.11146
   00:005.680,     0.10898
   00:005.700,     0.10706
   00:005.720,     0.10413
   00:005.740,     0.10113
   00:005.760,     0.10074
   00:005.780,     0.10035
   00:005.800,     0.09868
   00:005.820,     0.09692
   00:005.840,     0.09606
   00:005.860,     0.09490
   00:005.880,     0.09247
   00:005.900,     0.09053
   00:005.920,     0.09047
   00:005.940,     0.09082
   00:005.960,     0.08969
   00:005.980,     0.08835
   00:006.000,     0.08820
   00:006.020,     0.08770
   00:006.040,     0.08624
   00:006.060,     0.08614
   00:006.080,     0.08571
   00:006.100,     0.08369
   00:006.120,     0.08299
   00:006.140,     0.08332
   00:006.160,     0.08289
   00:006.180,     0.08220
   00:006.200,     0.08089
   00:006.220,     0.08034
   00:006.240,     0.08024
   00:006.260,     0.08246
   00:006.280,     0.08761
   00:006.300,     0.09839
   00:006.320,     0.11460
   00:006.340,     0.12892
   00:006.360,     0.14194
   00:006.380,     0.16158
   00:006.400,     0.20675
   00:006.420,     0.30155
   00:006.440,     0.44769
   00:006.460,     0.63324
   00:006.480,     0.85683
   00:006.500,     1.11277
   00:006.520,     1.39315
   00:006.540,     1.70428
   00:006.560,     2.04191
   00:006.580,     2.38436
   00:006.600,     2.70233
   00:006.620,     2.98118
   00:006.640,     3.23260
   00:006.660,     3.46511
   00:006.680,     3.67009
   00:006.700,     3.82736
   00:006.720,     3.94829
   00:006.740,     4.05249
   00:006.760,     4.14256
   00:006.780,     4.22005
   00:006.800,     4.29439
   00:006.820,     4.36105
   00:006.840,     4.41571
   00:006.860,     4.45684
   00:006.880,     4.48771
   00:006.900,     4.51014
   00:006.920,     4.52608
   00:006.940,     4.53752
   00:006.960,     4.55138
   00:006.980,     4.56736
   00:007.000,     4.58498
   00:007.020,     4.60295
   00:007.040,     4.61691
   00:007.060,     4.62775
   00:007.080,     4.63976
   00:007.100,     4.65040
   00:007.120,     4.66071
   00:007.140,     4.66960
   00:007.160,     4.67766
   00:007.180,     4.69053
   00:007.200,     4.70938
   00:007.220,     4.72408
   00:007.240,     4.73905
   00:007.260,     4.75583
   00:007.280,     4.76951
   00:007.300,     4.77966
   00:007.320,     4.79025
   00:007.340,     4.79987
   00:007.360,     4.80771
   00:007.380,     4.81469
   00:007.400,     4.82367
   00:007.420,     4.83762
