<WFATester Graph 1.00 1,30.000,35.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1725,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     4.49904
   00:000.120,     4.63287
   00:000.140,     4.65744
   00:000.160,     4.70473
   00:000.180,     4.78153
   00:000.200,     5.27508
   00:000.220,     5.37020
   00:000.240,     5.46415
   00:000.260,     5.52684
   00:000.280,     5.56677
   00:000.300,     5.60274
   00:000.320,     5.63190
   00:000.340,     5.65607
   00:000.360,     5.67952
   00:000.380,     5.69852
   00:000.400,     5.71285
   00:000.420,     5.72295
   00:000.440,     5.73000
   00:000.460,     5.73895
   00:000.480,     5.75023
   00:000.500,     5.75983
   00:000.520,     5.76968
   00:000.540,     5.78183
   00:000.560,     5.79101
   00:000.580,     5.80093
   00:000.600,     5.80893
   00:000.620,     5.81008
   00:000.640,     5.81657
   00:000.660,     5.81583
   00:000.680,     5.77994
   00:000.700,     5.59302
   00:000.720,     4.98839
   00:000.740,     3.89448
   00:000.760,     2.71928
   00:000.780,     1.81847
   00:000.800,     1.22534
   00:000.820,     0.86026
   00:000.840,     0.63073
   00:000.860,     0.46831
   00:000.880,     0.35728
   00:000.900,     0.30005
   00:000.920,     0.28578
   00:000.940,     0.28087
   00:000.960,     0.25667
   00:000.980,     0.21580
   00:001.000,     0.17535
   00:001.020,     0.14333
   00:001.040,     0.11717
   00:001.060,     0.09724
   00:001.080,     0.08662
   00:001.100,     0.08072
   00:001.120,     0.07539
   00:001.140,     0.06575
   00:001.160,     0.05451
   00:001.180,     0.04604
   00:001.200,     0.03765
   00:001.220,     0.02994
   00:001.240,     0.02464
   00:001.260,     0.01914
   00:001.280,     0.01502
   00:001.300,     0.01352
   00:001.320,     0.01117
   00:001.340,     0.00899
   00:001.360,     0.00886
   00:001.380,     0.00908
   00:001.400,     0.00721
   00:001.420,     0.00327
   00:001.440,     0.00265
   00:001.460,     0.00301
   00:001.480,     0.00186
   00:001.500,     0.00153
   00:001.520,     0.00162
   00:001.540,     0.00149
   00:001.560,     0.00003
   00:001.580,    -0.00138
   00:001.600,    -0.00174
   00:001.620,    -0.00137
   00:001.640,    -0.00344
   00:001.660,    -0.00608
   00:001.680,    -0.00575
   00:001.700,    -0.00566
   00:001.720,    -0.00655
   00:001.740,    -0.00521
   00:001.760,    -0.00370
   00:001.780,    -0.00596
   00:001.800,    -0.00796
   00:001.820,    -0.00818
   00:001.840,    -0.00872
   00:001.860,    -0.00909
   00:001.880,    -0.00867
   00:001.900,    -0.00730
   00:001.920,    -0.00594
   00:001.940,    -0.00490
   00:001.960,    -0.00560
   00:001.980,    -0.00686
   00:002.000,    -0.00521
   00:002.020,    -0.00071
   00:002.040,     0.00586
   00:002.060,     0.01625
   00:002.080,     0.03537
   00:002.100,     0.07695
   00:002.120,     0.16298
   00:002.140,     0.31028
   00:002.160,     0.53786
   00:002.180,     0.86327
   00:002.200,     1.27943
   00:002.220,     1.74400
   00:002.240,     2.20713
   00:002.260,     2.63274
   00:002.280,     3.01082
   00:002.300,     3.33745
   00:002.320,     3.59845
   00:002.340,     3.79567
   00:002.360,     3.95392
   00:002.380,     4.09117
   00:002.400,     4.21225
   00:002.420,     4.31538
   00:002.440,     4.40095
   00:002.460,     4.47223
   00:002.480,     4.53287
   00:002.500,     4.59044
   00:002.520,     4.64235
   00:002.540,     4.68724
   00:002.560,     4.73449
   00:002.580,     4.77932
   00:002.600,     4.81383
   00:002.620,     4.84409
   00:002.640,     4.87453
   00:002.660,     4.90598
   00:002.680,     4.93459
   00:002.700,     4.95838
   00:002.720,     4.98117
   00:002.740,     5.00318
   00:002.760,     5.02375
   00:002.780,     5.04617
   00:002.800,     5.06499
   00:002.820,     5.08068
   00:002.840,     5.09492
   00:002.860,     5.10955
   00:002.880,     5.11996
   00:002.900,     5.13006
   00:002.920,     5.14293
   00:002.940,     5.15313
   00:002.960,     5.16226
   00:002.980,     5.17211
   00:003.000,     5.17867
   00:003.020,     5.18765
   00:003.040,     5.19804
   00:003.060,     5.20867
   00:003.080,     5.22104
   00:003.100,     5.23419
   00:003.120,     5.24591
   00:003.140,     5.25852
   00:003.160,     5.26684
   00:003.180,     5.27325
   00:003.200,     5.28358
   00:003.220,     5.29348
   00:003.240,     5.30423
   00:003.260,     5.31483
   00:003.280,     5.32490
   00:003.300,     5.33235
   00:003.320,     5.33428
   00:003.340,     5.34016
   00:003.360,     5.34964
   00:003.380,     5.35668
   00:003.400,     5.36066
   00:003.420,     5.36347
   00:003.440,     5.36558
   00:003.460,     5.36601
   00:003.480,     5.31256
   00:003.500,     5.02860
   00:003.520,     4.38470
   00:003.540,     3.55490
   00:003.560,     2.76998
   00:003.580,     2.10078
   00:003.600,     1.57439
   00:003.620,     1.19943
   00:003.640,     0.92428
   00:003.660,     0.69265
   00:003.680,     0.50027
   00:003.700,     0.35708
   00:003.720,     0.25693
   00:003.740,     0.18988
   00:003.760,     0.14548
   00:003.780,     0.11340
   00:003.800,     0.09064
   00:003.820,     0.07535
   00:003.840,     0.06586
   00:003.860,     0.05585
   00:003.880,     0.04653
   00:003.900,     0.04225
   00:003.920,     0.03816
   00:003.940,     0.03521
   00:003.960,     0.03176
   00:003.980,     0.02976
   00:004.000,     0.02805
   00:004.020,     0.02442
   00:004.040,     0.02138
   00:004.060,     0.02161
   00:004.080,     0.02052
   00:004.100,     0.01872
   00:004.120,     0.01802
   00:004.140,     0.01536
   00:004.160,     0.01389
   00:004.180,     0.01400
   00:004.200,     0.01461
   00:004.220,     0.01791
   00:004.240,     0.02056
   00:004.260,     0.02221
   00:004.280,     0.02314
   00:004.300,     0.02419
   00:004.320,     0.02622
   00:004.340,     0.02976
   00:004.360,     0.03174
   00:004.380,     0.02781
   00:004.400,     0.02110
   00:004.420,     0.01523
   00:004.440,     0.01081
   00:004.460,     0.00789
   00:004.480,     0.00659
   00:004.500,     0.00505
   00:004.520,     0.00352
   00:004.540,     0.00472
   00:004.560,     0.00791
   00:004.580,     0.00964
   00:004.600,     0.00980
   00:004.620,     0.01058
   00:004.640,     0.01220
   00:004.660,     0.01318
   00:004.680,     0.01253
   00:004.700,     0.01056
   00:004.720,     0.01099
   00:004.740,     0.01140
   00:004.760,     0.01112
   00:004.780,     0.01556
   00:004.800,     0.02521
   00:004.820,     0.03689
   00:004.840,     0.04996
   00:004.860,     0.07326
   00:004.880,     0.11817
   00:004.900,     0.19205
   00:004.920,     0.29121
   00:004.940,     0.41232
   00:004.960,     0.55145
   00:004.980,     0.70871
   00:005.000,     0.88356
   00:005.020,     1.07638
   00:005.040,     1.29843
   00:005.060,     1.54442
   00:005.080,     1.79054
   00:005.100,     2.02493
   00:005.120,     2.24696
   00:005.140,     2.45806
   00:005.160,     2.66363
   00:005.180,     2.86152
   00:005.200,     3.04827
   00:005.220,     3.22137
   00:005.240,     3.38072
   00:005.260,     3.52842
   00:005.280,     3.66077
   00:005.300,     3.77536
   00:005.320,     3.87945
   00:005.340,     3.97271
   00:005.360,     4.05730
   00:005.380,     4.13517
   00:005.400,     4.20599
   00:005.420,     4.27313
   00:005.440,     4.32872
   00:005.460,     4.37979
   00:005.480,     4.43027
   00:005.500,     4.47482
   00:005.520,     4.51221
   00:005.540,     4.54668
   00:005.560,     4.58108
   00:005.580,     4.61190
   00:005.600,     4.63686
   00:005.620,     4.65912
   00:005.640,     4.67805
   00:005.660,     4.69512
   00:005.680,     4.71153
   00:005.700,     4.72662
   00:005.720,     4.74399
   00:005.740,     4.75989
   00:005.760,     4.77294
   00:005.780,     4.78849
   00:005.800,     4.80219
   00:005.820,     4.81215
   00:005.840,     4.82281
   00:005.860,     4.83721
   00:005.880,     4.84937
   00:005.900,     4.85481
   00:005.920,     4.86180
   00:005.940,     4.87459
   00:005.960,     4.88448
   00:005.980,     4.88693
   00:006.000,     4.88722
   00:006.020,     4.89375
   00:006.040,     4.89736
   00:006.060,     4.89422
   00:006.080,     4.89286
   00:006.100,     4.89583
   00:006.120,     4.89753
   00:006.140,     4.90071
   00:006.160,     4.90574
   00:006.180,     4.91449
   00:006.200,     4.91976
   00:006.220,     4.92764
   00:006.240,     4.93767
   00:006.260,     4.94703
   00:006.280,     4.95934
   00:006.300,     4.97338
   00:006.320,     4.98535
   00:006.340,     4.99879
   00:006.360,     5.01283
   00:006.380,     5.02406
   00:006.400,     5.03432
   00:006.420,     5.04749
   00:006.440,     5.05999
   00:006.460,     5.06816
   00:006.480,     5.07737
   00:006.500,     5.08133
   00:006.520,     5.08568
   00:006.540,     5.09297
   00:006.560,     5.09669
   00:006.580,     5.09439
   00:006.600,     5.08679
   00:006.620,     5.05306
   00:006.640,     4.91239
   00:006.660,     4.51249
   00:006.680,     3.74729
   00:006.700,     2.80895
   00:006.720,     2.01565
   00:006.740,     1.44719
   00:006.760,     1.02703
   00:006.780,     0.71540
   00:006.800,     0.50523
   00:006.820,     0.38024
   00:006.840,     0.31351
   00:006.860,     0.26551
   00:006.880,     0.21480
   00:006.900,     0.16664
   00:006.920,     0.12912
   00:006.940,     0.10164
   00:006.960,     0.08116
   00:006.980,     0.06647
   00:007.000,     0.05648
   00:007.020,     0.05009
   00:007.040,     0.04356
   00:007.060,     0.03717
   00:007.080,     0.03388
   00:007.100,     0.03092
   00:007.120,     0.02821
   00:007.140,     0.02657
   00:007.160,     0.02308
   00:007.180,     0.02043
   00:007.200,     0.02024
   00:007.220,     0.01859
   00:007.240,     0.01627
   00:007.260,     0.01380
   00:007.280,     0.01193
   00:007.300,     0.01123
   00:007.320,     0.01146
   00:007.340,     0.01026
   00:007.360,     0.00856
   00:007.380,     0.00779
