<WFATester Graph 1.00 1,45.000,50.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2355,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,    -0.26167
   00:000.120,    -0.26263
   00:000.140,    -0.24877
   00:000.160,    -0.25516
   00:000.180,    -0.25788
   00:000.200,    -0.25806
   00:000.220,    -0.26212
   00:000.240,    -0.26172
   00:000.260,    -0.25997
   00:000.280,    -0.26186
   00:000.300,    -0.26421
   00:000.320,    -0.26351
   00:000.340,    -0.26184
   00:000.360,    -0.26154
   00:000.380,    -0.26139
   00:000.400,    -0.25958
   00:000.420,    -0.25599
   00:000.440,    -0.25072
   00:000.460,    -0.24495
   00:000.480,    -0.24277
   00:000.500,    -0.24059
   00:000.520,    -0.23527
   00:000.540,    -0.22426
   00:000.560,    -0.19291
   00:000.580,    -0.12698
   00:000.600,    -0.01843
   00:000.620,     0.13766
   00:000.640,     0.33424
   00:000.660,     0.55505
   00:000.680,     0.79566
   00:000.700,     1.05046
   00:000.720,     1.30941
   00:000.740,     1.56442
   00:000.760,     1.80197
   00:000.780,     2.00600
   00:000.800,     2.17496
   00:000.820,     2.31689
   00:000.840,     2.43901
   00:000.860,     2.54422
   00:000.880,     2.63158
   00:000.900,     2.70268
   00:000.920,     2.76431
   00:000.940,     2.81842
   00:000.960,     2.86549
   00:000.980,     2.90315
   00:001.000,     2.93975
   00:001.020,     2.97402
   00:001.040,     3.00182
   00:001.060,     3.02695
   00:001.080,     3.05172
   00:001.100,     3.07208
   00:001.120,     3.08972
   00:001.140,     3.10652
   00:001.160,     3.12092
   00:001.180,     3.13421
   00:001.200,     3.14677
   00:001.220,     3.16318
   00:001.240,     3.17956
   00:001.260,     3.19162
   00:001.280,     3.20360
   00:001.300,     3.21542
   00:001.320,     3.22411
   00:001.340,     3.23230
   00:001.360,     3.24410
   00:001.380,     3.25509
   00:001.400,     3.26508
   00:001.420,     3.27670
   00:001.440,     3.28745
   00:001.460,     3.29835
   00:001.480,     3.30796
   00:001.500,     3.31657
   00:001.520,     3.32324
   00:001.540,     3.33156
   00:001.560,     3.33990
   00:001.580,     3.34571
   00:001.600,     3.35281
   00:001.620,     3.36196
   00:001.640,     3.36855
   00:001.660,     3.37549
   00:001.680,     3.38572
   00:001.700,     3.39461
   00:001.720,     3.40187
   00:001.740,     3.41024
   00:001.760,     3.41647
   00:001.780,     3.42179
   00:001.800,     3.42762
   00:001.820,     3.43308
   00:001.840,     3.43695
   00:001.860,     3.44320
   00:001.880,     3.44892
   00:001.900,     3.45285
   00:001.920,     3.45935
   00:001.940,     3.46609
   00:001.960,     3.47119
   00:001.980,     3.47774
   00:002.000,     3.48278
   00:002.020,     3.48695
   00:002.040,     3.49415
   00:002.060,     3.50212
   00:002.080,     3.50698
   00:002.100,     3.51123
   00:002.120,     3.51488
   00:002.140,     3.51975
   00:002.160,     3.52406
   00:002.180,     3.52894
   00:002.200,     3.53412
   00:002.220,     3.53809
   00:002.240,     3.54235
   00:002.260,     3.54592
   00:002.280,     3.54930
   00:002.300,     3.55257
   00:002.320,     3.55397
   00:002.340,     3.55615
   00:002.360,     3.56147
   00:002.380,     3.56486
   00:002.400,     3.56420
   00:002.420,     3.56571
   00:002.440,     3.56763
   00:002.460,     3.56980
   00:002.480,     3.57355
   00:002.500,     3.57656
   00:002.520,     3.57701
   00:002.540,     3.57638
   00:002.560,     3.56648
   00:002.580,     3.48174
   00:002.600,     3.19545
   00:002.620,     2.66829
   00:002.640,     2.05045
   00:002.660,     1.53217
   00:002.680,     1.15277
   00:002.700,     0.83690
   00:002.720,     0.55094
   00:002.740,     0.31754
   00:002.760,     0.14950
   00:002.780,     0.03548
   00:002.800,    -0.04195
   00:002.820,    -0.09487
   00:002.840,    -0.13259
   00:002.860,    -0.15745
   00:002.880,    -0.17320
   00:002.900,    -0.18574
   00:002.920,    -0.19771
   00:002.940,    -0.20547
   00:002.960,    -0.20925
   00:002.980,    -0.21283
   00:003.000,    -0.21739
   00:003.020,    -0.22107
   00:003.040,    -0.22390
   00:003.060,    -0.22674
   00:003.080,    -0.22938
   00:003.100,    -0.23053
   00:003.120,    -0.23131
   00:003.140,    -0.23289
   00:003.160,    -0.23508
   00:003.180,    -0.23711
   00:003.200,    -0.23725
   00:003.220,    -0.23856
   00:003.240,    -0.24014
   00:003.260,    -0.24248
   00:003.280,    -0.24335
   00:003.300,    -0.24308
   00:003.320,    -0.24379
   00:003.340,    -0.24437
   00:003.360,    -0.24531
   00:003.380,    -0.24611
   00:003.400,    -0.24654
   00:003.420,    -0.24711
   00:003.440,    -0.24819
   00:003.460,    -0.24871
   00:003.480,    -0.24889
   00:003.500,    -0.24921
   00:003.520,    -0.24923
   00:003.540,    -0.24992
   00:003.560,    -0.24989
   00:003.580,    -0.25071
   00:003.600,    -0.25178
   00:003.620,    -0.25218
   00:003.640,    -0.25334
   00:003.660,    -0.25385
   00:003.680,    -0.25337
   00:003.700,    -0.25248
   00:003.720,    -0.25281
   00:003.740,    -0.25445
   00:003.760,    -0.25516
   00:003.780,    -0.25398
   00:003.800,    -0.25560
   00:003.820,    -0.25601
   00:003.840,    -0.25543
   00:003.860,    -0.25596
   00:003.880,    -0.25676
   00:003.900,    -0.25602
   00:003.920,    -0.25664
   00:003.940,    -0.25757
   00:003.960,    -0.25837
   00:003.980,    -0.25793
   00:004.000,    -0.25754
   00:004.020,    -0.25782
   00:004.040,    -0.25841
   00:004.060,    -0.25756
   00:004.080,    -0.25721
   00:004.100,    -0.25699
   00:004.120,    -0.25760
   00:004.140,    -0.25779
   00:004.160,    -0.25742
   00:004.180,    -0.25681
   00:004.200,    -0.25711
   00:004.220,    -0.25793
   00:004.240,    -0.25742
   00:004.260,    -0.25771
   00:004.280,    -0.25772
   00:004.300,    -0.25726
   00:004.320,    -0.25585
   00:004.340,    -0.25443
   00:004.360,    -0.25203
   00:004.380,    -0.24650
   00:004.400,    -0.23873
   00:004.420,    -0.22975
   00:004.440,    -0.21813
   00:004.460,    -0.19884
   00:004.480,    -0.15307
   00:004.500,    -0.05830
   00:004.520,     0.09486
   00:004.540,     0.29510
   00:004.560,     0.52242
   00:004.580,     0.76670
   00:004.600,     1.02362
   00:004.620,     1.28208
   00:004.640,     1.51966
   00:004.660,     1.72499
   00:004.680,     1.90602
   00:004.700,     2.07074
   00:004.720,     2.21946
   00:004.740,     2.34805
   00:004.760,     2.45929
   00:004.780,     2.55384
   00:004.800,     2.63282
   00:004.820,     2.69923
   00:004.840,     2.75573
   00:004.860,     2.80892
   00:004.880,     2.85600
   00:004.900,     2.89672
   00:004.920,     2.93319
   00:004.940,     2.96564
   00:004.960,     2.99488
   00:004.980,     3.02210
   00:005.000,     3.04650
   00:005.020,     3.06634
   00:005.040,     3.08518
   00:005.060,     3.10406
   00:005.080,     3.11876
   00:005.100,     3.13041
   00:005.120,     3.14241
   00:005.140,     3.15874
   00:005.160,     3.17006
   00:005.180,     3.17906
   00:005.200,     3.19140
   00:005.220,     3.20443
   00:005.240,     3.21238
   00:005.260,     3.22186
   00:005.280,     3.23395
   00:005.300,     3.24283
   00:005.320,     3.25092
   00:005.340,     3.26060
   00:005.360,     3.27065
   00:005.380,     3.27797
   00:005.400,     3.28482
   00:005.420,     3.29040
   00:005.440,     3.29812
   00:005.460,     3.30658
   00:005.480,     3.31318
   00:005.500,     3.32257
   00:005.520,     3.33066
   00:005.540,     3.33596
   00:005.560,     3.34031
   00:005.580,     3.34564
   00:005.600,     3.35193
   00:005.620,     3.35921
   00:005.640,     3.37025
   00:005.660,     3.38333
   00:005.680,     3.39082
   00:005.700,     3.39954
   00:005.720,     3.41041
   00:005.740,     3.41658
   00:005.760,     3.41951
   00:005.780,     3.42372
   00:005.800,     3.42759
   00:005.820,     3.43238
   00:005.840,     3.43953
   00:005.860,     3.44440
   00:005.880,     3.44901
   00:005.900,     3.45033
   00:005.920,     3.44915
   00:005.940,     3.44790
   00:005.960,     3.44683
   00:005.980,     3.44459
   00:006.000,     3.43877
   00:006.020,     3.42196
   00:006.040,     3.37219
   00:006.060,     3.27085
   00:006.080,     3.12651
   00:006.100,     2.94686
   00:006.120,     2.74797
   00:006.140,     2.55819
   00:006.160,     2.39449
   00:006.180,     2.26566
   00:006.200,     2.14795
   00:006.220,     1.89848
   00:006.240,     1.45707
   00:006.260,     0.97653
   00:006.280,     0.59637
   00:006.300,     0.33304
   00:006.320,     0.15355
   00:006.340,     0.03410
   00:006.360,    -0.04614
   00:006.380,    -0.09916
   00:006.400,    -0.13552
   00:006.420,    -0.16212
   00:006.440,    -0.17861
   00:006.460,    -0.19097
   00:006.480,    -0.20079
   00:006.500,    -0.20769
   00:006.520,    -0.21411
   00:006.540,    -0.21876
   00:006.560,    -0.22141
   00:006.580,    -0.22474
   00:006.600,    -0.22836
   00:006.620,    -0.23005
   00:006.640,    -0.23208
   00:006.660,    -0.23305
   00:006.680,    -0.23369
   00:006.700,    -0.23646
   00:006.720,    -0.23794
   00:006.740,    -0.23834
   00:006.760,    -0.23933
   00:006.780,    -0.24076
   00:006.800,    -0.24067
   00:006.820,    -0.24206
   00:006.840,    -0.24333
   00:006.860,    -0.24367
   00:006.880,    -0.24507
   00:006.900,    -0.24660
   00:006.920,    -0.24719
   00:006.940,    -0.24783
   00:006.960,    -0.24840
   00:006.980,    -0.24831
   00:007.000,    -0.24979
   00:007.020,    -0.25080
   00:007.040,    -0.24873
   00:007.060,    -0.24896
   00:007.080,    -0.25083
   00:007.100,    -0.25227
   00:007.120,    -0.25106
   00:007.140,    -0.25142
   00:007.160,    -0.25412
   00:007.180,    -0.25462
