<WFATester Graph 1.00 1,25.000,30.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1415,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     3.99660
   00:000.120,     4.01479
   00:000.140,     4.04212
   00:000.160,     4.04029
   00:000.180,     4.04922
   00:000.200,     4.14941
   00:000.220,     4.17019
   00:000.240,     4.19913
   00:000.260,     4.22992
   00:000.280,     4.25823
   00:000.300,     4.28612
   00:000.320,     4.31477
   00:000.340,     4.33910
   00:000.360,     4.36043
   00:000.380,     4.38522
   00:000.400,     4.40911
   00:000.420,     4.43216
   00:000.440,     4.45429
   00:000.460,     4.47237
   00:000.480,     4.49221
   00:000.500,     4.51434
   00:000.520,     4.53247
   00:000.540,     4.55199
   00:000.560,     4.57598
   00:000.580,     4.59889
   00:000.600,     4.62062
   00:000.620,     4.63709
   00:000.640,     4.65169
   00:000.660,     4.67346
   00:000.680,     4.69456
   00:000.700,     4.70754
   00:000.720,     4.71632
   00:000.740,     4.71766
   00:000.760,     4.69508
   00:000.780,     4.62475
   00:000.800,     4.37938
   00:000.820,     3.76260
   00:000.840,     2.86797
   00:000.860,     2.02627
   00:000.880,     1.40477
   00:000.900,     0.98442
   00:000.920,     0.70407
   00:000.940,     0.52540
   00:000.960,     0.42631
   00:000.980,     0.37813
   00:001.000,     0.34312
   00:001.020,     0.30224
   00:001.040,     0.26000
   00:001.060,     0.22744
   00:001.080,     0.20847
   00:001.100,     0.19554
   00:001.120,     0.18126
   00:001.140,     0.16677
   00:001.160,     0.15607
   00:001.180,     0.14903
   00:001.200,     0.14356
   00:001.220,     0.13889
   00:001.240,     0.13443
   00:001.260,     0.13083
   00:001.280,     0.12858
   00:001.300,     0.12688
   00:001.320,     0.12494
   00:001.340,     0.12395
   00:001.360,     0.12333
   00:001.380,     0.12516
   00:001.400,     0.13273
   00:001.420,     0.14449
   00:001.440,     0.15319
   00:001.460,     0.16075
   00:001.480,     0.17381
   00:001.500,     0.19324
   00:001.520,     0.21482
   00:001.540,     0.23509
   00:001.560,     0.25577
   00:001.580,     0.28076
   00:001.600,     0.32422
   00:001.620,     0.40492
   00:001.640,     0.52396
   00:001.660,     0.67742
   00:001.680,     0.86243
   00:001.700,     1.07169
   00:001.720,     1.28425
   00:001.740,     1.48731
   00:001.760,     1.68797
   00:001.780,     1.88879
   00:001.800,     2.08009
   00:001.820,     2.25741
   00:001.840,     2.41418
   00:001.860,     2.55145
   00:001.880,     2.67772
   00:001.900,     2.79542
   00:001.920,     2.90525
   00:001.940,     3.01015
   00:001.960,     3.10774
   00:001.980,     3.19391
   00:002.000,     3.27307
   00:002.020,     3.34776
   00:002.040,     3.41670
   00:002.060,     3.47651
   00:002.080,     3.53213
   00:002.100,     3.59029
   00:002.120,     3.64766
   00:002.140,     3.70474
   00:002.160,     3.75905
   00:002.180,     3.80711
   00:002.200,     3.85382
   00:002.220,     3.89872
   00:002.240,     3.94039
   00:002.260,     3.98278
   00:002.280,     4.02461
   00:002.300,     4.06280
   00:002.320,     4.09956
   00:002.340,     4.13741
   00:002.360,     4.17567
   00:002.380,     4.20772
   00:002.400,     4.23855
   00:002.420,     4.27085
   00:002.440,     4.29808
   00:002.460,     4.32324
   00:002.480,     4.34915
   00:002.500,     4.37123
   00:002.520,     4.39395
   00:002.540,     4.41864
   00:002.560,     4.44821
   00:002.580,     4.47530
   00:002.600,     4.50088
   00:002.620,     4.53123
   00:002.640,     4.56006
   00:002.660,     4.58675
   00:002.680,     4.61232
   00:002.700,     4.63751
   00:002.720,     4.66018
   00:002.740,     4.67769
   00:002.760,     4.69365
   00:002.780,     4.70787
   00:002.800,     4.72509
   00:002.820,     4.74921
   00:002.840,     4.77140
   00:002.860,     4.78947
   00:002.880,     4.80959
   00:002.900,     4.82739
   00:002.920,     4.83987
   00:002.940,     4.85018
   00:002.960,     4.84746
   00:002.980,     4.81346
   00:003.000,     4.69522
   00:003.020,     4.31190
   00:003.040,     3.54517
   00:003.060,     2.61965
   00:003.080,     1.82652
   00:003.100,     1.25934
   00:003.120,     0.88038
   00:003.140,     0.63094
   00:003.160,     0.46856
   00:003.180,     0.36155
   00:003.200,     0.29109
   00:003.220,     0.24488
   00:003.240,     0.21370
   00:003.260,     0.19129
   00:003.280,     0.17757
   00:003.300,     0.16785
   00:003.320,     0.15775
   00:003.340,     0.14918
   00:003.360,     0.14309
   00:003.380,     0.14021
   00:003.400,     0.13861
   00:003.420,     0.13499
   00:003.440,     0.13241
   00:003.460,     0.13010
   00:003.480,     0.12754
   00:003.500,     0.12660
   00:003.520,     0.12498
   00:003.540,     0.12245
   00:003.560,     0.12035
   00:003.580,     0.11901
   00:003.600,     0.11836
   00:003.620,     0.12057
   00:003.640,     0.12506
   00:003.660,     0.12878
   00:003.680,     0.13014
   00:003.700,     0.12986
   00:003.720,     0.13404
   00:003.740,     0.14462
   00:003.760,     0.15927
   00:003.780,     0.17461
   00:003.800,     0.18879
   00:003.820,     0.20238
   00:003.840,     0.22060
   00:003.860,     0.25493
   00:003.880,     0.32375
   00:003.900,     0.43077
   00:003.920,     0.56444
   00:003.940,     0.71968
   00:003.960,     0.90352
   00:003.980,     1.11517
   00:004.000,     1.33542
   00:004.020,     1.54582
   00:004.040,     1.74001
   00:004.060,     1.92691
   00:004.080,     2.11205
   00:004.100,     2.28217
   00:004.120,     2.43116
   00:004.140,     2.57277
   00:004.160,     2.71371
   00:004.180,     2.84050
   00:004.200,     2.94959
   00:004.220,     3.04817
   00:004.240,     3.14906
   00:004.260,     3.24941
   00:004.280,     3.33799
   00:004.300,     3.41675
   00:004.320,     3.49827
   00:004.340,     3.58294
   00:004.360,     3.66003
   00:004.380,     3.73059
   00:004.400,     3.79971
   00:004.420,     3.86327
   00:004.440,     3.91466
   00:004.460,     3.95298
   00:004.480,     3.98744
   00:004.500,     4.02907
   00:004.520,     4.07104
   00:004.540,     4.10909
   00:004.560,     4.15032
   00:004.580,     4.18767
   00:004.600,     4.21980
   00:004.620,     4.25641
   00:004.640,     4.28885
   00:004.660,     4.31777
   00:004.680,     4.34694
   00:004.700,     4.37428
   00:004.720,     4.39856
   00:004.740,     4.42256
   00:004.760,     4.45107
   00:004.780,     4.47819
   00:004.800,     4.50644
   00:004.820,     4.53537
   00:004.840,     4.56361
   00:004.860,     4.58854
   00:004.880,     4.61562
   00:004.900,     4.64205
   00:004.920,     4.66307
   00:004.940,     4.68648
   00:004.960,     4.70827
   00:004.980,     4.72760
   00:005.000,     4.74160
   00:005.020,     4.75207
   00:005.040,     4.75152
   00:005.060,     4.72113
   00:005.080,     4.61188
   00:005.100,     4.25044
   00:005.120,     3.50631
   00:005.140,     2.59080
   00:005.160,     1.80288
   00:005.180,     1.24315
   00:005.200,     0.86927
   00:005.220,     0.62172
   00:005.240,     0.47131
   00:005.260,     0.40312
   00:005.280,     0.37484
   00:005.300,     0.33928
   00:005.320,     0.28908
   00:005.340,     0.24221
   00:005.360,     0.21083
   00:005.380,     0.18824
   00:005.400,     0.17073
   00:005.420,     0.15778
   00:005.440,     0.14882
   00:005.460,     0.14281
   00:005.480,     0.13847
   00:005.500,     0.13533
   00:005.520,     0.13191
   00:005.540,     0.12966
   00:005.560,     0.12724
   00:005.580,     0.12447
   00:005.600,     0.12298
   00:005.620,     0.12115
   00:005.640,     0.12001
   00:005.660,     0.11957
   00:005.680,     0.11897
   00:005.700,     0.12205
   00:005.720,     0.12809
   00:005.740,     0.13349
   00:005.760,     0.13741
   00:005.780,     0.14091
   00:005.800,     0.14313
   00:005.820,     0.14889
   00:005.840,     0.15647
   00:005.860,     0.16274
   00:005.880,     0.17136
   00:005.900,     0.18827
   00:005.920,     0.22095
   00:005.940,     0.27975
   00:005.960,     0.38373
   00:005.980,     0.54067
   00:006.000,     0.73764
   00:006.020,     0.96373
   00:006.040,     1.21272
   00:006.060,     1.46308
   00:006.080,     1.69538
   00:006.100,     1.90624
   00:006.120,     2.09492
   00:006.140,     2.26651
   00:006.160,     2.42516
   00:006.180,     2.57734
   00:006.200,     2.72114
   00:006.220,     2.85469
   00:006.240,     2.97478
   00:006.260,     3.08219
   00:006.280,     3.18016
   00:006.300,     3.26852
   00:006.320,     3.35111
   00:006.340,     3.43389
   00:006.360,     3.51983
   00:006.380,     3.59689
   00:006.400,     3.66963
   00:006.420,     3.73889
   00:006.440,     3.80202
   00:006.460,     3.85789
   00:006.480,     3.90891
   00:006.500,     3.95409
   00:006.520,     3.99910
   00:006.540,     4.04383
   00:006.560,     4.08490
   00:006.580,     4.12549
   00:006.600,     4.16540
   00:006.620,     4.20041
   00:006.640,     4.23686
   00:006.660,     4.28056
   00:006.680,     4.31857
   00:006.700,     4.35032
   00:006.720,     4.38065
   00:006.740,     4.41123
   00:006.760,     4.44255
   00:006.780,     4.46853
   00:006.800,     4.49131
   00:006.820,     4.51537
   00:006.840,     4.53852
   00:006.860,     4.56163
   00:006.880,     4.58560
   00:006.900,     4.61181
   00:006.920,     4.64062
   00:006.940,     4.66485
   00:006.960,     4.68686
   00:006.980,     4.71311
   00:007.000,     4.73916
   00:007.020,     4.76281
   00:007.040,     4.78675
   00:007.060,     4.81188
   00:007.080,     4.83126
   00:007.100,     4.84678
   00:007.120,     4.86548
   00:007.140,     4.88477
   00:007.160,     4.90092
   00:007.180,     4.91987
   00:007.200,     4.94162
   00:007.220,     4.96026
   00:007.240,     4.97802
   00:007.260,     4.99783
   00:007.280,     5.01292
   00:007.300,     5.02478
   00:007.320,     5.03787
   00:007.340,     5.04666
   00:007.360,     5.03546
   00:007.380,     4.99318
   00:007.400,     4.86830
   00:007.420,     4.49833
