<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1720,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,    -0.33155,    13.70218
   00:000.020,     0.00000,    -0.34473,    13.69098
   00:000.040,     0.00000,    -0.34789,    13.69098
   00:000.060,     0.00000,    -0.35400,    13.66857
   00:000.080,     0.00000,    -0.36395,    13.67417
   00:000.100,     5.59999,    -0.43959,    13.66857
   00:000.120,     5.59704,    -0.46001,    13.62936
   00:000.140,     5.61348,    -0.47871,    13.63496
   00:000.160,     5.60414,    -0.49816,    13.63496
   00:000.180,     5.60210,    -0.51342,    13.63496
   00:000.200,     5.60687,    -0.52700,    13.65176
   00:000.220,     5.60112,    -0.54583,    13.65737
   00:000.240,     5.60016,    -0.56320,    13.64056
   00:000.260,     5.59388,    -0.57354,    13.64056
   00:000.280,     5.56312,    -0.58997,    13.65176
   00:000.300,     5.51543,    -0.61234,    13.65176
   00:000.320,     5.47682,    -0.62454,    13.69098
   00:000.340,     5.44392,    -0.63931,    13.76381
   00:000.360,     5.38070,    -0.66688,    13.81983
   00:000.380,     5.20781,    -0.67952,    13.85904
   00:000.400,     4.80991,    -0.65768,    13.98228
   00:000.420,     4.16922,    -0.61838,    14.27359
   00:000.440,     3.34514,    -0.58819,    14.86741
   00:000.460,     2.45053,    -0.58617,    15.80855
   00:000.480,     1.69210,    -0.60832,    17.00738
   00:000.500,     1.16704,    -0.63478,    18.25103
   00:000.520,     0.82856,    -0.65436,    19.27060
   00:000.540,     0.60719,    -0.66192,    19.94285
   00:000.560,     0.46094,    -0.65233,    20.32379
   00:000.580,     0.36528,    -0.62603,    20.53666
   00:000.600,     0.30137,    -0.60403,    20.65991
   00:000.620,     0.25809,    -0.60703,    20.71593
   00:000.640,     0.22795,    -0.62252,    20.75514
   00:000.660,     0.20695,    -0.63313,    20.79996
   00:000.680,     0.19095,    -0.63637,    20.79436
   00:000.700,     0.17750,    -0.62834,    20.79996
   00:000.720,     0.16946,    -0.61085,    20.81116
   00:000.740,     0.16250,    -0.60464,    20.81677
   00:000.760,     0.15458,    -0.61938,    20.79436
   00:000.780,     0.14952,    -0.63926,    20.80556
   00:000.800,     0.14669,    -0.65357,    20.79436
   00:000.820,     0.14099,    -0.65688,    20.78315
   00:000.840,     0.13714,    -0.64660,    20.77195
   00:000.860,     0.13380,    -0.62559,    20.77755
   00:000.880,     0.12935,    -0.60471,    20.77195
   00:000.900,     0.12665,    -0.58927,    20.77195
   00:000.920,     0.12422,    -0.57469,    20.76075
   00:000.940,     0.12169,    -0.55885,    20.74954
   00:000.960,     0.12070,    -0.54465,    20.74954
   00:000.980,     0.11906,    -0.53762,    20.75514
   00:001.000,     0.11573,    -0.53529,    20.72713
   00:001.020,     0.11505,    -0.52771,    20.72153
   00:001.040,     0.11458,    -0.51488,    20.72713
   00:001.060,     0.11365,    -0.50629,    20.72153
   00:001.080,     0.11146,    -0.50518,    20.72713
   00:001.100,     0.11054,    -0.50154,    20.71593
   00:001.120,     0.11021,    -0.48199,    20.72713
   00:001.140,     0.10765,    -0.44453,    20.70473
   00:001.160,     0.10683,    -0.40533,    20.70473
   00:001.180,     0.10613,    -0.39261,    20.71593
   00:001.200,     0.10496,    -0.40993,    20.71033
   00:001.220,     0.10482,    -0.42183,    20.71033
   00:001.240,     0.10324,    -0.40221,    20.70473
   00:001.260,     0.10250,    -0.36526,    20.72713
   00:001.280,     0.10347,    -0.33206,    20.71593
   00:001.300,     0.10357,    -0.29932,    20.70473
   00:001.320,     0.10224,    -0.28088,    20.70473
   00:001.340,     0.10176,    -0.28722,    20.70473
   00:001.360,     0.10300,    -0.28396,    20.71033
   00:001.380,     0.10306,    -0.25902,    20.70473
   00:001.400,     0.10203,    -0.22996,    20.71033
   00:001.420,     0.10374,    -0.20301,    20.70473
   00:001.440,     0.10707,    -0.17296,    20.71033
   00:001.460,     0.11040,    -0.12670,    20.71033
   00:001.480,     0.12021,     0.00000,    20.70473
   00:001.500,     0.13517,     0.00000,    20.68792
   00:001.520,     0.14755,     0.10775,    20.67111
   00:001.540,     0.15403,     0.13136,    20.67111
   00:001.560,     0.15323,     0.18449,    20.65991
   00:001.580,     0.14744,     0.23786,    20.65991
   00:001.600,     0.14193,     0.26102,    20.65991
   00:001.620,     0.13751,     0.25981,    20.65991
   00:001.640,     0.13462,     0.25672,    20.67111
   00:001.660,     0.13270,     0.26658,    20.65991
   00:001.680,     0.13174,     0.28250,    20.67111
   00:001.700,     0.13195,     0.27758,    20.68232
   00:001.720,     0.13179,     0.25205,    20.68792
   00:001.740,     0.13126,     0.23153,    20.68232
   00:001.760,     0.13080,     0.23097,    20.67111
   00:001.780,     0.13063,     0.24669,    20.68232
   00:001.800,     0.12997,     0.26887,    20.69352
   00:001.820,     0.12884,     0.29085,    20.68232
   00:001.840,     0.13042,     0.30928,    20.68792
   00:001.860,     0.13115,     0.32334,    20.68232
   00:001.880,     0.12481,     0.33447,    20.67111
   00:001.900,     0.11896,     0.34263,    20.68792
   00:001.920,     0.11463,     0.35558,    20.70473
   00:001.940,     0.11229,     0.37006,    20.70473
   00:001.960,     0.11403,     0.37862,    20.70473
   00:001.980,     0.11649,     0.37782,    20.70473
   00:002.000,     0.11744,     0.37658,    20.71033
   00:002.020,     0.11703,     0.38015,    20.71593
   00:002.040,     0.11644,     0.38648,    20.69352
   00:002.060,     0.11662,     0.39394,    20.70473
   00:002.080,     0.11685,     0.39654,    20.68232
   00:002.100,     0.11840,     0.39518,    20.70473
   00:002.120,     0.12211,     0.39527,    20.70473
   00:002.140,     0.13014,     0.40677,    20.69352
   00:002.160,     0.13971,     0.42194,    20.69352
   00:002.180,     0.14716,     0.42821,    20.68232
   00:002.200,     0.15114,     0.42865,    20.68232
   00:002.220,     0.15370,     0.42971,    20.66551
   00:002.240,     0.15633,     0.42345,    20.65991
   00:002.260,     0.15917,     0.40352,    20.65991
   00:002.280,     0.16614,     0.37781,    20.65991
   00:002.300,     0.18177,     0.35410,    20.67111
   00:002.320,     0.21420,     0.32463,    20.66551
   00:002.340,     0.28393,     0.30886,    20.63190
   00:002.360,     0.41220,     0.31772,    20.57588
   00:002.380,     0.59487,     0.33530,    20.48064
   00:002.400,     0.79650,     0.35381,    20.25656
   00:002.420,     0.98194,     0.36096,    19.95405
   00:002.440,     1.16421,     0.35206,    19.65714
   00:002.460,     1.39620,     0.33837,    19.38265
   00:002.480,     1.68147,     0.32386,    19.09134
   00:002.500,     1.97353,     0.31338,    18.73281
   00:002.520,     2.26174,     0.30470,    18.30705
   00:002.540,     2.56288,     0.30245,    17.88690
   00:002.560,     2.85625,     0.31916,    17.46675
   00:002.580,     3.11904,     0.33424,    17.02419
   00:002.600,     3.35421,     0.32615,    16.63205
   00:002.620,     3.56786,     0.30435,    16.31273
   00:002.640,     3.77300,     0.28876,    16.02142
   00:002.660,     3.96855,     0.27642,    15.77494
   00:002.680,     4.13932,     0.26783,    15.52845
   00:002.700,     4.28112,     0.25914,    15.31557
   00:002.720,     4.40027,     0.24464,    15.13070
   00:002.740,     4.51412,     0.23523,    14.99065
   00:002.760,     4.62647,     0.23293,    14.85620
   00:002.780,     4.71849,     0.23321,    14.74416
   00:002.800,     4.79463,     0.23064,    14.65453
   00:002.820,     4.86770,     0.23277,    14.54809
   00:002.840,     4.93138,     0.23226,    14.48087
   00:002.860,     4.97913,     0.22964,    14.41364
   00:002.880,     5.01551,     0.22908,    14.35202
   00:002.900,     5.05019,     0.22372,    14.32961
   00:002.920,     5.08434,     0.21625,    14.29600
   00:002.940,     5.10860,     0.21161,    14.27359
   00:002.960,     5.12834,     0.20760,    14.25118
   00:002.980,     5.14813,     0.20115,    14.21757
   00:003.000,     5.16544,     0.19985,    14.20637
   00:003.020,     5.17929,     0.20292,    14.20637
   00:003.040,     5.18985,     0.19673,    14.19516
   00:003.060,     5.19873,     0.19019,    14.18396
   00:003.080,     5.20827,     0.18681,    14.20637
   00:003.100,     5.21799,     0.18373,    14.20637
   00:003.120,     5.22530,     0.18017,    14.21757
   00:003.140,     5.23135,     0.17234,    14.22877
   00:003.160,     5.23588,     0.16794,    14.21757
   00:003.180,     5.23913,     0.17264,    14.23998
   00:003.200,     5.24385,     0.17977,    14.22877
   00:003.220,     5.25569,     0.18571,    14.22877
   00:003.240,     5.27289,     0.19138,    14.22877
   00:003.260,     5.29400,     0.18856,    14.20637
   00:003.280,     5.31314,     0.17865,    14.16155
   00:003.300,     5.33130,     0.17218,    14.13914
   00:003.320,     5.34479,     0.16096,    14.11673
   00:003.340,     5.35678,     0.12835,    14.05511
   00:003.360,     5.37055,     0.09188,    14.03270
   00:003.380,     5.37979,     0.10622,    14.00469
   00:003.400,     5.38584,     0.13995,    13.98228
   00:003.420,     5.39178,     0.15634,    13.96548
   00:003.440,     5.39754,     0.15519,    13.97108
   00:003.460,     5.40847,     0.15246,    13.94867
   00:003.480,     5.42148,     0.14953,    13.91506
   00:003.500,     5.43192,     0.14191,    13.90386
   00:003.520,     5.43421,     0.12395,    13.89265
   00:003.540,     5.43404,     0.10699,    13.88145
   00:003.560,     5.43681,     0.10948,    13.87585
   00:003.580,     5.44122,     0.12551,    13.89265
   00:003.600,     5.44394,     0.14187,    13.89825
   00:003.620,     5.44745,     0.13887,    13.89265
   00:003.640,     5.44979,     0.11929,    13.89265
   00:003.660,     5.45238,     0.10787,    13.88145
   00:003.680,     5.45435,     0.10300,    13.89265
   00:003.700,     5.45349,     0.09030,    13.88145
   00:003.720,     5.45356,     0.00000,    13.87585
   00:003.740,     5.45836,     0.00000,    13.88145
   00:003.760,     5.46579,     0.00000,    13.90386
   00:003.780,     5.46944,    -0.14672,    13.89265
   00:003.800,     5.47559,    -0.18392,    13.88145
   00:003.820,     5.47940,    -0.21906,    13.85904
   00:003.840,     5.48072,    -0.24532,    13.85904
   00:003.860,     5.48168,    -0.26065,    13.84784
   00:003.880,     5.48470,    -0.27442,    13.84784
   00:003.900,     5.48934,    -0.29554,    13.84784
   00:003.920,     5.49098,    -0.31743,    13.83103
