<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2495,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:000.000,     0.00000,     0.00000,    21.25793
   00:000.020,     0.00000,     0.00000,    21.26962
   00:000.040,     0.00000,     0.00000,    21.24624
   00:000.060,     0.00000,     0.00000,    21.25208
   00:000.080,     0.00000,     0.00000,    21.24624
   00:000.100,     0.00722,     0.00000,    21.26962
   00:000.120,     0.00772,     0.00000,    21.26962
   00:000.140,     0.01994,     0.00000,    21.24624
   00:000.160,     0.01446,     0.00000,    21.24624
   00:000.180,     0.01212,     0.00000,    21.25208
   00:000.200,     0.01098,     0.00000,    21.24624
   00:000.220,     0.00732,     0.00000,    21.26962
   00:000.240,     0.00715,     0.00000,    21.25793
   00:000.260,     0.00877,     0.00000,    21.26962
   00:000.280,     0.00825,     0.00000,    21.25793
   00:000.300,     0.00740,     0.00000,    21.25208
   00:000.320,     0.00874,     0.00000,    21.24624
   00:000.340,     0.00855,     0.00000,    21.24624
   00:000.360,     0.00857,     0.00000,    21.25793
   00:000.380,     0.00747,     0.00000,    21.25208
   00:000.400,     0.00745,     0.00000,    21.24624
   00:000.420,     0.00769,     0.00000,    21.24624
   00:000.440,     0.00732,     0.00000,    21.26962
   00:000.460,     0.00704,     0.00000,    21.24624
   00:000.480,     0.00811,     0.00000,    21.24039
   00:000.500,     0.00870,     0.00000,    21.24624
   00:000.520,     0.00817,     0.00000,    21.24624
   00:000.540,     0.00854,     0.00000,    21.25208
   00:000.560,     0.00841,     0.00000,    21.23455
   00:000.580,     0.00673,     0.00000,    21.26962
   00:000.600,     0.00689,     0.00000,    21.24624
   00:000.620,     0.00750,     0.00000,    21.26962
   00:000.640,     0.00828,     0.00000,    21.25208
   00:000.660,     0.00836,     0.00000,    21.25208
   00:000.680,     0.00902,     0.00000,    21.26962
   00:000.700,     0.00873,     0.00000,    21.25793
   00:000.720,     0.00907,     0.00000,    21.25208
   00:000.740,     0.00854,     0.00000,    21.25208
   00:000.760,     0.00778,     0.00000,    21.25793
   00:000.780,     0.00714,     0.00000,    21.24039
   00:000.800,     0.00834,     0.00000,    21.24624
   00:000.820,     0.00928,     0.00000,    21.26962
   00:000.840,     0.00885,     0.00000,    21.24624
   00:000.860,     0.00860,     0.00000,    21.24624
   00:000.880,     0.00800,     0.00000,    21.26962
   00:000.900,     0.00722,     0.00000,    21.26962
   00:000.920,     0.00832,     0.00000,    21.24624
   00:000.940,     0.00946,     0.00000,    21.24039
   00:000.960,     0.00883,     0.00000,    21.25208
   00:000.980,     0.00777,     0.00000,    21.24624
   00:001.000,     0.00794,     0.00000,    21.24624
   00:001.020,     0.00903,     0.00000,    21.25208
   00:001.040,     0.00912,     0.00000,    21.24624
   00:001.060,     0.00889,     0.00000,    21.25208
   00:001.080,     0.00786,     0.00000,    21.24624
   00:001.100,     0.00747,     0.00000,    21.25208
   00:001.120,     0.00790,     0.00000,    21.24624
   00:001.140,     0.00849,     0.00000,    21.26962
