<WFATester Graph 1.00 1,25.000,30.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  1325,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     4.17746
   00:000.120,     4.19222
   00:000.140,     4.17444
   00:000.160,     4.18149
   00:000.180,     4.19732
   00:000.200,     4.26743
   00:000.220,     4.27894
   00:000.240,     4.28767
   00:000.260,     4.29289
   00:000.280,     4.29891
   00:000.300,     4.31222
   00:000.320,     4.32859
   00:000.340,     4.34374
   00:000.360,     4.35869
   00:000.380,     4.37254
   00:000.400,     4.38522
   00:000.420,     4.39804
   00:000.440,     4.41077
   00:000.460,     4.42641
   00:000.480,     4.44403
   00:000.500,     4.45903
   00:000.520,     4.46980
   00:000.540,     4.47561
   00:000.560,     4.47950
   00:000.580,     4.48225
   00:000.600,     4.48848
   00:000.620,     4.49484
   00:000.640,     4.49896
   00:000.660,     4.50687
   00:000.680,     4.51248
   00:000.700,     4.51961
   00:000.720,     4.52859
   00:000.740,     4.53621
   00:000.760,     4.54219
   00:000.780,     4.55206
   00:000.800,     4.56363
   00:000.820,     4.57367
   00:000.840,     4.58472
   00:000.860,     4.59600
   00:000.880,     4.60614
   00:000.900,     4.61854
   00:000.920,     4.63054
   00:000.940,     4.64273
   00:000.960,     4.65179
   00:000.980,     4.66151
   00:001.000,     4.67239
   00:001.020,     4.68072
   00:001.040,     4.68991
   00:001.060,     4.69552
   00:001.080,     4.70063
   00:001.100,     4.71133
   00:001.120,     4.72052
   00:001.140,     4.72327
   00:001.160,     4.72591
   00:001.180,     4.72683
   00:001.200,     4.69521
   00:001.220,     4.59236
   00:001.240,     4.41355
   00:001.260,     4.24874
   00:001.280,     4.21308
   00:001.300,     4.30573
   00:001.320,     4.42826
   00:001.340,     4.52692
   00:001.360,     4.60018
   00:001.380,     4.65119
   00:001.400,     4.68248
   00:001.420,     4.70526
   00:001.440,     4.72090
   00:001.460,     4.72851
   00:001.480,     4.73232
   00:001.500,     4.73196
   00:001.520,     4.73057
   00:001.540,     4.72751
   00:001.560,     4.71932
   00:001.580,     4.70282
   00:001.600,     4.66824
   00:001.620,     4.62183
   00:001.640,     4.53360
   00:001.660,     4.29592
   00:001.680,     3.76290
   00:001.700,     2.94717
   00:001.720,     2.11345
   00:001.740,     1.46937
   00:001.760,     1.03143
   00:001.780,     0.74158
   00:001.800,     0.55113
   00:001.820,     0.42446
   00:001.840,     0.34134
   00:001.860,     0.28534
   00:001.880,     0.24668
   00:001.900,     0.22054
   00:001.920,     0.20250
   00:001.940,     0.18793
   00:001.960,     0.17514
   00:001.980,     0.16620
   00:002.000,     0.16101
   00:002.020,     0.15555
   00:002.040,     0.15168
   00:002.060,     0.14918
   00:002.080,     0.14538
   00:002.100,     0.14220
   00:002.120,     0.13935
   00:002.140,     0.13728
   00:002.160,     0.13518
   00:002.180,     0.13350
   00:002.200,     0.13168
   00:002.220,     0.13087
   00:002.240,     0.12970
   00:002.260,     0.12746
   00:002.280,     0.12619
   00:002.300,     0.12625
   00:002.320,     0.12562
   00:002.340,     0.12343
   00:002.360,     0.12216
   00:002.380,     0.12080
   00:002.400,     0.12011
   00:002.420,     0.11936
   00:002.440,     0.11973
   00:002.460,     0.12026
   00:002.480,     0.11855
   00:002.500,     0.11668
   00:002.520,     0.11657
   00:002.540,     0.11711
   00:002.560,     0.11601
   00:002.580,     0.11497
   00:002.600,     0.11391
   00:002.620,     0.11236
   00:002.640,     0.11124
   00:002.660,     0.11092
   00:002.680,     0.11177
   00:002.700,     0.11218
   00:002.720,     0.11125
   00:002.740,     0.11028
   00:002.760,     0.10908
   00:002.780,     0.10856
   00:002.800,     0.10789
   00:002.820,     0.10803
   00:002.840,     0.10833
   00:002.860,     0.10828
   00:002.880,     0.10843
   00:002.900,     0.10757
   00:002.920,     0.10740
   00:002.940,     0.10704
   00:002.960,     0.10612
   00:002.980,     0.10719
   00:003.000,     0.10600
   00:003.020,     0.10547
   00:003.040,     0.10648
   00:003.060,     0.10643
   00:003.080,     0.10567
   00:003.100,     0.10364
   00:003.120,     0.10303
   00:003.140,     0.10393
   00:003.160,     0.10410
   00:003.180,     0.10298
   00:003.200,     0.10237
   00:003.220,     0.10304
   00:003.240,     0.10349
   00:003.260,     0.10379
   00:003.280,     0.10338
   00:003.300,     0.10223
   00:003.320,     0.10491
   00:003.340,     0.11638
   00:003.360,     0.13322
   00:003.380,     0.15006
   00:003.400,     0.16389
   00:003.420,     0.17809
   00:003.440,     0.20164
   00:003.460,     0.24562
   00:003.480,     0.31833
   00:003.500,     0.43129
   00:003.520,     0.60222
   00:003.540,     0.83667
   00:003.560,     1.12541
   00:003.580,     1.45217
   00:003.600,     1.78427
   00:003.620,     2.09186
   00:003.640,     2.36508
   00:003.660,     2.61003
   00:003.680,     2.83425
   00:003.700,     3.03896
   00:003.720,     3.22314
   00:003.740,     3.38270
   00:003.760,     3.51175
   00:003.780,     3.61559
   00:003.800,     3.70258
   00:003.820,     3.77421
   00:003.840,     3.83484
   00:003.860,     3.89100
   00:003.880,     3.94023
   00:003.900,     3.98099
   00:003.920,     4.01795
   00:003.940,     4.05201
   00:003.960,     4.07978
   00:003.980,     4.10105
   00:004.000,     4.12062
   00:004.020,     4.14268
   00:004.040,     4.16284
   00:004.060,     4.18233
   00:004.080,     4.20280
   00:004.100,     4.21862
   00:004.120,     4.22864
   00:004.140,     4.23912
   00:004.160,     4.25029
   00:004.180,     4.26135
   00:004.200,     4.27530
   00:004.220,     4.28855
   00:004.240,     4.30315
   00:004.260,     4.31943
   00:004.280,     4.33602
   00:004.300,     4.35252
   00:004.320,     4.37063
   00:004.340,     4.38640
   00:004.360,     4.39972
   00:004.380,     4.41552
   00:004.400,     4.43147
   00:004.420,     4.44531
   00:004.440,     4.46024
   00:004.460,     4.47229
   00:004.480,     4.48402
   00:004.500,     4.49318
   00:004.520,     4.49716
   00:004.540,     4.50257
   00:004.560,     4.50784
   00:004.580,     4.51295
   00:004.600,     4.52033
   00:004.620,     4.52806
   00:004.640,     4.52885
   00:004.660,     4.53050
   00:004.680,     4.53682
   00:004.700,     4.54459
   00:004.720,     4.55068
   00:004.740,     4.55507
   00:004.760,     4.55906
   00:004.780,     4.56683
   00:004.800,     4.57572
   00:004.820,     4.58547
   00:004.840,     4.59489
   00:004.860,     4.60190
   00:004.880,     4.60889
   00:004.900,     4.61910
   00:004.920,     4.62937
   00:004.940,     4.63472
   00:004.960,     4.63878
   00:004.980,     4.64340
   00:005.000,     4.64949
   00:005.020,     4.65700
   00:005.040,     4.66278
   00:005.060,     4.66581
   00:005.080,     4.66966
   00:005.100,     4.67443
   00:005.120,     4.67766
   00:005.140,     4.67974
   00:005.160,     4.68302
   00:005.180,     4.68537
   00:005.200,     4.68740
   00:005.220,     4.68998
   00:005.240,     4.69227
   00:005.260,     4.69605
   00:005.280,     4.69723
   00:005.300,     4.69967
   00:005.320,     4.70206
   00:005.340,     4.70406
   00:005.360,     4.70806
   00:005.380,     4.71639
   00:005.400,     4.72134
   00:005.420,     4.72297
   00:005.440,     4.73012
   00:005.460,     4.73526
   00:005.480,     4.73637
   00:005.500,     4.73636
   00:005.520,     4.73482
   00:005.540,     4.70744
   00:005.560,     4.61085
   00:005.580,     4.42452
   00:005.600,     4.21073
   00:005.620,     4.07858
   00:005.640,     4.07905
   00:005.660,     4.17408
   00:005.680,     4.29401
   00:005.700,     4.39124
   00:005.720,     4.43865
   00:005.740,     4.42134
   00:005.760,     4.35818
   00:005.780,     4.29271
   00:005.800,     4.21548
   00:005.820,     4.00563
   00:005.840,     3.51624
   00:005.860,     2.77342
   00:005.880,     2.00966
   00:005.900,     1.40911
   00:005.920,     0.99344
   00:005.940,     0.71687
   00:005.960,     0.53412
   00:005.980,     0.41140
   00:006.000,     0.33117
   00:006.020,     0.27878
   00:006.040,     0.24236
   00:006.060,     0.21728
   00:006.080,     0.19833
   00:006.100,     0.18457
   00:006.120,     0.17395
   00:006.140,     0.16557
   00:006.160,     0.16009
   00:006.180,     0.15592
   00:006.200,     0.15207
   00:006.220,     0.14880
   00:006.240,     0.14641
   00:006.260,     0.14213
   00:006.280,     0.13885
   00:006.300,     0.13718
   00:006.320,     0.13577
   00:006.340,     0.13312
   00:006.360,     0.13218
   00:006.380,     0.13167
   00:006.400,     0.12854
   00:006.420,     0.12687
   00:006.440,     0.12692
   00:006.460,     0.12661
   00:006.480,     0.12526
   00:006.500,     0.12407
   00:006.520,     0.12337
   00:006.540,     0.12352
   00:006.560,     0.12220
   00:006.580,     0.11995
   00:006.600,     0.11962
   00:006.620,     0.12049
   00:006.640,     0.11889
   00:006.660,     0.11739
   00:006.680,     0.11861
   00:006.700,     0.11835
   00:006.720,     0.11583
   00:006.740,     0.11473
   00:006.760,     0.11623
   00:006.780,     0.11505
   00:006.800,     0.11373
   00:006.820,     0.11451
   00:006.840,     0.11267
   00:006.860,     0.11185
   00:006.880,     0.11266
   00:006.900,     0.11271
   00:006.920,     0.11214
   00:006.940,     0.11156
   00:006.960,     0.11076
   00:006.980,     0.11012
   00:007.000,     0.11001
   00:007.020,     0.10940
   00:007.040,     0.10901
   00:007.060,     0.10892
   00:007.080,     0.10876
   00:007.100,     0.10804
   00:007.120,     0.10752
   00:007.140,     0.10745
   00:007.160,     0.10687
   00:007.180,     0.10712
   00:007.200,     0.10873
   00:007.220,     0.10757
   00:007.240,     0.10564
   00:007.260,     0.10660
   00:007.280,     0.10875
   00:007.300,     0.10762
   00:007.320,     0.10814
   00:007.340,     0.11631
   00:007.360,     0.13258
   00:007.380,     0.15053
   00:007.400,     0.16476
   00:007.420,     0.17796
