<WFATester Graph 1.00 1,40.000,45.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2205,2,0,12,5,t,1,12,5,f>
        Temps,        CO2%
   00:000.000,     0.00000
   00:000.020,     0.00000
   00:000.040,     0.00000
   00:000.060,     0.00000
   00:000.080,     0.00000
   00:000.100,     0.19126
   00:000.120,     0.19077
   00:000.140,     0.19283
   00:000.160,     0.18943
   00:000.180,     0.18930
   00:000.200,     0.19026
   00:000.220,     0.18777
   00:000.240,     0.18872
   00:000.260,     0.18991
   00:000.280,     0.19027
   00:000.300,     0.18915
   00:000.320,     0.18907
   00:000.340,     0.19059
   00:000.360,     0.19087
   00:000.380,     0.19017
   00:000.400,     0.18968
   00:000.420,     0.18916
   00:000.440,     0.18936
   00:000.460,     0.18908
   00:000.480,     0.18914
   00:000.500,     0.19352
   00:000.520,     0.20971
   00:000.540,     0.23535
   00:000.560,     0.25791
   00:000.580,     0.26515
   00:000.600,     0.25804
   00:000.620,     0.24760
   00:000.640,     0.23712
   00:000.660,     0.22611
   00:000.680,     0.21744
   00:000.700,     0.21215
   00:000.720,     0.20915
   00:000.740,     0.20927
   00:000.760,     0.21223
   00:000.780,     0.21710
   00:000.800,     0.22185
   00:000.820,     0.22414
   00:000.840,     0.22478
   00:000.860,     0.22494
   00:000.880,     0.22509
   00:000.900,     0.22519
   00:000.920,     0.22508
   00:000.940,     0.22655
   00:000.960,     0.23065
   00:000.980,     0.23676
   00:001.000,     0.24571
   00:001.020,     0.25936
   00:001.040,     0.27637
   00:001.060,     0.29715
   00:001.080,     0.31943
   00:001.100,     0.34416
   00:001.120,     0.36600
   00:001.140,     0.38140
   00:001.160,     0.38826
   00:001.180,     0.38671
   00:001.200,     0.37688
   00:001.220,     0.36190
   00:001.240,     0.34647
   00:001.260,     0.33684
   00:001.280,     0.33543
   00:001.300,     0.34231
   00:001.320,     0.35875
   00:001.340,     0.38214
   00:001.360,     0.40840
   00:001.380,     0.43141
   00:001.400,     0.44723
   00:001.420,     0.45696
   00:001.440,     0.45907
   00:001.460,     0.45307
   00:001.480,     0.44053
   00:001.500,     0.42486
   00:001.520,     0.41154
   00:001.540,     0.40165
   00:001.560,     0.40085
   00:001.580,     0.40718
   00:001.600,     0.41557
   00:001.620,     0.42639
   00:001.640,     0.43517
   00:001.660,     0.44003
   00:001.680,     0.44339
   00:001.700,     0.44966
   00:001.720,     0.46063
   00:001.740,     0.47581
   00:001.760,     0.49249
   00:001.780,     0.50753
   00:001.800,     0.51935
   00:001.820,     0.52701
   00:001.840,     0.53149
   00:001.860,     0.53632
   00:001.880,     0.54417
   00:001.900,     0.55134
   00:001.920,     0.55702
   00:001.940,     0.56342
   00:001.960,     0.56996
   00:001.980,     0.57609
   00:002.000,     0.58855
   00:002.020,     0.61382
   00:002.040,     0.65288
   00:002.060,     0.70811
   00:002.080,     0.77690
   00:002.100,     0.85201
   00:002.120,     0.92921
   00:002.140,     1.00372
   00:002.160,     1.07093
   00:002.180,     1.13042
   00:002.200,     1.17880
   00:002.220,     1.21525
   00:002.240,     1.24107
   00:002.260,     1.25416
   00:002.280,     1.25044
   00:002.300,     1.23165
   00:002.320,     1.20596
   00:002.340,     1.18007
   00:002.360,     1.15678
   00:002.380,     1.13636
   00:002.400,     1.12032
   00:002.420,     1.10838
   00:002.440,     1.09921
   00:002.460,     1.09797
   00:002.480,     1.11267
   00:002.500,     1.13701
   00:002.520,     1.15748
   00:002.540,     1.16243
   00:002.560,     1.14783
   00:002.580,     1.13633
   00:002.600,     1.15419
   00:002.620,     1.20010
   00:002.640,     1.25620
   00:002.660,     1.31617
   00:002.680,     1.38426
   00:002.700,     1.46603
   00:002.720,     1.56386
   00:002.740,     1.67518
   00:002.760,     1.78892
   00:002.780,     1.89713
   00:002.800,     1.99891
   00:002.820,     2.09181
   00:002.840,     2.16886
   00:002.860,     2.21967
   00:002.880,     2.23576
   00:002.900,     2.20461
   00:002.920,     2.11138
   00:002.940,     1.97661
   00:002.960,     1.84745
   00:002.980,     1.75780
   00:003.000,     1.72741
   00:003.020,     1.76211
   00:003.040,     1.84458
   00:003.060,     1.94598
   00:003.080,     2.04972
   00:003.100,     2.15018
   00:003.120,     2.24720
   00:003.140,     2.33477
   00:003.160,     2.40946
   00:003.180,     2.46541
   00:003.200,     2.50470
   00:003.220,     2.53061
   00:003.240,     2.54238
   00:003.260,     2.54614
   00:003.280,     2.55168
   00:003.300,     2.55811
   00:003.320,     2.55772
   00:003.340,     2.55344
   00:003.360,     2.54907
   00:003.380,     2.53561
   00:003.400,     2.51274
   00:003.420,     2.49266
   00:003.440,     2.48409
   00:003.460,     2.48869
   00:003.480,     2.49656
   00:003.500,     2.50074
   00:003.520,     2.49050
   00:003.540,     2.46895
   00:003.560,     2.44178
   00:003.580,     2.40196
   00:003.600,     2.34733
   00:003.620,     2.28114
   00:003.640,     2.20867
   00:003.660,     2.14103
   00:003.680,     2.08354
   00:003.700,     2.03541
   00:003.720,     1.99888
   00:003.740,     1.97277
   00:003.760,     1.95419
   00:003.780,     1.94132
   00:003.800,     1.93592
   00:003.820,     1.93239
   00:003.840,     1.92807
   00:003.860,     1.92649
   00:003.880,     1.92778
   00:003.900,     1.92920
   00:003.920,     1.93149
   00:003.940,     1.93520
   00:003.960,     1.93790
   00:003.980,     1.94437
   00:004.000,     1.95686
   00:004.020,     1.97432
   00:004.040,     1.99333
   00:004.060,     2.01790
   00:004.080,     2.04924
   00:004.100,     2.08060
   00:004.120,     2.10868
   00:004.140,     2.13283
   00:004.160,     2.15032
   00:004.180,     2.16362
   00:004.200,     2.17203
   00:004.220,     2.17523
   00:004.240,     2.17294
   00:004.260,     2.16347
   00:004.280,     2.15129
   00:004.300,     2.14058
   00:004.320,     2.12924
   00:004.340,     2.11337
   00:004.360,     2.09485
   00:004.380,     2.07641
   00:004.400,     2.05539
   00:004.420,     2.02551
   00:004.440,     1.98423
   00:004.460,     1.93102
   00:004.480,     1.86383
   00:004.500,     1.77997
   00:004.520,     1.68929
   00:004.540,     1.60490
   00:004.560,     1.53617
   00:004.580,     1.48439
   00:004.600,     1.44419
   00:004.620,     1.41222
   00:004.640,     1.38102
   00:004.660,     1.34734
   00:004.680,     1.32448
   00:004.700,     1.32088
   00:004.720,     1.33582
   00:004.740,     1.36568
   00:004.760,     1.40179
   00:004.780,     1.43911
   00:004.800,     1.47289
   00:004.820,     1.49667
   00:004.840,     1.50525
   00:004.860,     1.49843
   00:004.880,     1.48484
   00:004.900,     1.47480
   00:004.920,     1.46659
   00:004.940,     1.45334
   00:004.960,     1.43579
   00:004.980,     1.41879
   00:005.000,     1.40727
   00:005.020,     1.39849
   00:005.040,     1.38647
   00:005.060,     1.37414
   00:005.080,     1.36387
   00:005.100,     1.34964
   00:005.120,     1.32338
   00:005.140,     1.29109
   00:005.160,     1.25780
   00:005.180,     1.22269
   00:005.200,     1.18679
   00:005.220,     1.15487
   00:005.240,     1.13310
   00:005.260,     1.12360
   00:005.280,     1.12003
   00:005.300,     1.11750
   00:005.320,     1.11904
   00:005.340,     1.13014
   00:005.360,     1.14382
   00:005.380,     1.15231
   00:005.400,     1.15129
   00:005.420,     1.14084
   00:005.440,     1.13192
   00:005.460,     1.13220
   00:005.480,     1.13932
   00:005.500,     1.15075
   00:005.520,     1.16292
   00:005.540,     1.17389
   00:005.560,     1.18837
   00:005.580,     1.20431
   00:005.600,     1.21137
   00:005.620,     1.20265
   00:005.640,     1.18335
   00:005.660,     1.16048
   00:005.680,     1.13187
   00:005.700,     1.08224
   00:005.720,     1.00448
   00:005.740,     0.91060
   00:005.760,     0.82481
   00:005.780,     0.77848
   00:005.800,     0.80274
   00:005.820,     0.90251
   00:005.840,     1.05613
   00:005.860,     1.24858
   00:005.880,     1.46857
   00:005.900,     1.68120
   00:005.920,     1.83713
   00:005.940,     1.88569
   00:005.960,     1.79794
   00:005.980,     1.59587
   00:006.000,     1.33983
   00:006.020,     1.08588
   00:006.040,     0.87317
   00:006.060,     0.71851
   00:006.080,     0.61395
   00:006.100,     0.54456
   00:006.120,     0.49795
   00:006.140,     0.46085
   00:006.160,     0.43020
   00:006.180,     0.40714
   00:006.200,     0.39056
   00:006.220,     0.38326
   00:006.240,     0.37615
   00:006.260,     0.37124
   00:006.280,     0.36767
   00:006.300,     0.36174
   00:006.320,     0.35311
   00:006.340,     0.34094
   00:006.360,     0.32568
   00:006.380,     0.30535
   00:006.400,     0.27992
   00:006.420,     0.25725
   00:006.440,     0.24050
   00:006.460,     0.22792
   00:006.480,     0.21999
   00:006.500,     0.21365
   00:006.520,     0.21056
   00:006.540,     0.21035
   00:006.560,     0.20770
   00:006.580,     0.20527
   00:006.600,     0.20520
   00:006.620,     0.20418
   00:006.640,     0.20346
   00:006.660,     0.20515
   00:006.680,     0.20510
   00:006.700,     0.20238
   00:006.720,     0.19949
   00:006.740,     0.19961
   00:006.760,     0.20042
   00:006.780,     0.20093
   00:006.800,     0.20049
   00:006.820,     0.19856
   00:006.840,     0.19776
   00:006.860,     0.19830
   00:006.880,     0.19742
   00:006.900,     0.19630
   00:006.920,     0.19702
   00:006.940,     0.19723
   00:006.960,     0.19815
   00:006.980,     0.19874
   00:007.000,     0.19723
   00:007.020,     0.19682
   00:007.040,     0.19659
   00:007.060,     0.19627
   00:007.080,     0.19687
   00:007.100,     0.19612
   00:007.120,     0.19617
   00:007.140,     0.19733
   00:007.160,     0.19707
   00:007.180,     0.19610
   00:007.200,     0.19642
   00:007.220,     0.19663
   00:007.240,     0.19639
   00:007.260,     0.19697
   00:007.280,     0.19731
   00:007.300,     0.19718
   00:007.320,     0.19650
   00:007.340,     0.19548
   00:007.360,     0.19527
   00:007.380,     0.19470
   00:007.400,     0.19493
   00:007.420,     0.19574
